thottacharya,தொட்டாச்சார்ய
avamariyaathaigalum,அவமரியாதைகளும்
aloagangkalin,அலோகங்களின்
sattareethiyaagaththaan,சட்டரீதியாகத்தான்
koyntha,கொய்ந்த
piraeranaigalil,பிரேரணைகளில்
paaganukkum,பாகனுக்கும்
islaamiyarkalinathum,இஸ்லாமியர்களினதும்
rajamardhandannai,ராஜமார்த்தாண்டன்னை
meettrarila,மீற்றரில
messila,மெசிலா
kkaiyin,க்கையின்
rahmathunlil,ரஹ்மத்துன்லில்
iruthikkattaththaiyum,இறுதிக்கட்டத்தையும்
poanchaekaavukku,போன்சேகாவுக்கு
kooruvanavaai,கூறுவனவாய்
mavthoothiyai,மவ்தூதியை
thaevaiyaayittru,தேவையாயிற்று
riyav,ரியாவ்
canadiya,கனடிய
saathichchuppeengka,சாதிச்சுப்பீங்க
ethirpaarkkappathaaka,எதிர்பார்க்கப்பதாக
sorvadainththuvittoam,சோர்வடைந்துவிட்டோம்
servarum,செர்வரும்
minnoolagangkal,மின்னூலகங்கள்
thalaivanaagiraan,தலைவனாகிறான்
naagappattinaththilum,நாகப்பட்டினத்திலும்
thollaiyilla,தொல்லையில்லா
thiranduvaarungal,திரண்டுவாருங்கள்
puribavanumaana,புரிபவனுமான
uraiyaattriyamai,உரையாற்றியமை
maiththiriyugaththinai,மைத்திரியுகத்தினை
akattrappattullamai,அகற்றப்பட்டுள்ளமை
pinnathur,பின்னத்தூர்
pongiya,பொங்கிய
marabuyiriyal,மரபுயிரியல்
pathivarkalaakavum,பதிவர்களாகவும்
vangkiyinai,வங்கியினை
yaapputhaan,யாப்புதான்
pichuvukku,பிச்சுவுக்கு
ezhudhuviyaa,எழுதுவியா
naarathanukku,நாரதனுக்கு
thanbillaigal,தன்பிள்ளைகள்
puneshwari,புனேஸ்வரி
aattukkidaavukku,ஆட்டுக்கிடாவுக்கு
arambikkalama,ஆரம்பிக்கலாமா
mugaamukkuk,முகாமுக்குக்
naarpadaiyilum,நாற்படையிலும்
negizhvugalin,நெகிழ்வுகளின்
pidiyaanaiyaip,பிடியாணையைப்
padaippaalarkalaal,படைப்பாளர்களால்
araippazhaththil,அரைப்பழத்தில்
theriyaliyaennu,தெரியலியேன்னு
padaththukkaai,படத்துக்காய்
lilikku,லிலிக்கு
thaediyam,தேடியம்
uruvaakkaththoadum,உருவாக்கத்தோடும்
pirinthathaagap,பிரிந்ததாகப்
maattriyirukkiraar,மாற்றியிருக்கிறார்
kazhainthaalae,களைந்தாலே
mootharasi,மூதரசி
sasha,ஸாஷா
inippukkalukku,இனிப்புக்களுக்கு
chandralekhavum,சந்திரலேகாவும்
inaichchuttrup,இணைச்சுற்றுப்
aakkiramippathuthaan,ஆக்கிரமிப்பதுதான்
manuvondrum,மனுவொன்றும்
kasappanathagavo,கசப்பானதாகவோ
vadikkappattathaagak,வடிக்கப்பட்டதாகக்
vaazhkka,வாழ்க்க
eerappasaiyaith,ஈரப்பசையைத்
vetrtrina,வெற்றின
thedarbuk,தெடர்புக்
mugaamiduvaar,முகாமிடுவார்
neethimantraththin,நீதிமன்றத்தின்
sollugalaen,சொல்லுகளேன்
perappattiruppathu,பெறப்பட்டிருப்பது
enmanai,என்மனை
kajiniyaaga,கஜினியாக
poavain,போவைன்
thudippukkalum,துடிப்புக்களும்
karanangooda,காரணங்கூட
oththisaivirku,ஒத்திசைவிற்கு
kazhudhaiyum,கழுதையும்
mikappirapalamaanavai,மிகப்பிரபலமானவை
vavuchcharkalin,வவுச்சர்களின்
kaaviyangalaethu,காவியங்களேது
retlapally,ரெட்லபள்ளி
thoondiyavalaaga,தூண்டியவளாக
kunthikku,குந்திக்கு
nizhalpaavaigaludan,நிழல்பாவைகளுடன்
pagarvathundu,பகர்வதுண்டு
perichchik,பெரிச்சிக்
perusaanaalum,பெருசானாலும்
kalakarkalum,கலகர்களும்
varaivathilum,வரைவதிலும்
puliyaikkaraiththu,புளியைக்கரைத்து
poattirukkindranaraa,போட்டிருக்கின்றனரா
aerpaduththiyathumillai,ஏற்படுத்தியதுமில்லை
anullabana,அனுல்லபனா
ottrumaichcherivu,ஒற்றுமைச்செறிவு
selvaargalaayin,செல்வார்களாயின்
ivvishayamanaiththum,இவ்விஷயமனைத்தும்
nirupikkappattathu,நிருபிக்கப்பட்டது
nandhakoagulaththil,நந்தகோகுலத்தில்
ularththappadugirathu,உலர்த்தப்படுகிறது
idappattathai,இடப்பட்டதை
aadhaaraththoada,ஆதாரத்தோட
panamogamo,பணமோகமோ
kaalakkarunjuzhi,காலக்கருஞ்சுழி
chinimavirko,சினிமாவிற்கோ
thappiyoadiyathaaga,தப்பியோடியதாக
kavanameduppadhaaga,கவனமெடுப்பதாக
madakkinaro,மடக்கினாரோ
kodukkappadaamai,கொடுக்கப்படாமை
uttankarin,உத்தங்கரின்
naattappadavullathoadu,நாட்டப்படவுள்ளதோடு
palamuraiyaana,பலமுறையான
senranaeraththilum,சென்றநேரத்திலும்
ippallaththaich,இப்பள்ளத்தைச்
ottrarkalaal,ஒற்றர்களால்
irunththuvidach,இருந்துவிடச்
nizhalilae,நிழலிலே
kolkaithodarpaana,கொள்கைதொடர்பான
irukaavalarum,இருகாவலரும்
paesuvathaividap,பேசுவதைவிடப்
sharumathi,ஷாருமதி
ambilaanthuraiyil,அம்பிளாந்துறையில்
karudhutharku,கருதுதற்கு
prakasakkavi,பிரகாசக்கவி
maaraathathai,மாறாததை
aarikonduvara,ஆறிக்கொண்டுவர
paththirigaiyaith,பத்திரிகையைத்
irutkudilgalil,இருட்குடில்களில்
kaattalaiyae,காட்டலையே
vaasippukkalukku,வாசிப்புக்களுக்கு
aankuzhanththaigalul,ஆண்குழந்தைகளுள்
adangoiah,அடங்கொய்யா
thumbalai,தும்பலை
amunuga,அமுனுக
athiraaga,அதிராக
vadanaattin,வடநாட்டின்
paerirul,பேரிருள்
nimiththigare,நிமித்திகரே
mifunevum,மிஃபுனேவும்
izhivugalaa,இழிவுகளா
azhivutharakkoodiya,அழிவுதரக்கூடிய
sirpakalainarkalaal,சிற்பகலைஞர்களால்
moathiththalli,மோதித்தள்ளி
veezhchchiyadaiyath,வீழ்ச்சியடையத்
kaappavalumaana,காப்பவளுமான
kanichchiyum,கணிச்சியும்
mozhiyan,மொழியன்
kolappamaa,கொளப்பமா
vilambina,விளம்பின
aththiyavasiyamaanathaakum,அத்தியவசியமானதாகும்
pathariyirunthaar,பதறியிருந்தார்
mazhungkiyathudan,மழுங்கியதுடன்
therinthukolvaaroa,தெரிந்துகொள்வாரோ
ivvinaakkalukkup,இவ்வினாக்களுக்குப்
aruththuvidugiraen,அறுத்துவிடுகிறேன்
pooppathae,பூப்பதே
pazhageettam,பழகீட்டம்
paliyaerkumpadi,பலியேற்கும்படி
echcharikkalaiyum,எச்சரிக்களையும்
ronnie,றொன்னி
uraichchirappup,உரைச்சிறப்புப்
suvaiyaanathaaga,சுவையானதாக
paarkkasagikkavillai,பார்க்கசகிக்கவில்லை
poleeskaarargalum,போலீஸ்காரர்களும்
pudichathoa,புடிச்சதோ
uththarathaesath,உத்தரதேசத்
kulainthirukkirathu,குலைந்திருக்கிறது
calaxy,கேலக்ஸி
aetrtravarkalaakavum,ஏற்றவர்களாகவும்
vitimiral,போலீசார்
manikkarkalin,மணிக்கற்களின்
kiraamaththaangal,கிராமத்தான்கள்
thennanjaar,தென்னஞ்சார்
pettruvittum,பெற்றுவிட்டும்
suththamadaintha,சுத்தமடைந்த
chenalukku,செனலுக்கு
virattappadugiraal,விரட்டப்படுகிறாள்
nilaivaraamalirukka,நிலைவராமலிருக்க
lumiae,லூமியே
aariyooril,ஆரியூரில்
niickel,நிக்கல்
thirattikalidamum,திரட்டிகளிடமும்
pannaathathaiyaa,பண்ணாததையா
karandialeye,கரண்டியாலேயே
magaaviratham,மகாவிரதம்
islaththin,இஸ்லத்தின்
niraivuperuvathaaga,நிறைவுபெறுவதாக
vizhigalinoaram,விழிகளினோரம்
amaiyaama,அமையாம
poathitharmanaaga,போதிதர்மனாக
venkaayam,வெண்காயம்
paainthoadinaal,பாய்ந்தோடினால்
pulapeyarnaadugalil,புலபெயர்நாடுகளில்
roopamaagath,ரூபமாகத்
thenimavattam,தேனிமாவட்டம்
paduppatharkaagap,படுப்பதற்காகப்
uramtholirchaalaik,உரம்தொழிற்சாலைக்
odukkukindrana,ஒடுக்குகின்றன
kalaignaraagattum,கலைஞராகட்டும்
mudakkappattanar,முடக்கப்பட்டனர்
hamama,ஹமாமா
poakavaiththirukka,போகவைத்திருக்க
aattakkaararaaga,ஆட்டக்காரராக
thaangkiyathan,தாங்கியதன்
samayareethiyil,சமயரீதியில்
kathaimaantharaiyum,கதைமாந்தரையும்
munvaravillaiyaayin,முன்வரவில்லையாயின்
azhagirkaana,அழகிற்கான
vayathukkaaranaagath,வயதுக்காரனாகத்
aniyinmai,அணியின்மை
ponnirakkodigal,பொன்னிறக்கொடிகள்
viduvikkappadaaga,விடுவிக்கப்படாக
namitha,நமிதா
kandaindhu,கண்டைந்து
engkaeyumillai,எங்கேயுமில்லை
vaetrtrumaigalae,வேற்றுமைகளே
avasaramaruththuva,அவசரமருத்துவ
kalasaabishegaththin,கலசாபிஷேகத்தின்
nelliyadiyai,நெல்லியடியை
afghanistanil,ஆஃப்கானிஸ்தானில்
inburuththinai,இன்புறுத்தினை
pirakkaathapoathu,பிறக்காதபோது
kanakkarkal,கணக்கர்கள்
seithuvaikkappatta,செய்துவைக்கப்பட்ட
avipparayam,அவிப்பராயம்
thannadi,தண்ணாடி
pisukkach,பிசுக்கச்
nekkurugiyavaraai,நெக்குருகியவராய்
gunaathisayamaagum,குணாதிசயமாகும்
thoondappadupavargal,தூண்டப்படுபவர்கள்
convaljeetsinh,கன்வல்ஜித்சிங்
sacclettaith,சாக்லெட்டைத்
putharppakkam,புதர்ப்பக்கம்
poattuvaingkal,போட்டுவைங்கள்
kondanthanaan,கொண்டந்தனான்
muthanool,முதனூல்
vishesada,விஷேட
aazhvaargaloa,ஆழ்வார்களோ
eezhavala,ஈழவள
surusuruppulla,சுறுசுறுப்புள்ள
kogilaraani,கோகிலராணி
pakantraiyilirunthu,பகன்றையிலிருந்து
samskaramthan,சம்ஸ்காரம்தான்
paesapattaalum,பேசபட்டாலும்
vaendivarumae,வேண்டிவருமே
ondruthaanaam,ஒன்றுதானாம்
valaippaattu,வலைப்பாட்டு
vajjang,வஜ்ஜங்
paasaangkukalumintri,பாசாங்குகளுமின்றி
ozhukukindroam,ஒழுகுகின்றோம்
piraarththiththup,பிரார்த்தித்துப்
paduththathinaal,படுத்ததினால்
magizhviththathudan,மகிழ்வித்ததுடன்
thinnugira,தின்னுகிற
neppali,நேப்பாளி
thongapoattuk,தொங்கபோட்டுக்
generiovil,ஜெனீரியோவில்
varisaikkiragamaaga,வரிசைக்கிரகமாக
maattruththarappae,மாற்றுத்தரப்பே
ippaandiyan,இப்பாண்டியன்
arugirunthaalae,அருகிருந்தாலே
irunththapaa,இருந்தபா
nutpaana,நுட்பான
vattiyinaalum,வட்டியினாலும்
kalaikkuzhuvirku,கலைக்குழுவிற்கு
vidukkumnilaiyil,விடுக்கும்நிலையில்
valarpavaiyae,வளர்பவையே
sangkugal,சங்குகள்
pudamiduthal,புடமிடுதல்
pariyaakkik,பரியாக்கிக்
purushamaethaththinoodaaga,புருஷமேதத்தினூடாக
paaraattuvathudan,பாராட்டுவதுடன்
sirangal,சிறங்கள்
shailuvum,ஷைலுவும்
iruppathaanathu,இருப்பதானது
kooriyirundhaalaavathu,கூறியிருந்தாலாவது
vidaiyirukka,விடையிறுக்க
nilapparappaai,நிலப்பரப்பாய்
muzhakkamittullanar,முழக்கமிட்டுள்ளனர்
ventricular,வெண்ட்ரிக்குலர்
poruvaai,பொறுவாய்
unmaigalilirunthu,உண்மைகளிலிருந்து
chakaskarateepa,சகஸ்கரதீப
paarathiraajaavinudaiya,பாரதிராஜாவினுடைய
kalippaavathan,களிப்பாவதன்
maruthampattaiyil,மருதம்பட்டையில்
puthiramaikkavum,புதிரமைக்கவும்
aasippettrapoathae,ஆசிப்பெற்றபோதே
neraththinaip,நேரத்தினைப்
sorabhari,சோரபாரி
kudukkirathum,குடுக்கிறதும்
mithappa,மிதப்ப
ezhuthiyiruppathaippoala,எழுதியிருப்பதைப்போல
kanakkidappattathoa,கணக்கிடப்பட்டதோ
piravimaruntheesar,பிறவிமருந்தீசர்
thulaikkaathathu,துளைக்காதது
padikattinai,படிகட்டினை
dharmathoappu,தர்மதோப்பு
muthalaaliyilirunthu,முதலாளியிலிருந்து
padamaakkappadugindra,படமாக்கப்படுகின்ற
payirchiyaalaraanaar,பயிற்சியாளரானார்
maruththalae,மறுத்தலே
singalamayamaakka,சிங்களமயமாக்க
diverticulavinol,டைவர்டிகுலாவினால்
migaththelivaana,மிகத்தெளிவான
pennudalgalil,பெண்ணுடல்களில்
muraivazhippaduththi,முறைவழிப்படுத்தி
varaevaerpuraiyinai,வரேவேற்புரையினை
kamadenuvaganam,காமதேனுவாகனம்
naayudunnu,நாயுடுன்னு
athikarippathukuriththu,அதிகரிப்பதுகுறித்து
udaiyavanaam,உடையவனாம்
seithikkurippukalai,செய்திக்குறிப்புகளை
sangamiththu,சங்கமித்து
thangiyullavargalil,தங்கியுள்ளவர்களில்
munnaettruvathaakum,முன்னேற்றுவதாகும்
kadippadhaith,கடிப்பதைத்
kkiraar,க்கிறார்
piraethangkalaam,பிரேதங்களாம்
konduvaruvathaanaal,கொண்டுவருவதானால்
adichchittaangka,அடிச்சிட்டாங்க
aekkarukkumael,ஏக்கருக்குமேல்
millamale,மில்லாமலே
seyalmuraigalukkaaga,செயல்முறைகளுக்காக
adhujallikattu,அதுஜல்லிக்கட்டு
solaivanamaakkiyathu,சோலைவனமாக்கியது
pattimoolam,பட்டிமூலம்
padivaththoadu,படிவத்தோடு
vilaiyavillai,விளையவில்லை
gorsen,கோர்சன்
maesthiriyudan,மேஸ்திரியுடன்
sivalingavadivil,சிவலிங்கவடிவில்
venkatajala,வெங்கடாஜல
urimaiyaalarathu,உரிமையாளரது
mottaiththalaiyanin,மொட்டைத்தலையனின்
kamaalukkum,கமாலுக்கும்
isaithattai,இசைதட்டை
irainaesap,இறைநேசப்
maveeranaal,மாவீரனால்
manithanennum,மனிதனென்னும்
kainarambugalilum,கைநரம்புகளிலும்
thuliththirunthathu,துளித்திருந்தது
bhaavaathipathiyin,பாவாதிபதியின்
pidiththalaraathae,பிடித்தளராதே
iyarkaisakthigalaiyum,இயற்கைசக்திகளையும்
manitharagalai,மனிதரகளை
azhuvathil,அழுவதில்
loosuppasanga,லூசுப்பசங்க
vetrtrikaanavaendum,வெற்றிகாணவேண்டும்
maiyaththil,மையத்தில்
sumithaavaaga,சுமிதாவாக
thoazharkalthaanae,தோழர்கள்தானே
thanpaathukaappinkeezh,தன்பாதுகாப்பின்கீழ்
padaippugalukkup,படைப்புகளுக்குப்
sinamaeri,சினமேறி
thoalviyadaivatharku,தோல்வியடைவதற்கு
varappoaraaraamae,வரப்போறாராமே
unarththiyirukkum,உணர்த்தியிருக்கும்
aalirukkaangka,ஆளிருக்காங்க
solkatturai,சொல்கட்டுரை
paathaiyi,பாதையி
kadungasappaal,கடுங்கசப்பால்
irunchoalai,இருஞ்சோலை
ennappa,என்னப்ப
ozhiyisaip,ஒழியிசைப்
marakkampaththil,மரக்கம்பத்தில்
kuvaiththiyarkalai,குவைத்தியர்களை
thailamaram,தைலமரம்
kalaichchuppoattu,கலைச்சுப்போட்டு
oopana,ஓபன
tiruppiyavarukku,திருப்பியவருக்கு
entraakirathae,என்றாகிறதே
thozhirthuraik,தொழிற்துறைக்
pannaiyaththaalu,பண்ணையத்தாளு
nammakkalukkum,நம்மக்களுக்கும்
oththuvaraathunu,ஒத்துவராதுனு
puththuyirperach,புத்துயிர்பெறச்
kaalamthaam,காலம்தாம்
agaththiyin,அகத்தியின்
bowththapikkuvin,பௌத்தபிக்குவின்
archchitthullaar,அர்ச்சித்துள்ளார்
vilaavaachchae,விழாவாச்சே
pallinangkalaiyum,பல்லினங்களையும்
kitteenga,கிட்டீங்க
vanthukudiyaeriya,வந்துகுடியேறிய
guraththiyar,குரத்தியர்
udanpadaathathaal,உடன்படாததால்
minnirattai,மின்னிரட்டை
piriththariyavum,பிரித்தறியவும்
maadiyum,மாடியும்
kaividappattullaar,கைவிடப்பட்டுள்ளார்
jayabharathan,ஜெயபாரதன்
pudaagin,புடாகின்
ooviyapaaniyai,ஓவியபாணியை
vithiththathanaith,விதித்ததனைத்
vitturukkaapla,விட்டுருக்காப்ள
uthavuvoarukkum,உதவுவோருக்கும்
aarambavarigal,ஆரம்பவரிகள்
aeikkintra,ஏய்க்கின்ற
vadivangkaludan,வடிவங்களுடன்
aerpaduma,ஏற்படும
sudaraagap,சுடராகப்
diaptanium,டைப்டேனியம்
purinchuthonnoa,புரிஞ்சுதோன்னோ
katturaippoattikal,கட்டுரைப்போட்டிகள்
thaailandhup,தாய்லந்துப்
adippadaivaathamaagavum,அடிப்படைவாதமாகவும்
pirathamavirunthinar,பிரதமவிருந்தினர்
paakkuraanuga,பாக்குறானுக
thankaraiyum,தங்கரையும்
pangkuperappoagum,பங்குபெறப்போகும்
dharmarajyam,தர்மராஜ்யம்
moozhkuvoarin,மூழ்குவோரின்
vaasiththathaippattri,வாசித்ததைப்பற்றி
stravukku,ஸ்ட்ராவுக்கு
kuzhaliyar,குழலியர்
paguthikalilnetru,பகுதிகளில்நேற்று
azhiththavanaagavum,அழித்தவனாகவும்
amalgalaaga,அமல்களாக
aagalaingka,ஆகலைங்க
dumilan,டுமிலன்
naagayoagaththaip,நாகயோகத்தைப்
ethirnoakkinaen,எதிர்நோக்கினேன்
soththugalume,சொத்துகளுமே
senchittirunthae,செஞ்சிட்டிருந்தே
valavugalil,வளவுகளில்
thevaiyaa,தேவையா
annaiyurai,அன்னையூரை
mathippirkaana,மதிப்பிற்கான
villavaraaga,வில்லவராக
kanamullathaagavum,கனமுள்ளதாகவும்
utkondullanar,உட்கொண்டுள்ளனர்
idaappilulla,இடாப்பிலுள்ள
orbagudhiyai,ஒர்பகுதியை
nodiyilum,நொடியிலும்
nodukku,நொடுக்கு
midhipadaathavaaru,மிதிபடாதவாறு
virippin,விரிப்பின்
santhaathaararkalirku,சந்தாதாரர்களிற்கு
kudaanaattaiyae,குடாநாட்டையே
nadaiperavirunthathu,நடைபெறவிருந்தது
pazhivaangkanum,பழிவாங்கணும்
ulagariyaak,உலகறியாக்
podhuvazhiyin,பொதுவழியின்
vattilappam,வட்டிலப்பம்
aaron,ஆரன்
vinikar,வினிகர்
saakkalum,சாக்களும்
oortheivam,ஊர்தெய்வம்
gangaarukkalum,கங்காருக்களும்
allady,அல்லடி
kalivirakkaththaich,கழிவிரக்கத்தைச்
pinthodarkindra,பின்தொடர்கின்ற
theevinudaiya,தீவினுடைய
vaainthoar,வாய்ந்தோர்
minnanu,மின்னனு
varuththak,வருத்தக்
ulagaththalaththil,உலகத்தளத்தில்
kamishanagak,கமிஷனாகக்
vaendaathavaigalaip,வேண்டாதவைகளைப்
mudinththirukirathu,முடிந்திருகிறது
shaattukalaip,ஷாட்டுகளைப்
vanbunarvil,வன்புணர்வில்
gronarukku,குரோணருக்கு
amarththaththin,அமர்த்தத்தின்
seyalpaadup,செயல்பாடுப்
thakkavaiththukkollavae,தக்கவைத்துக்கொள்ளவே
bhaagangalai,பாகங்களை
mikunthavanin,மிகுந்தவனின்
azhagusaathana,அழகுசாதன
kuliththezhundhadhu,குளித்தெழுந்தது
procher,புரோச்சர்
piraamaniyaththil,பிராமணியத்தில்
kuripittaar,குறிபிட்டார்
paarppaniyaththirku,பார்ப்பனியத்திற்கு
nadaiperavirunthathaaga,நடைபெறவிருந்ததாக
veettukkaararai,வீட்டுக்காரரை
gulos,குலோஸ்
yoakiyaarum,யோகியாரும்
koorakkoodiyavar,கூறக்கூடியவர்
kamaliniyal,கமலினியால்
saniparani,சனிப்பரணி
thavalanthenna,தவளந்தென்ன
sevikoorvoam,செவிகூர்வோம்
sathumugan,சதுமுகன்
sigichchaiyilthaan,சிகிச்சையில்தான்
adhiganin,அதிகனின்
parappinoam,பரப்பினோம்
kaalaththulla,காலத்துள்ள
kuruviyap,குருவியப்
pithurdho,பிதுர்தோ
seyyappadava,செய்யப்படவ
perunaalil,பெருநாளில்
theervukaanpathuthaan,தீர்வுகாண்பதுதான்
vidakkalai,விடக்கலை
kanninaiyum,கண்ணினையும்
thaqoor,தாகூர்
kadanthakaalaththaik,கடந்தகாலத்தைக்
maanavaraniyaana,மாணவரணியான
suyavisaaranaiyilum,சுயவிசாரணையிலும்
thaayakathathirku,தாயகததிற்கு
ariyapattu,அரியப்பட்டு
valarththathaam,வளர்த்ததாம்
hermez,ஹெர்மெஸ்
sammanthappattathuthaan,சம்மந்தப்பட்டதுதான்
kudumbaththinaraagavum,குடும்பத்தினராகவும்
jalalpettai,ஜலால்பேட்டை
raajathanthiraththil,ராஜதந்திரத்தில்
thiruppiraiyaar,திருப்பிரையார்
vilangkukin,விளங்குகின்
ivvaazhvaich,இவ்வாழ்வைச்
niroopippathupoalach,நிரூபிப்பதுபோலச்
cleveland,கிளிவ்லேன்ட்
varavaetrtrakkak,வரவேற்றக்கக்
meetkindraargal,மீட்கின்றார்கள்
ariviyangkiyalin,அறிவியங்கியலின்
touristugal,டூரிஸ்டுகள்
achiththiram,அச்சித்திரம்
anuaayuthangkalai,அணுஆயுதங்களை
inakkanilaiyaik,இணக்கநிலையைக்
senthozhanaip,செந்தோழனைப்
veeramaanavargal,வீரமானவர்கள்
mudiyumunbae,முடியுமுன்பே
ayoaththiyinar,அயோத்தியினர்
sugaasanap,சுகாசனப்
thunaiyendra,துணையென்ற
neelamthaan,நீளம்தான்
sirappupadikku,சிறப்புபடிக்கு
avarkalaana,அவர்களான
