shindhanchem,शिंधांचें
rashtrabhakticha,राष्ट्रभक्तीचा
yaamaadhyamaatun,यामाध्यमातून
varunrajachya,वरुणराजाच्या
rangtar,रंगतर
chalvalikaden,चळवळीकडेन
hypophosphide,हायपोफॉस्फायड
volsten,वोल्स्टेन
kanatun,कानातून
adnyantatva,अज्ञानतत्व
gandalyaasaarakhi,गंडल्यासारखी
surekhache,सुरेखाचे
kaavyashaastraavar,काव्यशास्त्रावर
kulastri,कुलस्त्री
frontloading,फ्रंटलोडींग
vaahanaanbarobar,वाहनांबरोबर
jimakhaanyaavaril,जिमखान्यावरील
zhaddaakaden,झाडाकडेन
rajyabhishekane,राज्याभिषेकाने
zodpane,झोडपणे
utaraanche,उतरांचे
marathipremamule,मराठीप्रेमामुळे
karkatakaachyaa,कर्कटकाच्या
pramaadonmaadmodaay,प्रमादोन्मादमोदाय
panditonko,पंडितोंको
abhaavaatmak,अभावात्मक
kshanaay,क्षणाय
dhoraanaat,धोराणात
prateaxhapanan,प्रत्यक्षपणान
vargeeyaancho,वर्गीयांचो
ekdachya,एकदाच्या
gataabaddalache,गटाबद्दलचे
naastikataay,नास्तीकताय
pulavant,पुलावांत
dagamaganaaraa,डगमगणारा
basvilela,बसविलेला
aryabhattan,आर्यभट्टान
siddhasthitis,सिध्दस्थितीस
mipaahitachintak,मिपाहितचिंतक
vanvibhagakadun,वनविभागाकडून
makdacha,माकडाचा
khadyavikrete,खाद्यविक्रेते
sangatank,सांगातांक
belaan,बेलान
edisoniyan,एडिसोनियन
vasantdadani,वसंतदादांनी
bodeej,बॉडीज
bipinrao,बिपिनराव
fusakaa,फुसका
chomyaank,चोम्यांक
swagatgruhala,स्वागतगृहाला
jamindaransobat,जमीनदारांसोबत
daryaadegevailem,दर्यादेगेवयलें
gulaampannaachi,गुलामपणाची
bhogtos,भोगतोस
vyaktimatvaanaa,व्यक्तिमत्वांना
tarkadoshaat,तर्कदोषात
jamajak,जमाजाक
sobaayekhaatir,सोबायेखातीर
sampavalelya,संपवलेल्या
sundare,सुंदरे
fightingchi,फायटिंगची
malishsathi,मालिशसाठी
pustakaapaikee,पुस्तकापैकी
kejibimadhale,केजीबीमधले
vasoh,वसोः
khatalyaanmadhye,खटल्यांमध्ये
khokalyachya,खोकल्याच्या
yetaahaa,येताहा
vaajavalyaabarobar,वाजवल्याबरोबर
bhajanaatale,भजनातले
vhidiohi,व्हिडिओही
khallyaa,खाल्ल्या
kalasaache,कळसाचे
shikshanopayogee,शिक्षणोपयोगी
ovataa,ओवता
moshene,मोशेने
pratyashapanan,प्रत्यक्षपणान
jaminipaatalivar,जमिनीपातळीवर
shrenichem,श्रेणीचें
nillepan,निळेपण
sobarsasuddha,सोबर्ससुद्धा
avasthabadlala,अवस्थाबदलाला
cotterkadoon,कॉटरकडून
bhavarthala,भावार्थाला
humpoon,हुंपून
kendraant,केन्द्रांत
kalshanchi,कलशांची
samajjivanamadhye,समाजजीवनामध्ये
okonel,ओकोनेल
shauchaalayaatali,शौचालयातली
mhannarehi,म्हणणारेही
heedoo,हिदू
tyachyashejaril,त्याच्याशेजारील
malegavsarkhe,मालेगावसारखे
kerva,केरवा
paatheekhaandyaavar,पाठीखांद्यावर
aamachyaapaasun,आमच्यापासून
praasabhaaune,प्रासभाऊने
radlyaa,रडल्या
extraordinary,एक्स्ट्राऑर्डिनरी
talanyasathi,टाळण्यासाठी
onkareshwara,ओंकारेश्वरा
dhuvvadhar,धुव्वाधार
nottinghamshirechyaa,नॉटींगहॅमशायरच्या
triden,ट्रायडन
paakistaanakendrit,पाकिस्तानकेंद्रित
graamapanchaayatikadoon,ग्रामपंचायतीकडून
dagdanche,दगडांचे
stutisathi,स्तुतीसाठी
rutuchitra,ऋतुचित्र
vistavaas,विस्तवास
kolleanchihi,कोळ्यांचीही
nyaya,न्याया
lisboankade,लिस्बोआंकडे
sunaamiche,सुनामीचे
naatyach,नाट्यच
smrutipatalavarun,स्मृतीपटलावरून
sangharshaabaddalchaa,संघर्षाबद्दलचा
pallavikade,पल्लवीकडे
daayaningatebalaashee,डायनिंगटेबलाशी
kumaradinchya,कुमारादींच्या
badalanyaasaathichi,बदलण्यासाठीची
shodhanpeksha,शोधांपेक्षा
isjudin,इज्जुद्दीन
dabavse,दबावसे
kalidasasya,कालिदासस्य
kamitamentamadhe,कमिटमेंटमधे
euroniumche,युरोनियमचे
lalyachya,लाल्याच्या
shrirghunandan,श्रीरघुनंदन
udaysagar,उदयसागर
virodhipakshaanchyaa,विरोधीपक्षांच्या
sattekhateer,सत्तेखातीर
virvijay,वीरविजय
purushapramane,पुरुषाप्रमाणे
ghanyach,घाण्याच
vaasarer,वासरेर
dillipeksha,दिल्लीपेक्षा
uttarevatenato,उत्तरेवटेनटो
tirthayaatres,तिर्थयात्रेस
jaaysiche,जायसीचे
aakalane,आकळणे
vaaparpant,वापरपांत
glaasaane,ग्लासाने
baayalecher,बायलेचेर
yogdarshanaamadhye,योगदर्शनामध्ये
naaher,नाहेर
pahelavaan,पहेलवान
tuvaam,तुवां
parashyaapari,परश्यापरी
sainyaapaiki,सैन्यापैकी
bandaraajavalun,बंदराजवळून
chidavatil,चिडवतील
marcom,मार्कोम
parikshalyaa,परिक्षल्या
scotchi,स्कॉटची
mishyavala,मिश्यावाला
sekshuali,सेक्शुअली
bharatasahit,भारतासहीत
fallala,फळाला
nighaalyaapaasoonachi,निघाल्यापासूनची
samititale,समितीतले
raajyamukhelee,राज्यमुखेली
purohitaanchaa,पुरोहितांचा
pentingchi,पेंटिंगची
pishvi,पिश्वी
vaayumandalant,वायुमंडळांत
fatraponda,फातरांपोंदा
ganvesha,गणवेशा
pachanaatun,पचनातून
madhubalapeksha,मधुबालापेक्षा
gaalsion,गालसिऑन
nrutyasadrushya,नृत्यसदृश्य
saavarane,सावरणे
pichi,पिची
skulachea,स्कूलाच्या
aablaa,आबला
swikrutach,स्वीकृतच
vaidhatebaabat,वैधतेबाबत
eengrajaanche,ईंग्रजांचे
manibhau,मणिभाऊ
tashenchasuravaatek,तशेंचसुरवातेक
niyatichyaahi,नियतीच्याही
rasrajeshwar,रसराजेश्वर
sambandhitanchi,संबंधीतांची
uchalataach,उचलताच
changalyane,चांगल्याने
bhabitavyachya,भबितव्याच्या
bhasva,भासवा
aushadhapaddhateevar,औषधपद्धतीवर
selbari,सेलबारी
purvisarkhach,पूर्वीसारखाच
hiranchand,हिराचंद
ekkalakonde,एक्कलकोंडे
nikalpatracha,निकालपत्राचा
shastriyadrushtya,शास्त्रियदृष्ट्या
subbattechi,सुब्बत्तेची
lenyana,लेण्याना
kutryaanaahi,कुत्र्यांनाही
ishtaakhaatir,इश्टाखातीर
karnarani,करणारांनी
bhaashaanparyant,भाषांपर्यंत
gairakrutyaank,गैरकृत्यांक
jaavlyaa,जावल्या
nirakshari,निरक्षरी
gehanyancha,गेहन्यांचा
beshudh,बेशूद्ध
almost,अल्मोस्ट
islaamaabaadavareel,इस्लामाबादवरील
palgharsarkhya,पालघरसारख्या
increasingly,इन्क्रिजिंगली
shanivarvadyabaddal,शनिवारवाड्याबद्दल
distingavishd,डिस्टिंगविश्ड
shahaajiraajaanbarobar,शहाजीराजांबरोबर
kallanbhitar,काळांभितर
dhakyanvaylo,धक्यांवयलो
mhayanyaacho,म्हयन्याचो
vagnukila,वागणुकीला
garbhashayantalya,गर्भाशयांतल्या
raajabandyaachi,राजबंद्याची
vidhidnya,विधीज्ञ
ambajiche,अंबाजीचे
niropi,निरोपी
thaambaayachanhee,थांबायचंही
puravyankaden,पुराव्यांकडेन
vidhven,विधवेन
krelshi,क्रेलशी
dudhsagar,दुदसागर
rulaavaracham,रुळावरचं
manshachyo,मनशाच्यो
cencibility,सेन्सिबिलिटी
chikitselaa,चिकित्सेला
prasangaatahi,प्रसंगातही
gorvim,गोरवीं
nivadnukibabat,निवडणूकीबाबत
vachapyachya,वचप्याच्या
pikasathi,पिकासाठी
thikaanaapaasunach,ठिकाणापासूनच
bhaaratimviruddhahie,भारतींविरुद्धही
pariyonkaa,परियोंका
tarhaase,तऱ्हासे
sagalyachyach,सगळ्याच्याच
miraralesasuddha,मिररलेससुद्धा
dialysischa,डायलिसिसचा
kartyo,करत्यो
bolavanyaache,बोलवण्याचे
shukrasobat,शुक्रासोबत
ghutum,घुटूं
baisalees,बैसलीस
danoon,डाणून
shivpanchayat,शिवपंचायत
rupantay,रूपांतय
triber,ट्रायबर
aagvyaachi,आगव्याची
nrutyamahotsav,नृत्यमहोत्सव
vichaaranaarach,विचारणारच
sahmatis,सहमतीस
companyaani,कंपन्यांनी
nachach,नाचच
lombu,लोंबू
bhutasarkhe,भुतासारखे
natkyache,नाटक्याचे
pidek,पिडेक
pratisaadaankade,प्रतिसादांकडे
vyaktivarnanpar,व्यक्तीवर्णनपर
jyotishyachya,ज्योतिष्याच्या
sfatikvidnyaan,स्फटिकविज्ञान
shashikala,शशिकला
thopvata,थोपवता
mallmalila,मळमळीला
shikshakaanvarach,शिक्षकांवरच
mipavarchya,मीपावरच्या
batmadhun,बॅटमधून
shatakaakher,शतकाखेर
tokru,टोकरू
ramdevraicha,रामदेवरायचा
madhyapradeshatla,मध्यप्रदेशातला
presharamadhye,प्रेशरमध्ये
jeminag,जेमीनाग
manoranjanaacho,मनोरंजनाचो
daheeh,दहीः
jvaraante,ज्वरान्ते
bhimaachaa,भिमाचा
constructioncha,कंस्ट्रक्शनचा
jalasapharicha,जलसफरीचा
bonas,बोनस
kolhaapuratach,कोल्हापूरतच
avartanandarmyan,आवर्तनांदरम्यान
raahur,राहूर
saamurn,सामुर्ण
sadgruhasthaansaathee,सद्गृहस्थांसाठी
pantheeyaancho,पंथीयांचो
britishane,ब्रिटिशने
pattyakhali,पट्ट्याखाली
ghanrupaat,घनरुपात
jevaayachihi,जेवायचीही
bhabhijinchi,भाभीजींची
aayarvinachyaa,आयर्विनच्या
maraathavaadyaamadheel,मराठवाड्यामधील
sashushabdanchey,साधूशब्दांचें
maakhanar,माखणार
gopikaanbarobarchaa,गोपिकांबरोबरचा
inarshiyaamule,इनर्शियामुळे
pahilisuddha,पहिलीसुद्धा
jevanyapeksha,जेवण्यापेक्षा
hatavarun,हातावरून
maharanich,महाराणीच
husakavun,हुसकवून
baskar,बसकर
pathareche,पाठारेचे
dharbandach,धरबंदच
brahmanatva,ब्राह्मणत्व
nivaarane,निवारणे
jatinkaden,जातींकडेन
mrutyupanthala,मृत्यूपंथाला
tuhara,तुहारा
abhyasalehi,अभ्यासलेही
mehendichi,मेहेंदीची
binaasambodhanaachi,बिनासंबोधनाची
gullu,गुल्लू
hubaleet,हुबळीत
egarjo,इगर्जो
saibiy,सायबीय
santryaa,संत्र्या
urvashikade,उर्वशीकडे
suddhalekan,सुद्धलेकन
balancesheetach,बॅलन्सशीटच
andajpatraki,अंदाजपत्रकी
kaalaach,काळाच
paadachaarimaargaavaroon,पादचारीमार्गावरून
virodhakaanbaddal,विरोधकांबद्दल
manaamanaantil,मनामनांतील
induprakash,इंदुप्रकाश
nankanthavunu,नांकांथांवुनु
tyachyasarakhach,त्याच्यासारखच
dhakkadaykaritya,धक्कादायकरित्या
hasanyaatach,हसण्यातच
devgauda,देवगौडा
havnaashi,हवनाशी
dhanushakodeechyaa,धनुषकोडीच्या
hamilt,हॅमिल्ट
bhasanatakchkra,भासानाटकचक्र
irafaanacheehee,इरफानचीही
bandhtahet,बांधताहेत
daakhivali,दाखिवली
jaduvachi,जादुवाची
randnit,रांदनीत
maanepayar,मानेपयर
matalyaanmadhye,मतल्यांमध्ये
amaraavatipramaane,अमरावतीप्रमाणे
visheshanhi,विशेषणही
kiranaavalee,किरणावली
gharaavar,घरावर
saahityaanvaten,साहित्यांवटेन
swataat,स्वतात
gaandheevaadyaanaa,गांधीवाद्यांना
sapanaach,सपनाच
lekhaamadhe,लेखांमधे
bhaktant,भक्तांत
mendutlya,मेंदुतल्या
udaraat,उदरात
ghaatavaataanvar,घाटवाटांवर
viharatli,विहारातली
matitil,मातीतील
suvateveli,सुवातेवेली
kuchambanaahee,कुचंबणाही
keens,कीन्स
mahanatebaddal,महानतेबद्दल
rajvadyavar,राजवाड्यावर
aadimadhye,आदींमध्ये
xhetivishincho,शेतीविशींचो
ecosport,इकोस्पोर्ट
aagshem,आगशें
battingche,बॅटिंगचे
jivanshallanshi,जीवनशाळांशी
karathi,कराठी
joll,जोळ
vidhavekay,विधवेकय
bagalabacchaanchee,बगलबच्चांची
mandirehi,मंदिरेही
staknaachyaa,स्टॅक्नाच्या
aadharanvar,आधारांवर
kevilvana,केविलवाना
bighadanyaapaasun,बिघडण्यापासून
fanindra,फणींद्र
tapakataatach,टपकतातच
aassati,आस्सती
sarvisamadhalaa,सर्विसमधला
navvivahit,नवविवाहीत
chandragrahanaachi,चंद्रग्रहणाची
gojdy,गोजडी
praveshdarashi,प्रवेशदाराशी
baayopik,बायोपीक
shortlegchaa,शॉर्टलेगचा
studanst,स्टुडन्स्ट
barkashala,बर्कशाला
ghaarach,घारच
sarvendriyaansah,सर्वेन्द्रियांसह
swapnasarkhe,स्वप्नासारखे
bharatasarkhi,भारतासारखी
parivarantlyo,परिवारांतल्यो
pikanche,पिकांचे
parvur,परवूर
ichchinaaryaanvarahee,इच्छिणार्यांवरही
manohaar,मनोहार
mhallearuch,म्हळ्यारुच
sansthaapayaami,संस्थापयामि
apapuri,अपापुरी
kathaakar,कथाकर
musalamaanaanchech,मुसलमानांचेच
tirthakshetraat,तीर्थक्षेत्रात
paakeetaavar,पाकीटावर
balaganyatahi,बाळगण्यातही
bagdaadcher,बगदादचेर
tenvhaanch,तेंव्हांच
sanvedanetun,संवेदनेतून
festaankuy,फेस्तांकूय
polisach,पोलिसच
vyasanusar,व्यासानुसार
lonachesamratane,लोणचेसम्राटाने
raanyaacho,राण्याचो
kalamboleechyaa,कळंबोलीच्या
xekhoroch,शेखरच
bolzaano,बोल्झानो
aakadevaarichi,आकडेवारीची
beshtech,बेश्टेच
narsaritsuddha,नर्सरीतसुद्धा
bhatabarobarach,भाताबरोबरच
janateyakadalyan,जाणटेयाकडल्यान
navhetach,नव्हेतच
raverkar,रावेरकर
kasargod,कासारगोड
paredmulle,परेडमुळे
manvadhikaracha,मानवाधिकाराचा
kaapaam,कापां
santakadun,संताकडून
aaveshtanaankhaateer,आवेश्टनांखातीर
shilanvar,शिलांवर
khanlich,खणलीच
uddeshaanpaiki,उद्देशांपैकी
diplomatachyaa,डिप्लोमॅटच्या
marthacho,मार्थाचो
chepillen,चेपिल्लें
anukramanikaanchi,अनुक्रमणिकांची
yaadishivaay,यादीशिवाय
tantradnyaanayukt,तंत्रज्ञानयुक्त
lukvid,लुकवीड
ulthalaaees,उलथलाईस
jivanuvirodhi,जीवाणूविरोधी
shaantataayekhaatiracho,शांततायेखातीरचो
oshataleli,ओशटलेली
pavaaraamulech,पवारांमुळेच
gharogharihi,घरोघरीही
simollanghanacha,सिमोल्लंघनाचा
rasikapanala,रसिकपणाला
shastranahi,शास्त्रांनाही
spesifay,स्पेसिफाय
brahmansamaaj,ब्राह्मणसमाज
kuraanaapramaanech,कुराणाप्रमाणेच
buddhaankade,बुद्धांकडे
naakartepanaakade,नाकर्तेपणाकडे
aamchyaasahit,आमच्यासहीत
graase,ग्रासे
lukadasukada,लुकडासुकडा
vitthalahi,विठ्ठलही
ranimashi,राणीमाशी
cotzbay,कॉट्झबे
abhivyaktipurtaach,अभिव्यक्तीपुरताच
vyaadheesaathee,व्याधीसाठी
kothadimadhyehi,कोठडीमध्येही
gitaanchem,गितांचें
konakonachi,कोणाकोणाची
padashahankade,पादशहांकडे
mangalkaaryaalay,मंगलकार्यालय
lihinyaavaachanyaachan,लिहिण्यावाचण्याचं
jyaanchyaakadoon,ज्यांच्याकडून
treecharchyaa,ट्रीचरच्या
mekaniksapaasoon,मेकॅनिक्सपासून
purohitaanchi,पुरोहितांची
mahavishnuchya,महाविष्णुच्या
kavyapramane,काव्याप्रमाणे
daakhavalyaamule,दाखवल्यामुळे
pakacharya,पाकाचार्य
alsasya,अलसस्य
ishvarchandrak,ईश्वरचंद्रक
kannadaachaa,कन्नडाचा
kaalrahit,कालरहित
gosaavi,गोसावी
hotelwaalaa,हॉटेलवाला
yapalikadacha,यापलीकडचा
prakashche,प्रकाशचे
holitale,होळीतले
futeeche,फुटीचे
kulaapat,कुलापत
narharinche,नरहरींचे
snanpremasathi,स्नानप्रेमासाठी
barmyudache,बर्म्युडाचे
upanhanyaacher,उपन्हंयाचेर
asambhavaache,असंभवाचे
blogarachyaa,ब्लॉगरच्या
padashyaavar,पडश्यावर
sukhachya,सुखाच्या
kavlleaan,कावळ्यान
naafade,नाफडे
bailanchi,बायलांचीं
faankivant,फांकिवंत
zalakaavanaaraa,झळकावणारा
tvachedvaaraa,त्वचेद्वारा
varekar,वरेकर
fenfyaant,फेंफ्यांत
kimcha,किमचा
presavaalyaanshee,प्रेसवाल्यांशी
prasidhieparaayanataa,प्रसिद्धीपरायणता
humpalim,हुंपलीं
aarthikboja,आर्थिकबोजा
kamandaranchya,कमांडरांच्या
pokhareeyaal,पोखरीयाल
samaghiche,समाघीचे
chunkhadak,चुनखडक
rasayananchi,रसायनांची
parabhavaparyant,पराभवापर्यंत
milvana,मिळवणा
brashtachyar,ब्रश्टाच्यार
ekavatuniya,एकवटुनिया
satyashodhanachya,सत्यशोधनाच्या
madangadachi,मदनगडाची
nhaalele,न्हालेले
ganjaki,गंजकी
patyant,पात्यांत
vinaysar,विनयसर
shaalechim,शाळेचीं
pettaitaat,पेटयतात
naxikaam,नक्षीकाम
supikatechi,सुपिकतेची
munaafalaa,मुनाफला
samayaans,समयांस
sushvi,सुश्वी
marathyavina,मराठ्याविना
chinmadhunhi,चीनमधूनही
kalpanepalikadachyaa,कल्पनेपलीकडच्या
inscript,इन्स्क्रीप्ट
janmavelepramaane,जन्मवेळेप्रमाणे
uttarakhandatahi,उत्तराखंडातही
taasgaanvaat,तासगांवात
vastracho,वस्त्राचो
mukhyantri,मुख्यंत्री
pimpalaach,पिंपळाच
kanjuspana,कंजूसपणा
abhoot,अभूत
matadaaraanbarobar,मतदारांबरोबर
ghogharya,घोघऱ्या
paayajech,पायजेच
shakaharini,शाकाहारीनी
dasharathatmajah,दशरथात्मजः
anahitanchahi,अनाहितांचाही
lashkarakarita,लष्कराकरिता
gundaliche,गुंडाळीचे
raahuk,राहूक
kedranvar,केद्रांवर
haadlyaat,हाडल्यात
thoratankade,थोरातांकडे
yaachyaamadheel,याच्यामधील
societymadhe,सोसायटीमधे
jatidharm,जातीधर्म
ghokanyachya,घोकण्याच्या
sthananchach,स्थानांचाच
maharthamanjari,महार्थमंजरी
kelkarani,केळकरांनी
chirdurg,चिरदुर्ग
hancock,हॅन्कॉक
maarshmelo,मार्शमेलो
chaaribaajunche,चारीबाजूंचे
aavalalyaapaasun,आवळल्यापासून
bhunda,भुंडा
sanharat,संहारात
shilasetu,शिलासेतू
namaskaarasadrush,नमस्कारसदृश
vapikade,वापीकडे
vanshabhiman,वंशाभिमान
prathanasatranchi,प्रार्थनासत्रांची
sharanaagateevishayee,शरणागतीविषयी
bhandyamule,भांड्यांमुळे
tokaav,टोकाव
lenyaanchyaaithun,लेण्यांच्याइथून
sarakarantalech,सरकारांतलेच
chuchuni,चुचुनी
chirvishrantit,चिरविश्रांतीत
ravatars,रावटर्स
valtar,वाल्टर
shriyaakade,श्रियाकडे
dravyaanpramaanech,द्रव्यांप्रमाणेच
lyaan,ल्यान
khristaapekshaahi,ख्रिस्तापेक्षाही
suchvinara,सुचविणारा
karunanidhini,करूणानिधींनी
mhanje,म्हणजें
lekhanatalya,लेखनातल्या
mandnisuddha,मांडणीसुद्धा
aapatat,आपटत
tayarisarkhi,तयारीसारखी
vastunchey,वस्तूंचें
kanatopyanchi,कानटोप्यांची
godepanachya,गोडेपणाच्या
bhosaeechyaa,भोसईच्या
rashtradroheenchee,राष्ट्रद्रोहींची
sinkonachya,सिंकोनाच्या
vanshjaanvishayi,वंशजांविषयी
craft,क्राफ्ट
vaparanyachi,वापरण्याची
iswek,इस्वेक
aitarak,आयताराक
striyanmadhala,स्त्रियांमधला
trayivar,त्रयीवर
vishvaasarhatechaa,विश्वासर्हतेचा
pruthveetalaavarunach,पृथ्वीतलावरूनच
turungamadhye,तुरूंगांमध्ये
afriketun,आफ्रीकेतून
losar,लोसार
vidarbhi,विदर्भी
nyaayavaidyakeey,न्यायवैद्यकीय
belaashak,बेलाशक
phatrachyo,फातराच्यो
