namdharirao,নামধারীরাও
jhajhadi,ঝাঝাড়ি
unchukule,উঁচুকুলে
sonorgaon,সোনরগাঁও
harafei,হরফেই
spe,স্পে
sakkhinar,সাক্ষীনার
ekutu,একুটু
salahe,সালাহে
hathurusinge,হাথুরুসিঙ্গে
poreebortito,পরিবর্তীত
chinpremi,চীনপ্রেমী
dibyendu,দিব্যেন্দু
khanijer,খনিজের
rannagharti,রান্নাঘরটি
mukharbindong,মুখারবিন্দং
khototike,ক্ষতটিকে
pobondeber,পবনদেবের
sokheepoor,সখিপুর
ubgrade,আবগ্রেড
inform,ইনফর্ম
shalatike,শালাটিকে
bospake,বসপাকে
jhake,ঝাঁকে
uperi,উপেরই
levandovska,লেভানডোভস্কা
manobohite,মানবহিতে
putechi,পুতেছি
sisterhooder,সিস্টারহুডের
aporadhsahitter,অপরাধসাহিত্যের
darsanendriya,দর্শনেন্দ্রিয়
karg,কার্গ
vectorti,ভেক্টরটি
stuts,স্টাটস্
urubu,উরুবু
betzig,বেতজিগ
ekhono,এখনও
udokta,উদোক্তা
bryanke,ব্রায়ানকে
lamli,লামলি
amsat,অ্যামস্যাট
tattwogatobhabe,তত্ত্বগতভাবে
pector,পেক্টর
horace,হোরাক
dihar,ডিহার
bhadralokkei,ভদ্রলোককেই
qeyara,কেয়ার
jonoupojogita,জনউপযোগিতা
kuburi,কুবুরি
kashera,কাশেরা
transaparta,ট্রান্সপোর্ট
gajamatkhalir,গজমতখালীর
chulpi,চুল্পী
reasir,রিয়াসির
rashidir,রশিদির
arajkata,অরাজকাতা
kyangaruti,ক্যাঙ্গারুটি
gaffo,গাফো
bihardhyokkho,বিহারধ্যক্ষ
atharer,আঠারের
asua,আসুয়া
oportikeo,অপরটিকেও
bandanati,বন্দনাটি
bhondokeo,ভণ্ডকেও
kalkat,কলকট
nathipatrahin,নথিপত্রহীন
deeke,দিকে
bohubyapok,বহুব্যাপক
sompodoi,সম্পদই
opobyoboharo,অপব্যবহারও
mamed,মামেদ
occulsive,অকালসিভ
bisforoti,বিস্ফোরতি
shavo,শাভো
durdoshakeo,দুর্দশাকেও
manirapur,মণিরাপুরের
goligulite,গলিগুলিতে
conves,কনভেস
kimpembe,কিম্পেম্বে
aghorkrishnababur,অঘোরকৃষ্ণবাবুর
bates,বেটস্
shibirong,শিবিরং
siddhidevir,সিদ্ধিদেবীর
shahobirodhi,শাহবিরোধী
acroniser,অ্যাক্রোনিসের
parikshaamulakavaabe,পরিক্ষামুলকভাবে
antahpurgato,অন্তঃপুরগত
poribeshkay,পরিবেশকে
tantake,টানটাকে
burakh,বুরাখ
mestala,মেস্তালা
marmansk,মারমানস্ক
aboitanik,অবৈতনিক
emanbhabeo,এমনভাবেও
barposter,বারপোস্টের
lokashree,লোকশ্রী
aatbochhor,আটবছর
birhabostha,বিরহাবস্থা
sridevikanya,শ্রীদেবীকন্যা
kolamulo,কলামুলো
enriter,এনরাইটের
dorbriddhi,দরবৃদ্ধি
chintavabna,চিন্তাভাবনা
lalonbagh,লালনবাগ
rustenberg,রাস্টেনবার্গ
mushalpur,মুশলপুরের
fatamassal,ফাতামাস্সাল
turbofan,টারবোফ্যান
marakatari,মারাকাটারি
hasinaputra,হাসিনাপুত্রের
sadulyapursaha,সাদুল্যাপুরসহ
botuner,বটুনের
gurudasdar,গুরুদাসদার
philadeelfia,ফিলাডেলফিয়া
subcribtion,সাবক্রিবশন
mahanath,মহানাথ
buddhapurnima,বুদ্ধপুর্ণিমা
orkney,অর্কনি
aristophanes,এরিস্টোফানিস
anene,আনেনে
jouthabhabey,যৌথভাবে
tuteche,টুটেছে
byabahar,ব্যবহার
dharmapurusher,ধর্মপুরুষের
karandighiteo,করণদিঘিতেও
hammamkhanati,হাম্মামখানাটি
abedonshapekkhe,আবেদনসাপেক্ষে
unnatamansampanna,উন্নতমানসম্পন্ন
microvene,মাইক্রোভেনে
resend,রিসেন্ড
vogino,ভোগিনো
aryob,আরিয়ব
mysterius,মিস্টিরিয়াস
jeebuty,জিবুতি
sakhir,শাকির
pakhnateo,পাখনাতেও
zina,জিনা
representativra,রিপ্রেজেন্টেটিভরা
kestodas,কেষ্টদাস
mataltar,মাতালটার
adhyakkhaga,অধ্যক্ষগ
sortokotati,সর্তকতাটি
kyameramaldwarmalin,ক্যামেরামলদ্বারমলিন
wawe,ওয়েভ
applicant,এপ্লিকান্ট
tingkuk,টিংকুক
intarapreteshane,ইন্টারপ্রেটেশনে
sangbadzela,সংবাদজেলা
dojdlivoe,ডজডিলভো
byaptidane,ব্যাপ্তিদানে
natyojoner,নাট্যজনের
deshalpur,দেশলপুর
swashurderi,শ্বশুরদেরই
saai,সাঁই
esmeranda,এসমেরান্ডা
benaul,বেনাউল
tarkachudamani,তর্কচূড়ামণি
goryeo,গরিয়োর
santanbahini,সন্তানবাহিনী
tinchti,তিনচটি
publicetions,পাবলিকেশন্স
kathintakei,কঠিনটাকেই
ghuku,ঘুকু
atmogorbike,আত্মগর্বীকে
dirictor,ডিরিক্টর
donington,ডনিংটন
birhobhabe,বিরহভাবে
thakiteche,থাকিতেছে
nalgramer,নলগ্রামের
toshamodka,তোষামোদকা
kaunter,কাউন্টের
esperancer,এসপেরান্সের
imanullah,ইমানুল্লা
akarshane,আকর্ষণে
trujillo,ত্রুজিল্লো
tashin,তাশিন
uttorsorup,উত্তরস্বরূপ
havendranath,হবেন্দ্রনাথ
localhoste,লোকালহোস্টে
uchchotai,উচ্চতাই
shashikant,শশীকান্ত
biverage,বিভারেজ
karabaseo,কারাবাসেও
amlader,অমলাদের
jujam,জুজামের
maxons,ম্যাক্সনস
dabliubibi,ডাব্লিউবিবি
chhatinda,ছাতিন্দা
kharri,খার্রি
gramsamaj,গ্রামসমাজ
franois,ফ্রেঁসোয়াঁ
hajjapalankarir,হজ্জপালনকারীর
animate,এ্যানিমেট
fatezul,ফতেজুল
dubochor,দুবছর
barimal,বরিমাল
naribirodhi,নারীবিরোধি
nastikyobade,নাস্তিক্যবাদে
kushalbabur,কুশলবাবুর
muktijuddhakeo,মুক্তিযুদ্ধাকেও
chyabanprasher,চ্যবনপ্রাশের
hojjatrake,হজযাত্রাকে
jachilen,যাছিলেন
sharafke,শরফকে
baitulmale,বাইতুলমালে
aratus,আরাতুস
srimandape,শ্রীমণ্ডপে
bipam,বিপম
igps,আইজিপিএস
khukike,খুকিকে
inheritance,ইনহেরিটেন্সে
streer,স্ত্রীর
passiontike,প্যাশনটিকে
mitkinar,মিতকিনার
chitratite,চিত্রটিতে
helmyr,হেলমির
genarra,জেনাররা
hazibatullah,হাজিবাতুল্লাহ
markinio,মার্কিনিও
antahshastriya,আন্তঃশাস্ত্রীয়
byaboharjogi,ব্যবহারযোগী
kromhasman,ক্রমহাসমান
gaurichanna,গৌরিচন্না
valentina,ভেলানেটিনা
sandaler,সান্ডালের
pothineni,পথিনেনি
mahabuk,মাহাবুক
dache,ডাচে
texter,টেক্সটের
madakgrahan,মাদকগ্রহন
idmt,আইডিএমটি
snackse,স্ন্যাক্সে
nidorshonabolite,নিদর্শনাবলীতে
badiguloi,বাড়িগুলোই
sabitri,সাবিত্রি
muradul,মুরাদুল
abohelitobhabei,অবহেলিতভাবেই
dronoputro,দ্রোণপুত্র
superintendet,সুপারিনটেন্ডেট
sekshen,সেকশেন
villejargon,ভিলেজারগণ
atena,আতেনা
anchylosing,অ্যাঙ্কাইলোজিং
pashuhaspatal,পশুহাসপাতাল
shikkhokdol,শিক্ষকদল
otimatrar,অতিমাত্রার
dunker,ডাঙ্কার
kodalbasti,কোদালবস্তি
futnommukh,ফুটনোম্মুখ
lakshmake,লক্ষ্মকে
shida,সিদা
tekafkari,তেকাফকারী
kmks,কেএমকেএস
trainership,ট্রেইনারশীপ
spectacular,স্প্যাক্ট্যাকুলার
hwridayagulote,হৃদয়গুলোতে
gitiswamir,গীতিস্বামীর
griice,গ্রীস
upadangulo,উপাদানগুলো
aafulaa,আফুলা
raikishore,রাইকিশোর
branahin,ব্রণহীন
elatin,ইলাটিন
proshnarto,প্রশ্নার্ত
faqid,ফাকিদ
ivtigingtike,ইভটিজিংটিকে
srashtar,স্রষ্টার
khaqi,খাকি
karilenko,কারিলেনকো
poriyechi,পরিয়েছি
hydrosulfuric,হাইড্রোসালফিউরিক
shamakh,শামাখ
edujonkei,এদুজনকেই
juddhogami,যুদ্ধগামী
sarosh,সারোশ
bismritiprobonotar,বিস্মৃতিপ্রবণতার
ramniklal,রমনিকলাল
parani,পারানী
ballyokalei,বাল্যকালেই
poronjope,পরঞ্জপে
khalfahum,খালফাহুম
bajinang,বাজিনাং
griffieldorder,গ্রিফিল্ডরদের
daktarite,ডাক্তারিতে
ganakkhama,গণক্ষমা
unnotori,উন্নতরি
victorious,ভিক্টোরিয়াস
yogindariram,যোগীন্দরীরাম
crushifix,ক্রুশিফিক্স
palashi,পলাশি
monakhali,মোনাখালি
ganosebar,গণসেবার
barriton,ব্যারিটন
staphylococcus,স্টেফাইলোকক্কাস
brishtishcho,বৃষ্টিশ্চ
lingayetder,লিঙ্গায়েৎদের
acharonbidhir,আচারণবিধির
bangladshider,বাংলাদশিদের
ediboglu,এডিবোগ্লু
kolporajyobhittik,কল্পরাজ্যভিত্তিক
malhin,মালহিন
ingrejikaran,ইংরেজীকরণ
gudsundari,গুদসুন্দরি
fulnirchar,ফুলনিরচর
lohitani,লোহিতানি
sanjubabu,সঞ্জুবাবু
emeritasa,এমেরিটাস
barakpurei,বারাকপুরেই
sthule,স্থূলে
tagare,তাগারে
yonathan,য়োনাথন
uchchomane,উচ্চমানে
pourosobhagulikeo,পৌরসভাগুলিকেও
tarzerei,তারজেরেই
charantala,চরণতলা
pellon,পেলন
chiptir,চিপটির
mikjone,মিকজনে
jrme,জেরোম
majhimallarai,মাঝিমাল্লারাই
upojato,উপজাত
protisthasen,প্রতিষ্ঠাসেন
sabri,সাবরী
crb,সিআরবি
sthapanontorer,স্থাপানন্তরের
ostroborshoner,অস্ত্রবর্ষণের
khajnakhanar,খাজনাখানার
dakkhinpurba,দক্ষিণপূর্ব
shipur,শিপুর
gintio,জিনটিও
amule,আমুলে
singhabikram,সিংহবিক্রম
bibechonati,বিবেচনাটি
dansbargulite,ডান্সবারগুলিতে
bhaumikbabur,ভৌমিকবাবুর
mohochin,মহচিন
bsna,বিএসএনএ
moymonhingser,ময়মনহিংসের
virtual,ভারচুয়াল
mouthpeacer,মাউথপীসের
kachshilpa,কাচশিল্প
bitorkobibad,বিতর্কবিবাদ
senadero,সেনাদেরও
prajuktimelai,প্রযুক্তিমেলায়
valentan,ভ্যালেন্টান
bongaler,বঙ্গালের
kurangulor,কুরআনগুলোর
kapildaser,কপিলদাসের
tdv,টিডিভি
plasto,প্লাস্টো
ayyubshahi,আইয়ুবশাহী
gander,গ্যান্ডার
fide,ফেদে
preparation,প্রিপারেশন
venkararaman,ভেঙ্কররামন
mandobasa,মন্দোবাসা
toirikarker,তৈরিকারকের
aropitosyo,আরোপিতস্য
noyagramei,নয়াগ্রামেই
fatiechilen,ফাটিয়েছিলেন
carotene,ক্যারোটিনের
channelsonglogno,চ্যানেলসংলগ্ন
binoidar,বিনয়দার
prekhhagrihei,প্রেক্ষাগৃহেই
robotar,রবতার
jomadarer,জমাদারের
gorvokaler,গর্ভকালের
eshobdoti,এশব্দটি
mohapotaka,মহাপতাকা
probolsrote,প্রবলস্রোতে
berryman,বেরিম্যান
bindhura,বিন্ধুরা
markov,মার্কভ
mahmuke,মাহমুকে
ebajoto,এবাজত
lakshmidhan,লক্ষ্মীধন
kaliborno,কালীবর্ণ
itihasa,ইতিহাসা
harvestor,হারভেস্টর
bratto,ব্রাত্য
majumdarkandi,মজুমদারকান্দি
merrid,মেরিড
barjanlal,বর্জনলাল
lambersyr,ল্যামবারসির
alapcharir,আলাপচারীর
juliner,জুলিনের
siks,সিক্স
gordimer,গর্ডিমার
amadersamoy,আমাদেরসময়
loksangeeter,লোকসংগীতের
promitir,প্রমিতির
abhilekhyagar,অভিলেখ্যাগার
poribartontre,পরিবারতন্ত্রে
gungunanir,গুনগুনানির
boygiser,বয়গিসের
poucholam,পৌছোলাম
asbapotrer,আসবাপত্রের
matuttokalin,মাতুত্বকালীন
romkara,রোমকরা
khetrokar,ক্ষেত্রকার
chhatur,ছাতুর
jyesthabritto,জ্যেষ্ঠাবৃত্ত
traminale,ট্রামিনালে
dhoaite,ধোয়াইতে
georgievsky,জর্জিভস্কি
choukito,চৌকিত
budhoirjotha,বুধৈর্যথা
hirotor,হিরোতোর
hatgachar,হাটগাছার
madanmanchuka,মদনমঞ্চুকা
atmatushtiteo,আত্মতুষ্টিতেও
recategrosth,রিকেটগ্রস্থ
khojakhujir,খোজাখুজির
kheturir,খেতুরির
jonmoporichoyke,জন্মপরিচয়কে
pothonatter,পথনাট্যের
abhibhaboko,অভিভাবকও
kukurpremira,কুকুরপ্রেমীরা
snanete,স্নানেতে
onnoj,অন্যজ
dobleeutipi,ডব্লিউটিপি
abhijankhana,অভিযানখানা
murgiguloke,মুরগিগুলোকে
daghorer,দাঘরের
decorertus,ডেকোরের্টাস
brandtakei,ব্র্যান্ডটাকেই
muldhoka,মুলধোকা
begomkei,বেগমকেই
ordhoshikkhoti,অর্ধশিক্ষতি
bronchiolitis,ব্রোঙ্কিওলাইটিস
thakurpoder,ঠাকুরপোদের
fearless,ফিয়ারলেস
ramlalake,রামলালাকে
atnaprabanchana,আত্নপ্রবঞ্চনা
shubhabuddhiri,শুভবুদ্ধিরই
preminant,প্রিমিনেন্ট
sujogsandhanider,সুযোগসন্ধানীদের
kalinditiroborti,কালিন্দীতীরবর্তী
nisshobdotakeo,নিঃশব্দতাকেও
kanaget,কানাগেট
manobsebakeo,মানবসেবাকেও
maasei,মাসেই
gourkavya,গৌরকাব্য
malingai,মালিঙ্গাই
louiskeo,লুইসকেও
anubartan,অনুবর্তন
byathabindur,ব্যথাবিন্দুর
tikanor,টিকানোর
daiichi,ডাইচি
felas,ফেলাস
netarabangabandhu,নেতারাবঙ্গবন্ধু
natikey,নাতিকে
krishnaswarupini,কৃষ্ণস্বরূপিণী
marching,মারচিং
pmln,পিএমএলএন
sekrader,সেকরাদের
frejar,ফ্রেজার
sinarir,সিনারির
shefuddin,শেফুদ্দিন
adgulir,অ্যাডগুলির
trolled,ট্রোলড
godfadarkeo,গডফাদারকেও
shakalu,শাকালু
chumkare,চুমকরে
nokkhotrobishal,নক্ষত্রবিশাল
sombhabyote,সম্ভাব্যতে
bidhannagarbasira,বিধাননগরবাসীরা
khungu,খুংগু
gungur,গুঙ্গুর
superfore,সুপারফোর
ambrosius,আম্ব্রোজিউস
uccarone,উচ্চারণে
rrts,আরআরটিএস
nebone,নেবনে
shasonporber,শাসনপর্বের
sorbadhunik,সর্বাধুনিক
compring,কম্প্রিং
ashokto,আসক্ত
roadloff,রোডলফ
amoghanandini,অমোঘনন্দিনী
progrommer,প্রোগ্রমার
techi,তেচি
jotova,জোটোভা
dioning,ডায়নিং
sameh,সামেহ
padanullar,পদানুল্লার
ooporajita,অপরাজিতা
bishnupatni,বিষ্ণুপত্নী
khatkai,খটকাই
kathatir,কথাটির
chandrakandi,চান্দ্রকান্দি
sthogitadeshei,স্থগিতাদেশেই
romea,রোমেয়া
noubohorsoho,নৌবহরসহ
karmiler,কর্মিলের
exotic,এক্সোটিক
burunji,বুরুঞ্জি
guleri,গুলেরি
jhankke,ঝাঁককে
bidhanmancher,বিধানমঞ্চের
lifshuz,লিফশুজ
storaro,স্তোরারো
maunchonatok,মঞ্চনাটক
poroziibii,পরজীবী
patukir,পাতুকির
arole,আরোলে
jhanjar,ঝঞ্জার
cheharakhana,চেহারাখানা
eternalder,এটার্নালদের
anticonvulsant,অ্যান্টিকনভালসেন্ট
chhurikaghatero,ছুরিকাঘাতেরও
bostumatrei,বস্তুমাত্রেই
minitdui,মিনিটদুই
surkim,সুর্কিম
gojer,গোজের
tunuke,টুনুকে
brahmachintanam,ব্রহ্মচিন্তনম্
debadrito,দেবাদৃত
charusmermukha,চারুস্মেরমুখা
helick,হেলিক
raktajal,রক্তজল
khudharte,ক্ষুধার্তে
batune,বাতুনে
nirakkhorakha,নিরক্ষরেখা
freezia,ফ্রিজিয়া
pakokku,পাকোক্কু
moteltir,মোটেলটির
bastutanta,বাস্তুতন্ত
hrashpurbak,হ্রাসপূর্বক
jolpulishke,জলপুলিশকে
devtasu,দেবতাসু
folprokashito,ফলপ্রকাশিত
utpadonshil,উৎপাদনশীল
capgrass,ক্যাপগ্রাস
halddar,হালদার
meldir,মেলডির
nizambad,নিজামবাদ
barbour,বারবোর
shangarila,শাঙ্গারিলা
shyalu,শ্যালু
kabeloke,কাবেলোকে
agute,আগুতে
celer,সেলের
gurudasda,গুরুদাসদা
somratsoho,সম্রাটসহ
colourser,কালার্সের
somodhik,সমধিক
durjogprobon,দুর্যোগপ্রবণ
starbarkser,স্টারবার্কসের
cornelia,কর্নেলিয়া
gitavali,গীতাবলী
lokkhogulo,লক্ষগুলো
rujevic,রুজেভিচ
karagandar,কারাগান্দার
jaunatapurno,যৌনতাপূর্ণ
nagbekar,নাগবেকার
soleimania,সোলেমানিয়া
griezmanra,গ্রিজমানরা
michaelhortin,মাইকেলহর্টিন
senseshonke,সেনসেশনকে
aris,আরিস
tahirai,তাহিরাই
rupmul,রূপমূল
dibyadham,দিব্যধাম
podarthoshunno,পদার্থশূন্য
kirloskar,কির্লস্কার
mostitei,মস্তিতেই
shiplakala,শিপ্লকলা
apep,আপেপ
rabbuna,রাব্বুনা
hakitak,হকিতক
malkatar,মালকাটার
athirapallite,আথিরাপল্লিতে
stokormokorta,ষ্টকর্মকর্তা
aduri,আদুরী
kimike,কিমিকে
karontotto,কারণতত্ত্ব
protikdhormi,প্রতীকধর্মী
ronvet,রনভেট
gangu,গঙ্গু
porichoyjonito,পরিচয়জনিত
uchchotashil,উচ্চতাশীল
dhopei,ধোপেই
karga,কার্গো
rohitkei,রোহিতকেই
kasamer,কাসামের
panchambarshik,পঞ্চমবার্ষিক
khandarni,খান্ডারনি
manavendu,মানবেন্দু
javascript,জাভাস্ক্রিপ্ট
grissokale,গ্রীষ্মকালে
adhishto,অধিষ্ট
ahomede,আহমেদে
kalampura,কালামপুরা
narcos,নারকোস
bhulilei,ভুলিলেই
bhabaghurera,ভবঘুরেরা
kadrike,কাদ্রিকে
kurmuni,কুরমুনি
erdogankei,এরদোগানকেই
parichalanaao,পরিচালনাও
prokarone,প্রকারণে
projectile,প্রোজেক্টাইল
bandanna,বাঁধনও
haynao,হায়নাও
pothcharone,পথচারণে
mohorshidigke,মহর্ষিদিগকে
duhsthodero,দুঃস্থদেরও
pourakartrripakshao,পৌরকর্তৃপক্ষও
oitihasiksthan,ঐতিহাসিকস্থান
pothonante,পঠনান্তে
motiuddiner,মতিউদ্দিনের
chestai,চেষ্টাই
pailongulo,পাইলনগুলো
westbank,ওয়েস্টব্যাংক
godgill,গডগিল
transmissioner,ট্রান্সমিশনের
bakrile,বকরিলে
galaxyr,গ্যালাক্সির
marjoram,মারজোরাম
cheshmashahi,চেশমাশাহী
nijerderkei,নিজেরদেরকেই
masorum,মাশরুম
bahauddiner,বাহাউদ্দীনের
madhudugha,মধুদুঘা
gateske,গেটসকে
bhromonkorsoho,ভ্রমণকরসহ
scient,সায়েন্ট
watchcut,ওয়াচকাট
jhalar,ঝালার
majokher,মাজোখের
prajuktisubidha,প্রযুক্তিসুবিধা
nazraul,নজরুল
mufazzel,মুফাজ্জেল
gukto,গুক্ত
jahaanaara,জাহানারা
sombhabonarupe,সম্ভাবনারূপে
sikmi,সিকমি
sanjoyer,সঞ্জয়ের
tohin,তোহিন
presidentkei,প্রেসিডেন্টকেই
philistinobirodhi,ফিলিস্তিনবিরোধী
freak,ফ্রিক
pokshabolombon,পক্ষাবলম্বন
carrason,কারাসন
gutte,গুত্তে
baisamya,বৈষম্য
kuraul,কুরাউল
utshogulor,উৎসগুলোর
opottijonok,অপত্তিজনক
chestakari,চেষ্টাকারি
prohosonsoho,প্রহসনসহ
mehrunisar,মেহরুনিসার
lanchitader,লাঞ্ছিতাদের
bicharbyabosthao,বিচারব্যবস্থাও
sikkhajibontai,শিক্ষাজীবনটাই
shilpobhuboner,শিল্পভুবনের
jashodharakeo,যশোধরাকেও
modhubhande,মধুভান্ডে
unmuchan,উন্মুচন
shraddhabinamra,শ্রদ্ধাবিনম্র
rakhalrupi,রাখালরূপী
santonake,সান্তনাকে
bristle,ব্রিসল
duhshmritir,দুঃস্মৃতির
khodaiji,খোদাইজি
premanug,প্রেমানুগ
lacombe,লাকম্ব
tothyochitro,তথ্যচিত্র
ekotrikaran,একত্রীকরণ
namezer,নামেজের
khoy,খয়
jyesthotatder,জ্যেষ্ঠতাতদের
ghosamahaler,ঘোষামহলের
thaketen,থাকেতেন
swapnasmriti,স্বপ্নস্মৃতি
samgrim,সামগ্রিম
ratnabedite,রত্নবেদিতে
aluni,আলুনি
barnhamke,বার্নহ্যামকে
atmohononkarir,আত্মহননকারীর
rifeman,রাইফম্যান
poiramolke,পৈরামলকে
sommolenke,সম্মলেনকে
nichoy,নিচয়
mccubbin,ম্যাককাবিন
byabsabanijjo,ব্যবসাবাণিজ্য
froosh,ফারোশ
hangrira,হাংরিরা
haaj,হ্যাজ
ashantaj,অশান্তজ
acharankendrik,আচরণকেন্দ্রিক
raben,রাবেন
falaiya,ফালাইয়া
swechchasebider,স্বেচ্ছাসেবীদের
potroprobondho,পত্রপ্রবন্ধ
samantaraj,সামন্তরাজ
rashtrojontrotike,রাষ্ট্রযন্ত্রটিকে
tarunyodipto,তারুণ্যদীপ্ত
shishuniti,শিশুনীতি
fena,ফাইনাল
satyachitra,সত্যচিত্র
abhibasanmantri,অভিবাসনমন্ত্রী
prabhanjan,প্রভঞ্জন
oxyliors,অক্সিলিয়ারস
cisserlister,সিজারলিস্টের
kauppi,কাউপ্পি
impexer,ইমপেক্সের
bodhiruci,বোধিরুচি
dollphin,ডলফিন
qadiriyah,কাদেরিয়া
bouvat,বৌভাত
utthandwadoshi,উত্থানদ্বাদশী
chhatabelar,ছোটোবেলার
akatsuki,আকাৎসুকি
baj,বাজ
pregnanciteo,প্রেগন্যান্সিতেও
prokritij,প্রকৃতিজ
kadmatt,কাডমট
mostikkhok,মস্তিক্ষক
sampooran,সম্পূরাণ
suitingsthole,স্যুটিংস্থলে
shubhashisdar,শুভাশিসদার
upolobdhitir,উপলব্ধিটির
huzrakhana,হুজরাখানা
gabgachir,গাবগাছির
tinduke,তিন্দুকে
vascular,ভাসক্যুলার
pistachio,পিসতাচিয়ো
nirmolojhilo,নির্মলঝিল
granta,গ্রান্টা
dhhakalaibh,ঢাকালাইভ
seiter,সেইটার
brahmakathi,ব্রহ্মকাঠি
jonmoye,জন্ময়ে
modhyoprodeshbasike,মধ্যপ্রদেশবাসীকে
buizzenni,বুইজ্জেন্নি
boyonkrito,বয়নকৃত
kamtai,কামটাই
symbiote,সিমবায়োট
pragram,প্রোগ্রাম
netrimuler,নেতৃমূলের
jalprarthana,জলপ্রার্থনা
jajikader,যাজিকাদের
toger,টোগের
valgarde,ভালগার্ডে
joaqun,জোয়াকিন
bohirdike,বহির্দিকে
rulpui,রুলপুই
swamipeshar,স্বামীপেশার
bilboi,বিলবই
asmangulo,আসমানগুলো
jyotirindranather,জ্যোতিরিন্দ্রনাথের
chalanon,চালানোন
jonoboichitro,জনবৈচিত্র
baliakandibasider,বালিয়াকান্দিবাসীদের
bangladesershreshtho,বাংলাদেশেরশ্রেষ্ঠ
shogan,শোগান
shasonjoggo,শাসনযোগ্য
hamazake,হামাজাকে
darkest,ডারকেস্ট
nagaon,নওগাঁ
manushyadehadhari,মনুষ্যদেহধারী
dengiprobon,ডেঙ্গিপ্রবণ
dhulike,ধূলিকে
tothyobyobostha,তথ্যব্যবস্থা
footze,ফুটজে
