chainij,चाइनिज
samridhike,समृद्धिके
bandel,बँदेल
covertik,कवरत्तीक
daizee,दैजी
hemoglobin,हीमोग्लोबिन
vrihaspatik,बृहस्पतिक
morkkouk,मोरक्कोक
doobake,डूबाके
uthelthin,उठेलथिन
salgiko,साल्गिको
froso,फ्रोसो
natkiya,नटकिया
thokla,ठोकला
akharkatoo,अखरकटू
geetaken,गीतकें
peshwasan,पेशवासँ
chandrodya,चन्द्रोदय
pathyak,पाठ्यक
paalabe,पालबे
bhankrit,भंकृत
sireef,सिरीफ
adhyakshmai,अध्यक्षमे
smritikdrishta,स्मृतिकदृष्टा
vaideheek,वैदेहीक
ayyubi,अय्यूबी
nishchayapoorwak,निश्चयपूर्वक
anexy,एनेक्सी
starhinta,स्तरहीनता
bhasiaait,भसिआइत
samadhatun,समाधातुं
gudadiyaa,गुदड़िया
salshravan,सालश्रावण
siyaalkot,सियालकोट
debeejee,देबीजी
bhaktporak,भक्तपुरक
aujansankhya,औजनसङ्ख्या
abhilekham,अभिलेखम
tarahatthi,तरहत्थी
pensilak,पेन्सिलक
kaaryanwayanama,कार्यन्वयनमा
yugalbandee,युगलबन्दी
dekhliyain,देखलियैन
matiavarka,मटिअर्वाक
selbam,सेलबम
jodme,जोड्मे
kunteek,कुन्तीक
vednapoorn,वेदनापूर्ण
redikal,रेडिकल
saahebpur,साहेबपुर
shahdevdwara,शाहदेवद्वारा
detaun,देतौं
balpathakon,बालपाठकों
makaeba,माकेबा
tanjaur,तन्जौर
swadharupsan,स्वधारूपसँ
anurakshanak,अनुरक्षणक
barshaso,बर्षसो
internetka,इन्टरनेटक
hawaasan,हवासँ
dhanhar,धनहर
shaniken,शनिकेँ
ashayta,असहायता
sajate,सजते
jaisurya,जयसूर्या
premwarnan,प्रेमवर्णन
bhagtiniya,भगतिनिया
biunjhaunchhe,बिउँझाउँछे
sukeshwa,सुकेश्व
purwangikrit,पूर्वांगीकृत
chaikor,चैकोर
panjeeprabandhakean,पंजीप्रबन्धकेँ
khandaharak,खंडहरक
sikhalo,सिखलो
dhekee,ढेकी
batahapaneeke,बतहपनीके
gayakaka,गायकक
devghaatak,देवघाटक
ginba,गिनबा
bahnoi,बहनोइ
sarlahi,सरलाही
domja,दुम्जा
buddhcharit,बुद्धचरित
ganvesh,गणवेश
chamela,चमेला
rangliyaik,रंगलियैक
parvataarohan,पर्वतारोहण
sokhe,सोखे
shaame,शामे
kittaa,कित्ता
bechaevala,बेचएवाला
yatiwaro,यतिवरो
bedarda,बेदर्दा
kohwar,कोहवर
mihnat,मिहनत
mahalpar,महलपर
kurkutiya,कुरकुटिया
kanthay,कंठय
sagarpur,सागरपुर
abaiywala,अबैयवाला
pragatikarak,प्रगतिकारक
anakshar,अनक्षर
kloropil,क्लोरोपिल
jamaulak,जमौलक
swarnyugak,स्वर्णयुगक
dhalunuma,ढालुनुमा
aitol,एटोल
rakhaime,राखएमे
bholako,भोलाको
khaslee,खसली
vallabhaak,वल्लभाक
bhainso,भैंसो
kalamker,कलमकेर
nandinpati,नन्दीनपति
trinavali,तृणावली
feknai,फेकनाइ
avibhajya,अविभाज्य
khasalk,खसालक
harekrishn,हरेकृष्ण
patharee,पठारी
joriken,जोड़ीकेँ
sanskaaras,संस्कारस
vittaanusaar,वित्तानुसार
angarkha,अंगरखा
bhanukala,भानुकला
kois,कोइस
divasake,दिवसके
kanham,कान्हम
mutuko,मुटुको
tikamaya,टिकामाया
tokinae,तोकिने
pardasan,पर्दासँ
vishahariya,विषहरिया
brahmanirvanam,ब्रह्मनिर्वाणं
samudratal,समुद्रतल
sambhot,सम्भोट
vikasputra,विकासपुत्र
salehar,सलेहर
bhugatane,भुगतने
pradhummahnfenkan,प्रधुम्मःनफेंकन
aasmanak,आसमानक
sandarbhmoolak,सन्दर्भमूलक
sutharia,सुथरिया
thadaa,ठाडा
krishiwala,कृषिवाला
bairajak,बैराजक
mallahak,मल्लाहक
dwesho,द्वेषो
putrasabhasa,पुत्रसभसँ
shichastantyaan,शिचस्तन्त्यां
komleshwatra,कोमलेश्वतरा
saubhak,सौभक
congretulation,कांग्रेच्युलेशन
sarbanken,सरबनकेँ
chabutrak,चबुतराक
baireneeme,बैरेनीमे
telkoowa,तेलकुवा
nareshah,नरेशाः
gadheemaai,गढीमाई
jalok,जलोक
gaoge,गाओगे
accordian,अकार्डियन
haaruki,हारुकी
trainke,ट्रेनके
jinhe,जिन्हें
paksheegan,पक्षीगण
tayareek,तयारीक
upjaiye,उपजैए
topiwale,टोपीवाले
saboordatt,सबूरदत्त
padavadhi,पदावधि
tahse,तहसे
raajashvadarau,राजश्वदरौ
pragtal,प्रगटल
mohaname,मोहनमे
kraantime,क्रान्तिमे
bhedo,भेदो
sikhelkhin,सिखेलखिन
shankaracharyamaharaj,शङ्कराचार्यमहाराज
kanchanpur,कंचनपुर
kiyahalo,कियाहलो
raajdoot,राजदूत
naankhiye,नाँखिये
krooddh,क्रूद्ध
habaak,हबाक
amnaur,अमनौर
ittihaaskaarasabh,इतिहासकारसभक
ghaent,घेंट
somardhdharine,सोमर्धधारिणे
parivartankami,परिवर्तनकामी
vyavsthapikiy,व्यवस्थापिकीय
baisele,बैसेले
dabaavmoolak,दबावमूलक
sanskritaah,संस्कृताह
sarantah,सरन्तः
sanghchalak,संघचालक
maheshchandra,महेशचन्द्र
mijunou,मिजुनो
phullka,फूलका
nebolal,नेबोलाल
liwral,लिवरल
takaan,तकान
numberme,नम्बरमे
bechla,बेचला
guruadak,गुरुङक
algaye,अलगाए
chinvar,चिनवार
madhyamikasan,माध्यमिकासँ
udaseentasa,उदासीनतासँ
gharaname,घरानामे
chhawan,छावन
mithilaamod,मिथिलामोद
nibandhsangrah,निबन्धसङ्ग्रह
sofapar,सोफापर
jaymes,जेमेस
phailaavat,फैलावट
bhotekosi,भोटेकोशी
chataaik,चटाईक
insyorens,इन्स्योरेन्स
toros,तोरोस
sadrisya,सादृश्य
dosarsan,दोसरसँ
loakke,लोकके
vishwarambh,विश्वरम्भ
atidurlabh,अतिदुर्लभ
chhekari,छेकरी
rugnatak,रुग्णताक
pitambghar,पिताम्बघर
saptapuree,सप्तपुरी
pranaiste,प्राणैस्ते
dekhitai,देखितै
virendro,विरेन्द्रो
jadhiyayal,जड़ियायल
lacharime,लाचारीमे
geyai,गेयै
poorvakrit,पूर्वकृत
aajapaad,अजपाद
sanshodhitah,संशोधितः
rishirupi,ऋषिरूपी
aglo,अग्लो
arthvattaak,अर्थवत्ताक
einthi,ऐंठि
fremame,फ्रेममे
memoriyal,मेमोरीयल
bairbhaw,बैरभाव
hiyasitahun,हियासितहुँ
jaahis,जाहिस
sikhlau,सिखलौ
lalkarlanhi,ललकारलन्हि
kechna,केचना
rielt,रिएल्ट
roochik,रूचिक
jabdiyah,जबदियाह
samridhtaak,समृद्धताक
aspashth,स्पष्ठ
avadate,आवडते
khatkhataya,खटखटाया
aarmeniyalee,आर्मेनियाली
pensiondharik,पेंशनधारीक
sharmma,शर्म्मा
vivahme,वियाहमे
khudiramo,खुदीरामो
bhojparaul,भोजपरौल
mimiaaev,मिमिआएव
belwari,बेलवारी
gurucharnanamnugrahah,गुरुचरणानामनुग्रहः
hadiyaak,हडियाक
phukenchoura,फुर्केचौर
sosal,सोसल
sainyak,सैंयक
bahinsbh,बहिनसभ
ekangi,एकांगी
vasidnthrpu,वासिङथर्पु
sngrahit,सङ्ग्रहित
shrirghuvir,श्रीरघुवीर
shramjal,श्रमजल
shankhak,शङ्खक
shogirl,शोगर्ल
ujraa,उजरा
mrigmarichika,मृगमरीचिका
ooparke,ऊपरके
faktaad,फाक्टाङ
kendriet,केंद्रित
melina,मेलिना
abhivrittiken,अभिवृत्तिकें
maithemetikalee,मैथेमेटिकली
pibtauhun,पिबतौहुँ
thenthik,ठेंठीक
singgol,सिङगोल
vargikee,वर्गिकी
bolahat,बोलाहट
baadsang,बादसँग
bhajano,भजनो
israelee,इजरायली
varsbaad,वर्षबाद
mukhautashala,मुखौटाशाला
sirarpi,सिरार्पी
etebaik,एतेबैक
aakashgangame,आकाशगङ्गामे
bolaevala,बोलएवला
keench,कींच
mahek,महक
gailay,गैलय
khrana,खराङ
kudwa,कुदवा
bhaumikeeme,भौमिकीमे
usg,यूएसजी
aanivaryam,आनिवार्यम्
lruia,लरुइ
kapileshwamaradatt,कपिलेश्वमरदत्त
sampaadansan,सम्पादनसँ
kaprik,कापड़िक
bagesur,बागेसुर
dulhinen,दुल्हिनें
shastrachintanaih,शास्त्रचिन्तनैः
maharudrabhishek,महारुद्राभिषेक
sajh,साझ
jeeveshwar,जीवेश्वर
dinmuchyate,दिनमुच्यते
hanslhoon,हँसलहुँ
bichhuran,बिछुरन
chusneek,चुसनीक
siddhiyant,सिद्धियान्त
avastheesa,अवस्थीसँ
chaahit,चाहित
sajaoul,सजाओल
avichchhinnataya,अविच्छिन्नतया
upkaarke,उपकारके
asparsh,अस्पर्श
maugiyaah,मौगियाह
utkanthaaken,उत्कण्ठाकेँ
nepalile,नेपालीले
alonee,अलोनी
asprishyonksabh,अस्पृश्योंकसभ
kholayme,खोलयमे
khelalani,खेललनि
sangharshe,संघर्षे
tamaahuh,तमाहुः
devghare,देवघरे
persiak,पर्सियाक
cameroonme,क्यामरूनमे
imaratsabhme,इमारतसभमे
khairbanni,खैरबन्नी
shakunt,शकुन्त
baddhi,बढि
lakshmanaawati,लक्ष्मणावती
sarokarik,सरोकारीक
paisee,पैसी
pathaku,पाठकु
pandeken,पाण्डेकेँ
kriyeshanske,क्रियेशन्सके
madhubaniya,मधुबनिया
kootneetigya,कूटनीतिज्ञ
kabjak,कब्जक
nangariken,नाङ्गरिकेँ
shyamjiprasad,श्यामजीप्रसाद
mrityudootah,मृत्युदूताः
chhavichandrat,छविचन्द्रत
dashmansh,दशमांश
chhandsan,छन्दसँ
chadaayaan,चड़ायाँ
mallikajun,मल्लिकाजुन
sukhiramji,सुखीरामजी
joshidwara,जोशीद्वारा
mithilanagar,मिथिलानगर
dampatyak,दाम्पत्यक
netbainkig,नेटबैंकिग
kamalpatrakshyai,कमलपत्राक्ष्यै
baghsan,बाघसँ
puraanah,पुरानः
krantidharmee,क्रान्तिधर्मी
fufoo,फुफू
athiye,अथिये
itne,इतने
visarjn,विसर्जन
chahosan,चाहोसँ
appota,अप्पोटा
yogiya,योगिया
kitaabek,किताबेक
shivasthan,शिवस्थान
karailagal,करैलागल
shraa,श्रा
kaaryakrmsbhke,कार्यक्रमसभमे
lagpasak,लगपासक
parrashtra,परराष्ट्र
santulana,सन्तुलन
fyaktar,फ्याक्टर
mlaeriyak,मलेरियाक
bemishal,बेमिशाल
bhagwaniti,भगवानिति
arundhati,अरून्धति
sochiyoa,सोचियो
bhashasa,भाषासं
likhabaevala,लिखबएवाला
jankinand,जानकीनन्द
identification,आइडेन्टिफिकेशन
gyankai,ज्ञानके
shodhkartak,शोधकर्ताक
kautilyaaj,कौटिल्याज
chuaate,चुआते
zina,जिना
marchayeek,मर्चाईके
dwawetau,द्वावेतौ
sarvavisheshanopapatteh,सर्वविशेषणोपपत्तेः
bajaot,बजाओत
samuplabhyante,समुपलभ्यन्ते
hindo,हिंदो
designwali,डिजाइनवाली
ghantame,घंटामे
delin,देलिन
talainuma,तलाईनुमा
nibhebe,निभेबे
pichadal,पिछडल
aaryali,आर्यली
nambarbala,नम्बरबला
tejvani,तेजवानी
snkraman,संक्रमण
jasveer,जसवीर
marlak,मारलाक
ribdicoat,रिब्दीकोट
muaafik,मुआफिक
swabhaavajam,स्वभावजम्
motiyaabind,मोतियाबिंद
bhares,भरेस
pahunchanaay,पहुँचनाय
vivaeksheel,विवेकशील
pulajhkar,पुलझकर
thopuaa,थोपुआ
samarpitah,समर्पितः
foofo,फूफो
infarmeson,इन्फरमेसन
oblastak,ओब्लास्तक
prahelika,प्रहेलिका
chaudai,चौडाइ
subhawe,सुभावे
katekodhul,कतेकोधुल
rabbani,रब्बानी
sangeme,संगेमे
charchaken,चर्चाकें
bhashanke,भाषणकें
inruvak,इनरुवाक
panchsera,पंचसेरा
tittir,तित्तिर
shaasaksabh,शासकसभ
mithilamak,मिथिलामक
abhaychandrar,अभयचन्द्रर
kamarthuaak,कमरथुआक
seriyalme,सिरियलमे
vishwinath,विश्वीनाथ
jhajhafal,झाझफाल
sansargon,संसर्गों
hansaothinh,हँसओथिन्ह
shyapmalala,श्यापमलाला
karobarpar,कारोबारपर
majiri,मजीरी
chintanvarg,चिन्तनवर्ग
udhank,उद्यानक
dukhba,दुखबा
shoonyame,शून्यमे
bhuiya,भुइया
bujhiye,बुझिये
bidaare,बिडारे
maatrigir,मातृगिर
poorvasarg,पूर्वसर्ग
garchuniyo,गरचुनियो
yugalcharan,युगलचरण
dharnakhye,धारणाख्ये
baasie,बासिए
sodarpursan,सोदरपुरसँ
byaar,ब्यार
preya,प्रेय
kashisun,काशीसँ
shreeganosh,श्रीगणोश
niskasana,निस्कासन
swizerlandme,स्विजरल्याण्डमे
parkhe,परखे
ritirivaaj,रितिरिवाज
shuruaatee,शुरुआती
navviharita,नवविहारिता
mahman,महमान
ambarish,अंबरीश
samipwarti,समीपवर्ती
furbe,फुरबे
vitaranah,वितरणः
aedmsaka,एडम्सक
shahiji,शाहीजी
saharma,सहरमा
prabasi,प्रबासी
sangit,सङगीत
haneek,हानीक
gotayme,गोटेमे
bhogishwar,भोगीश्वर
aprel,अप्रिल
karapuraa,करपुरा
mitinga,मिटिंग
takaata,तकाता
sherpak,शेर्पाक
chormare,चोरमारे
aavirbhoot,आविर्भूत
satyagrahik,सत्याग्रहीक
mahautsavak,महाउत्सवक
kawitwa,कवित्व
adreshyataa,अद्रेश्यता
rogeeken,रोगीकेँ
naageenadas,नागीनदास
nikayeel,निकाइल
intarseptar,इंटरसेप्टर
aaradhnasan,आराधनासँ
indiadwara,इण्डियाद्वारा
vinona,विनोना
yamnath,यमनाथ
jhunjhalaahat,झुँझलाहट
boaay,बोआय
gavayyon,गवय्यों
balaksabha,बालकसभ
muaavaje,मुआवजे
matatirth,मातातीर्थ
devahun,देवहुँ
daugnaik,दौगनाइक
dedipyaman,देदीप्यमान
grihajillaa,गृहजिल्ला
maargapradarshan,मार्गप्रदर्शन
majhiliyo,मझिलियो
chancelership,चान्सलरशिप
gojhnaut,गोझनौट
vastatavik,वास्ततविक
priyasheel,प्रियशील
stahasn,सतहसँ
sarvkarmani,सर्वकर्माणि
bnabthi,बनाबथि
dunai,दुनै
kahuaa,कहुआ
liyabait,लियबैत
prinstan,प्रिन्सटन
premkanta,प्रेमकान्त
dotee,डोटी
kakrapar,ककरापर
vasudhaivakutumb,वसुधैवकुटुम्ब
svatntrata,स्वतंत्राता
shrikrishnagandaki,श्रीकृष्णगण्डकी
aathvata,आठवटा
nabonaarayan,नबोनारायण
gangotree,गङ्गोत्री
bohelak,बोहेलक
lathibalak,लाठीबलक
ideologysan,आइडियोलोजीसँ
gaathin,गाथिन
babarrmahal,बबरमहल
grtee,गर्टी
ghoreepar,घोड़ीपर
samastapur,समस्तपुर
sheetaol,शीताओल
praacheenakaalaadadyaavadhi,प्राचीनकालादद्यावधि
mojarak,मोजरक
kalsandhya,कालसन्ध्या
ramkrishnadh,रामकृष्णध
saimsanken,सैमसनकेँ
uthakay,उठाकय
vadiguad,वडिगाड
jorjiya,जर्जिया
swikarai,स्वीकारै
balhari,बलहरि
knai,कनै
khann,खनन
netraistribhih,नेत्रैस्त्रिभिः
dehariya,देहरिया
shyapmananda,श्यापमानन्दा
biltu,बिल्टु
bilhaik,बिलहैक
aahvaanak,आह्वानक
chandau,चन्दौ
sikandrabaad,सिकन्दराबाद
aparyaapt,अपर्याप्त
neelotpal,नीलोत्पल
baitadee,बैतडी
rvindranath,रविन्द्रनाथ
sarwabhootahiterataah,सर्वभूतहितेरताः
lagaavi,लगावि
shritaah,श्रिताः
kshamanand,क्षमानन्द
hathpainchi,हथपैंची
kachvaha,कछवाहा
kaudha,कौधा
staronnyan,स्तरोन्नयन
beemaroo,बीमारू
kameejak,कमीजक
amarisanh,अमरिसंह
huay,हुअय
vyavachchhedaarthak,व्यवच्छेदार्थक
dekhayba,देखयबा
sitanshu,सितांशु
gudhagudhee,गुड़गुड़ी
abouta,एबाउट
khaselathi,खसेलथि
karpura,कर्पुरा
chturdasheek,चतुर्दशीक
kazakhstaanak,कजाख्स्तानक
swarooplel,स्वरूपलेल
jaharkhuranike,जहरखुरानीके
pramatteshu,प्रमत्तेषु
thartharaiyt,थरथराइत
bhukaye,भुकाए
buree,बुड़ी
bachchagakah,बच्चागकः
thanasabh,थानासभ
mahaakaavyasabhak,महाकाव्यसभक
barati,बरति
ampayarin,अम्पायरिङ
chakchakee,चकचकी
raajapootalokani,राजपूतलोकनि
biyog,बियोग
vaith,वैठ
khelatu,खेलतु
setigandaki,सेतीगण्डकी
obhar,ओभर
jamoore,जमूरे
brihdaranya,बृहदारण्य
agyaanak,अज्ञानक
lakwamare,लकवामारे
ganyamanya,गण्यमान्य
praliki,प्रालिकी
mantralaysan,मंत्रालयसँ
ishapur,ईशापुर
kriyaaen,क्रियाएं
virahme,विरहमे
ferlaithi,फेरलैथि
parmanandaut,परमानन्दौत
baitho,बैठो
shivlala,शिवलाला
bhojpure,भोजपुरे
nirastra,निरस्त्र
resnal,रेसनल
butterfliz,बटरफ्लाइज
milaiga,मिलैगा
romeloo,रोमेलु
vaadakak,वादकक
shibendra,शिवेन्द्र
matrisanskritik,मातृसंस्कृतिक
ekwach,एकवच
sundreejal,सुन्दरीजल
jayanandthan,जयनन्दथन
sabhagrihaka,सभागृहक
kairo,कायरो
saegha,सैघा
inarme,इनारमे
muhjabaniye,मुँहजबानिये
mehanatiyaa,मेहनतिया
comfaing,कंफाइन्ग
urdoome,उर्दूमे
delalkhinh,देललखिन्ह
nikalbaksahas,निकलबाकसाहस
brahmanoahni,ब्रह्मणोऽह्नि
sanpak,साँपक
vicharadi,विचारादि
rahiti,रहिति
satrishn,सतृष्ण
shesnagk,शेषनागक
kalakritiyon,कलाकृतियों
neeri,नीरि
vrateesabh,व्रतीसभ
barselthi,बरसेलथि
yugajeevan,युगजीवन
aambhanjyana,आमभन्ज्याङ
aarambhavindu,आरम्भविन्दु
chhuba,छुबा
peleke,पेलेके
rashtrasabh,राष्ट्रसभ
bijary,बीजारी
premampur,प्रेममपुर
devsiyaken,देवसियाकेँ
dokhra,दोखरा
friquensee,फ्रिक्वेन्सी
gachlaah,गछलाह
poddarjik,पोद्दारजीक
sahyatrik,सहयात्रीक
shonitaael,शोणिताएल
chandrashekharkat,चन्द्रशेखरकट
puchietae,पुछितए
riporting,रिपोर्टिङ्ग
ghadhiyal,घड़ियाल
barne,बरने
kisanpor,किसनपुर
pahunchnihar,पहुँचनिहार
sarvamukhee,सर्वमुखी
englandak,इङ्ग्लयान्डक
mnsuree,मन्सुरी
thaehuniya,ठेहुनिया
thapthapate,थपथपाते
isarak,इसरक
fukasting,फुकास्टिंग
bagdah,बगदह
kathamukh,कथामुख
rajveer,राजवीर
bamiyanme,बामियानमे
marnipar,मरनीपर
sthim,स्थिम
sancharmantri,सञ्चारमन्त्री
autaik,औतैक
toshnidhi,तोषनिधि
ananyasharantaya,अनन्यशरणतया
bakhra,बखरा
shambhalak,संभाललक
khetah,खेतह
vankhandeekau,वनखण्डीकौ
raghuneejha,रघुनीझा
muskuraya,मुस्कुराया
thapliyalak,थपलियालक
staleenke,स्टालिनके
khatkhatelthi,खटखटेलथि
ghansyam,घनस्याम
intermediatak,इन्टरमिडिएटक
jyotireeshwarakean,ज्योतिरीश्वरकेँ
aurthodocs,अर्थोडक्स
kotiyan,कोटियाँ
asahajtaak,असहजताक
samarsibal,समर्सिबल
gaumpalikaken,गाउँपालिकाकें
raatdin,रातदिन
nirmamtasan,निर्ममतासँ
karejpar,करेजपर
aetribyusan,एट्रिब्युसन
dumkibas,दुम्किबास
rejish,रेजिश
bagbjar,बागबजार
jhonparon,झोंपड़ों
buddhikarah,बुद्धिकरः
naresak,नरेशक
pyun,प्युन
anshankarik,अनशनकारीक
prakasham,प्रकाशम
malangiya,मलंगिया
tnaimasic,त्नैमासिक
karmanushthan,कर्मानुष्ठान
yankartta,यनकर्त्ता
tootatau,टूटतौ
baelon,बेलोन
kaabulee,काबुली
khunl,खुनल
yashodhan,यशोधन
bhavendra,भवेन्द्र
dressan,ड्रेससँ
jyotishko,ज्योतिषको
pilaah,पिलाह
sheergh,शीर्घ
banglaur,बंगलौर
vigul,विगल
batiyawat,बतियावत
mithilabasi,मिथिलाबासी
gunjeshwa,गुंजेश्व
paapkarmak,पापकर्मक
serpawadi,सेर्पावादी
karvaich,करवैछ
jarajeern,जराजीर्ण
shrampar,श्रमपर
aadarshvan,आदर्शवान्
sonchav,सोंचव
paijani,पैजनी
panchalak,पंचालक
saarv,सार्व
dudhadroh,दुधद्रोह
seevi,सीवी
kharcho,खर्चो
gunsamooh,गुणसमूह
danavarik,दानावारीक
bidaah,बिदाह
valmart,वालमार्ट
nirbudhestu,निर्बुद्धेस्तु
febraryke,फरबरीकें
jetan,जेतन
nahayali,नहायलि
premu,प्रेमु
reddyk,रेड्डीक
namantaron,नामान्तरों
himrk,हिमरक
sankramansan,संक्रमणसँ
safred,सेफ्रेड
samkakshsabh,समकक्षसभ
durvachanak,दुर्वचनक
sampadakmupashritya,सम्पादाकमुपाश्रित्य
kalrupi,कालरूपी
churaaka,चुराक
shishyopshishya,शिष्योपशिष्य
lamkie,लम्की
rusab,रुसब
ummeedaar,उम्मीदार
rakeshgupt,राकेशगुप्त
thaaro,थारो
hereka,हेरेका
yagyake,यज्ञके
vataune,वतौने
rajnidhi,राजनिधि
kobita,कोबिता
anchinha,अनचिन्हा
sataaegi,सताएगी
autsukyasan,औत्सुक्यसँ
sitajekan,सीताजेकाँ
diggheek,दिग्घीक
atahak,अतहक
varunasyottambhanamasi,वरुणस्योत्तम्भनमसि
aggan,अग्गन
vyavasthaasya,व्यवस्थासॅ
bujhaime,बुझैमे
sarvashukla,सर्वशुक्ला
intimisimee,इन्टिमिसिमी
pattharpan,पत्थरपन
autograph,अटोग्राफ
renkak,रेंकक
dekhliehen,देखलिऐहेँ
herchahme,हेरचाहमे
jansamasyak,जनसमस्याक
vyakhyaon,व्याख्याओं
jummak,जुम्माक
paathaey,पाथेय
maheshsut,महेशसुत
chetkar,चेतकर
badeekota,बाँदीकोट
natakson,नाटकसँ
bhawaweshme,भावावेशमे
aashasa,आशासँ
kosne,कोसने
satyamohan,सत्यमोहन
gamaul,गमौल
aniyamitataake,अनियमितताकें
neeli,नीलि
nicchai,निच्छै
kariv,करीव
gadoosut,गादूसुत
usaas,उसास
padhariye,पधारिये
extreemeej,एक्सट्रीमीज
chaulkarm,चौलकर्म
moolsabhsan,मूलसभसँ
manini,मानिणी
bhumlichok,भुम्लिचोक
kayath,कयथ
manaswik,मानस्वीक
pakalken,पाकलकेँ
chaapak,चापक
viratnagarka,विराटनगरका
chillavai,चिल्लावै
awasthabare,अवस्थाबारे
nisdee,निस्दी
anksabhak,अङ्कसभक
bhaagasabha,भागसभ
upkathame,उपकथामे
aapttiyon,आपत्तियों
paramedikal,पारामेडिकल
botev,बोतेव
bhadbari,भदबारी
maholakshmiyadhar,महोलक्ष्मीयधर
chapachuo,चपाचओ
galne,गलने
deyaam,देयाम
uthounihar,उठौनिहार
pahilasan,पहिलासँ
jhankjhori,झंकझोरी
morchasan,मोर्चासँ
vichaaradhaaraasean,विचारधारासँ
veerpurme,वीरपुरमे
sachibalay,सचिबालय
manjureeme,मञ्जुरीमे
byaad,ब्याड
lokpairiya,लोकपैरिया
kartaram,करताराम
bhooto,भूतो
garibanandas,गरीबानन्दस
kismak,किस्मक
ratuaa,रतुआ
nirmanka,निर्माणका
dullaih,दुल्लैह
tanujaak,तनुजाक
vidhnedashwa,विध्नेदश्व
shbdkae,शब्दके
rahdaani,राहदानी
hunkasabhken,हुनकासभकेँ
grihyuddhak,गृहयुद्धक
jaywardnepura,जयवर्दनेपुरा
bhoomisudhar,भूमिसुधार
baadhipar,बाढ़िपर
dhagashan,धागासँ
modeil,मोडेल
risiaai,रिसिआइ
zanke,जनकें
jaawa,जावा
ghuskhorke,घुसखोरके
nawagantuk,नवागन्तुक
thoh,ठोह
kalkar,कालकार
aveitanik,अवैतनिक
tesresange,तेसरेसंगे
guroopura,गुरूपुरा
