natiji,ਨਤੀਜੀ
amorals,ਅਮੋਰਲਸ
gharnajandi,ਘਰਨਾਜਾਂਦੀ
oxygenon,ਆਕਸੀਜਨਨ
nakaratmikta,ਨਕਾਰਾਤਮਿਕਤਾ
lukauna,ਲੁਕਾਉਣਾ
yaata,ਯਾਤਾ
bayeer,ਬੇਅਰ
hittingboard,ਹਿੱਟਿੰਗਬੋਰਡ
aston,ਆਸਟਨ
segmentan,ਸੈਗਮੈਂਟਾਂ
ajnauli,ਅਜਨੌਲੀ
ghamaude,ਘਮਾਉਦੇ
rapupattar,ਰਪੁਪੱਤਰ
firkuvadiyan,ਫਿਰਕੂਵਾਦੀਆਂ
itafak,ਇਤਫ਼ਾਕ
jujhdian,ਜੂਝਦੀਆਂ
hanipreet,ਹਨੀਪ੍ਰੀਤ
chavegi,ਚਾਵੇਗੀ
kishwajit,ਕਿਸ਼ਵਜੀਤ
sivah,ਸਿਵਾਹ
sanguwal,ਸੰਗੂਵਾਲ
amnavi,ਅਮਨਵੀ
sainchiaan,ਸੈਂਚਿਆਂ
paijandi,ਪੈਜਾਂਦੀ
trudy,ਟ੍ਰੂਡੀ
manakkhanan,ਮਾਣਕਖਾਨਾਂ
redirects,ਰੀਡਾਇਰੈਕਟਸ
lacroics,ਲੈਕਰੋਇਕਸ
subscrossure,ਸਬਸਕ੍ਰੌਸ਼ਰ
lheel,ਲ੍ਹੀਲ
himmel,ਹੀਮੈਲ
mehtap,ਮਿਹਤਾਪ
kansraj,ਕੰਸਰਾਜ
detach,ਡੀਟੈਚ
shukargujari,ਸ਼ੁਕਰਗੁਜਾਰੀ
webpages,ਵੈੱਬਪੇਜਾਂ
puratanapatiaan,ਪੁਰਾਤਨਪਤੀਆਂ
nokdi,ਨੋਕਦੀ
gobiind,ਗੋਬਿੰਦ
kherani,ਖੇਰਨੀ
takhtbahi,ਤਖ਼ਤਬਾਹੀ
aahim,ਆਹਿਮ
hydrange,ਹਾਈਡਰੇਂਜ
pappas,ਪੈਪਸ
lineson,ਲਾਇਨਸਨ
bagleri,ਬਾਗਲੇਰੀ
parlarai,ਪਾਰਲਰਾਈ
macru,ਮੈਕਰੋ
ugake,ਉਗਾਕੇ
chanlite,ਚਾਨਲਾਈਟ
transference,ਟ੍ਰਾਂਸਫਰੈਂਸ
sugandhipan,ਸੁਗੰਧੀਪਣ
puleen,ਪੁਲੀਨ
ghanghru,ਘੰਘਰੂ
waziristan,ਵਜੀਰਿਸਤਾਨ
tiplist,ਟਿਪਲਿਸਟ
bhuti,ਭੂਤੀ
vaidharmata,ਵੈਧਰਮਤਾ
mahavidiaaliaan,ਮਹਾਂਵਿਦਿਆਲਿਆਂ
prabhsharan,ਪ੍ਰਭਸ਼ਰਣ
tatparti,ਤਤਪਰਤੀ
compilers,ਕੰਪਾਈਲਰਸ
doshakhavanvich,ਦੋਸ਼ਾਖਾਵਾਂਵਿੱਚ
lalkaka,ਲਾਲਕਾਕਾ
chanankhera,ਚਨਨਖੇੜਾ
farjal,ਫਰਜਲ
lalama,ਲਲਾਮਾ
virupata,ਵਿਰੂਪਤਾ
dogrian,ਡੋਗਰਿਆਂ
chaddiyan,ਛੱਡਦੀਆਂ
shimanshu,ਸਿਮਾਂਸ਼ੂ
muvkal,ਮੁਵਕਲ
travers,ਟ੍ਰੈਵਰਜ਼
nuksamai,ਨੁਕਸਮਈ
chhuttput,ਛੁੱਟਪੁਟ
bhartiat,ਭਾਰਤੀਅਤ
centaclas,ਸੈਂਟਾਕਲਾਜ਼
veejaya,ਵਿਜਯਾ
engels,ਏਂਜਲਸ
bulamd,ਬੁਲੰਦ
yoreshalam,ਯੋਰੇਸ਼ਲਮ
tawle,ਤਾਵਲੇ
nisfalta,ਨਿਸਫਲਤਾ
dadria,ਦਾਦਰੀਆ
frank,ਫ਼ਰਾਂਕ
judaha,ਜੁੜਾਹਾ
tanongsk,ਤਾਨੋਂਗਸਕ
rupauli,ਰੂਪੌਲੀ
leviks,ਲੇਵਿਕਸ
chhapadaan,ਛੱਪੜਾਂ
chatkharedar,ਚਟਖਾਰੇਦਾਰ
burban,ਬੁਰਬਨ
cinemagraphy,ਸਿਨੇਮਾਗ੍ਰਾਫੀ
japauna,ਜਪਾਉਣਾ
manawala,ਮਾਨਾਂਵਾਲਾ
utsat,ਉਤਸਤ
atharahvin,ਅਠਾਰਹਵੀਂ
bharmukt,ਭਾਰਮੁਕਤ
whitcoat,ਵ੍ਹਿੱਟਕੋਟ
mansukhram,ਮਨਸੁਖਰਾਮ
integrated,ਇੰਨਟੈਗਰੇਟਿਡ
machliye,ਮਛਲੀਏ
hakmutpur,ਹਕਮੂਤਪੁਰ
puwabi,ਪੁਵਾਬੀ
dolostone,ਡੋਲੋਸਟੋਨ
cupertino,ਕੂਪਰਟਿਨੋ
anmanukhta,ਅਣਮਨੁੱਖਤਾ
miran,ਮੀਰਾਂ
padarathee,ਪਦਾਰਥੀ
sarlikaran,ਸਰਲੀਕਰਣ
printir,ਪ੍ਰਿੰਟਿਰ
vaevasi,ਵੈਵਸੀ
shingran,ਸ਼ਿੰਗਰਾਂ
zimmein,ਜ਼ਿੰਮੇਂ
gurteg,ਗੁਰਤੇਗ
zealander,ਜ਼ੀਲੈਂਡਰ
treacher,ਟ੍ਰੈਚਰ
gokhuran,ਗੋਖੁਰਾਂ
harayanan,ਹਰਾਇਣਨ
photocaption,ਫੋਟੋਕੈਪਸ਼ਨ
subbalakshmi,ਸੁਬਾਲਕਸ਼ਮੀ
samjik,ਸਮਜਿਕ
yamnanagar,ਯਮਨਾਨਗਰ
bisahi,ਬਿਸਾਹੀ
dalogopu,ਦਾਲੋਗੋਪੂ
gnu,ਜੀਐਨਯੂ
pulangha,ਪੁਲੰਘਾ
kichal,ਕਿਚਲ
sondok,ਸੋਂਦੋਕ
baggins,ਬੈਗਿੰਸ
polosan,ਪੋਲੋਸਨ
rushneet,ਰੁਸ਼ਨੀਤ
ayyankali,ਅਯੱਨਕਲੀ
satejee,ਸਟੇਜੀ
dhadhkanhan,ਧੜਕਣਾਂ
kartif,ਕਾਰਡਿਫ
safaidta,ਸਫ਼ੈਦਤਾ
bhaskarpada,ਭਾਸਕਰਪਾੜਾ
salasbury,ਸਾਲਸਬਰੀ
sumiroge,ਸੁਮਿਰੋਗੇ
usaaroo,ਉਸਾਰੂ
controlls,ਕੰਟਰੋਲਸ
hilewat,ਹਿਲੇਵਾਟ
ugaai,ਉਗਾਈ
petrochemicals,ਪੈਟ੍ਰੋਕੈਮੀਕਲਜ਼
deenbandhu,ਦੀਨਬੰਧੂ
mukraunde,ਮੁਕਰਾਉਂਦੇ
nemato,ਨੇਮਾਤੋ
karandas,ਕਰਨਦਾਸ
aaiahai,ਆਇਆਹੈ
salieri,ਸਲੇਰੀ
jivanipark,ਜੀਵਨੀਪਰਕ
senors,ਸੇਨੋਰਸ
kunjigat,ਕੁੰਜੀਗਤ
mechanist,ਮਕੈਨਿਸਟ
manina,ਮਨੀਨਾ
jisey,ਜਿਸੇ
shally,ਸ਼ਾਲੀ
clients,ਕਲਾਇੰਟਜ਼
asvikarna,ਅਸਵੀਕਾਰਨਾ
chachidar,ਚਾਚੀਦਾਰ
rutte,ਰੁਟੇ
aryandeep,ਆਰਿਅਨਦੀਪ
punahi,ਪੁਨਾਹੀ
chigyu,ਚਿਗਯੂ
fasaune,ਫਸਾਉਣੇ
bikhiaat,ਬਿਖਿਆਤ
sebarbrik,ਸੇਬਰਬ੍ਰਿਕ
carded,ਕਾਰਡਡ
sarkarajwah,ਸਰਕਾਰਜਵਾਹ
pittbull,ਪਿੱਟਬੁਲ
kumaun,ਕੁਮੌਨ
lahuda,ਲਹੁਦਾ
sorton,ਸੋਰਟਨ
shukramiaan,ਸ਼ੁਕ੍ਰਮਿਆਂ
sikhade,ਸਿਖਦੇ
bhashaivadi,ਭਾਸ਼ਾਈਵਾਦੀ
konsole,ਕੋਨਸੋਲ
gurla,ਗੁਰਲਾ
sikviaan,ਸਿਕਵਿਆਂ
screditic,ਸਕ੍ਰੈਡਿਟਿਕ
dhant,ਧੰਤ
hlater,ਹਲੇਟਰ
thambidurai,ਥੰਬੀਦੁਰਾਈ
arjit,ਅਰੀਜੀਤ
bagalkote,ਬਾਗਲਕੋਟ
fariz,ਫ਼ਰੀਜ਼
narowalia,ਨਾਰੋਵਾਲੀਆ
cordless,ਕੌਰਡਲੈੱਸ
balgaria,ਬਲਗਾਰੀਆ
kerera,ਕੇਰੇਰਾ
barhambhatt,ਬਰਹਮਭੱਟ
piramal,ਪਿਰਾਮਿਲ
chandrasekaran,ਚੰਦਰਸ਼ੇਖ਼ਰਨ
bricking,ਬਰਿਕਿੰਗ
bhunni,ਭੁੰਨੀ
kluga,ਕਲੂਗਾ
janat,ਜਨਤ
mangewaliaan,ਮੰਗੇਵਾਲੀਆਂ
sheridan,ਸ਼ੈਰੀਡਨ
frinch,ਫਰਿੰਚ
jere,ਜੇਰੇ
metallics,ਮੈਟਾਲਿਕਸ
pailekal,ਪੈਲੇਕਲ
payerch,ਪੇਅਰਚ
lightan,ਲਾਈਟਾਂ
subtexive,ਸਬਟੈਕਸੀਵ
antartavan,ਅੰਤਰਤਾਵਾਂ
niptai,ਨਿਪਟਾਈ
qahtani,ਕਾਹਤਾਨੀ
dumpran,ਡੰਪਰਾਂ
latkegi,ਲਟਕੇਗੀ
sasipal,ਸਸੀਪਾਲ
lumbani,ਲੁੰਬਨੀ
guruprasad,ਗੁਰਪ੍ਰਸਾਦ
labu,ਲਾਬੂ
faramdar,ਫਰਮਦਾਰ
pramaniqaran,ਪ੍ਰਮਾਣੀਕਰਣ
dhoven,ਧੋਵੇਂ
kilford,ਕਿਲਫੋਰਡ
dorin,ਡੌਰਿਨ
lucoil,ਲੂਕੋਇਲ
daglag,ਡਗਲਗ
fasla,ਫਾਸਲਾ
jawaharpuri,ਜਵਾਹਰਪੁਰੀ
panhendel,ਪੈਨਹੈਂਡਲ
prasthari,ਪ੍ਰਸਥਾਰੀ
annieve,ਐਨੀਵ
gangrap,ਗੈਂਗਰੈਪ
khusi,ਖੁਸੀ
chhatwal,ਛੱਤਵਾਲ
jalalpara,ਜਲਾਲਪਰਾ
razedar,ਰਜ਼ੇਦਾਰ
madhalingi,ਮੱਧਲਿੰਗੀ
vagal,ਵਾਗਲ
jewari,ਜੇਵਰੀ
angereji,ਅੰਗੇਰੇਜੀ
besabari,ਬੇਸਬਰੀ
chitarhar,ਚਿਤਰਹਾਰ
itwinder,ਇਤਵਿੰਦਰ
barries,ਬੈਰੀਜ਼
stacilis,ਸਟੈਸਲਿਸ
rilaains,ਰਿਲਾਇੰਸ
fingerjung,ਫਿੰਗਰਜੰਗ
maldonado,ਮਾਲਦੋਨਾਡੋ
gurbawa,ਗੁਰਬਾਵਾ
gorakhpeeth,ਗੋਰਖਪੀਠ
manganese,ਮੈਗਨਿਜ਼
hots,ਹੋਟਸ
susma,ਸੁਸਮਾ
lukmania,ਲੁਕਮਾਨੀਆ
salaiban,ਸਲੈਬਾਂ
surinderjit,ਸੁਰਿੰਦਰਜੀਤ
haimurabi,ਹੈਮੂਰਾਬੀ
jathedaar,ਜਥੇਦਾਰ
fujidhar,ਫੁਜੀਧਰ
gurbhalinder,ਗੁਰਭਲਿੰਦਰ
bulbaliaan,ਬੁਲਬਲੀਆਂ
niyamat,ਨਿਯਮਤ
lakmal,ਲਖਮਲ
brackup,ਬਰੈਕਅਪ
coverlet,ਕਵਰਲੈਟ
bashiruddin,ਬਸ਼ੀਰੂਦੀਨ
jakdan,ਜਕੜਾਂ
wingback,ਵਿੰਗਬੈਕ
chatin,ਚਤਿੰਨ
sunnyman,ਸਨੀਮੈਨ
sikhde,ਸਿਖਦੇ
oxidative,ਆਕਸੀਡੇਟਿਵ
alano,ਅਲਾਨੋ
basraj,ਬਾਸਰਾਜ
huanko,ਹੁਆਂਕੋ
integretion,ਇੰਟੀਗ੍ਰੇਸ਼ਨ
kinghai,ਕਿੰਘਾਈ
rasimrat,ਰਸਿਮਰਤ
ramanpuri,ਰਮਨਪੁਰੀ
kudtarkar,ਕੁਦਤਾਰਕਰ
keonjhar,ਕਿਓਂਝਰ
kachihiriaan,ਕਚਿਹਿਰੀਆਂ
ichiro,ਇਚੀਰੋ
prothrobin,ਪ੍ਰੋਥਰੋਬਿਨ
vibhaur,ਵਿਭੌਰ
nilputis,ਨੀਲਪੁਟਿਸ
nuksande,ਨੁਕਸਾਨਦੇ
vishavpal,ਵਿਸ਼ਵਪਾਲ
nanbackback,ਨੈਨਬੈਕਬੈਕ
nimrana,ਨਿਮਰਾਣਾ
stoney,ਸਟੋਨੀ
dravad,ਦਰਾਵੜ
sisat,ਸਿਸਤ
bandobahan,ਬੰਦੋਬਾਹਾਂ
trere,ਟ੍ਰੇਰੇ
golabkhana,ਗੋਲਾਬਖ਼ਾਨਾ
mankeerat,ਮਨਕੀਰਤ
superintending,ਸੁਪਰਇੰਟੈਂਡਿੰਗ
aradhit,ਅਰਾਧਿਤ
ploskar,ਪਲੋਸਕਰ
marigodz,ਮੈਰੀਗੋਡਜ਼
mesiaan,ਮੇਸਿਆਂ
yuriva,ਯੂਰੀਵਾ
mulroney,ਮਲਰੋਨੀ
karkhas,ਕਾਰਖਾਸ
suttao,ਸੁੱਟਾਓ
badab,ਬਦਬ
karjakarni,ਕਾਰਜਾਕਾਰਨੀ
verbs,ਵਰਬਜ਼
hery,ਹੈਰੀ
mogis,ਮੋਗਿਸ
sangatri,ਸੰਗਤਰੀ
hariacha,ਹਰਿਆਚਾ
lonali,ਲੋਨਾਲੀ
karitka,ਕਰਿਤਕਾ
uthaaiya,ਉਠਾਇਆ
ovi,ਓਵੀ
holborn,ਹੋਲਬੋਰਨ
karkhal,ਕਰਖਲ
thian,ਥਿਆਨ
barakuda,ਬਾਰਾਕੁਡਾ
speekar,ਸਪੀਕਰ
trackert,ਟਰੈਕਰਟ
makemytrip,ਮੇਕਮਾਈਟ੍ਰਿਪ
liunde,ਲਿਉਂਦੇ
shauzi,ਸ਼ੌਜ਼ੀ
vakhreviyan,ਵੱਖਰੇਵਿਆਂ
ponne,ਪੌਣੇ
yudarshan,ਯੁਦਰਸ਼ਨ
unwas,ਉਨਵਾਸ
pabdian,ਪਾਬਦੀਆਂ
pahikadmi,ਪਹਿਕਦਮੀ
khudaganj,ਖੁਦਾਗੰਜ
ichhvaku,ਇੱਛਵਾਕੂ
sadharnan,ਸਧਾਰਣਾਂ
surmiaan,ਸੂਰਮੀਆਂ
outsource,ਆਊਟਸੋਰਸ
grajuaeshn,ਗ੍ਰੈਜੂਏਸ਼ਨ
dakshpreet,ਦਕਸ਼ਪ੍ਰੀਤ
vanaja,ਵਿਨਾਜਾ
kramgat,ਕ੍ਰਮਗਤ
piksa,ਪਿਕਸਾ
pompeii,ਪੋਮਪੇਈ
herla,ਹੇਰਲਾ
bhojak,ਭੋਜਕ
malaprabha,ਮਾਲਾਪ੍ਰਭਾ
imdong,ਇਮਡੌਂਗ
empires,ਐਂਪਾਇਰਸ
devsthana,ਦੇਵਸਥਾਨ
chrystia,ਕ੍ਰਿਸਟੀਆ
bochaganj,ਬੋਚਾਗੰਜ
yerlan,ਯੇਰਲਾਨ
hogginston,ਹਾਗਿੰਸਟਨ
kaidupur,ਕੈਦੂਪੁਰ
kareej,ਕਰੀਜ
lambeth,ਲੈਂਬੇਥ
maskiniye,ਮਸਕੀਨੀਏ
kangarsikaran,ਕਾਂਗਰਸੀਕਰਨ
suchibadh,ਸੂਚੀਬੱਧ
mahamandle,ਮਹਾਮੰਡਲੇ
kaslar,ਕਸਲਰ
cytemaps,ਸਾਈਟਮੈਪਸ
longal,ਲੌਂਗਲ
udna,ਉਡਨਾ
suzzles,ਸਜ਼ਲਜ਼
chohega,ਛੋਹੇਗਾ
typography,ਟਾਈਪੋਗ੍ਰਾਫ਼ੀ
kiraaiaa,ਕਿਰਾਇਆ
confucism,ਕਨਫਿਊਸ਼ਿਜ਼ਮ
balwinder,ਬਲਵਿੰਦਰ
samasthanik,ਸਮਸਥਾਨਿਕ
multivarkit,ਮਲਟੀਵਾਰਕਿਟ
teetne,ਟੀਟਣੇ
muhaji,ਮੁਹਾਜੀ
recoding,ਰੀਕੋਡਿੰਗ
gokula,ਗੋਕੁਲਾ
beline,ਬੇਲਾਈਨ
broner,ਬ੍ਰੋਨਰ
contalier,ਕੰਟੇਲੀਅਰ
grener,ਗਰੇਨਰ
spectroscopy,ਸਪੈਕਟਰੋਸਕੋਪੀ
japanese,ਜਾਪਾਨੀਜ਼
devbani,ਦੇਵਬਾਣੀ
gnathothomata,ਗਨਾਥੋਥੋਮਾਟਾ
sanunda,ਸਨੁੰਦਾ
tromso,ਟ੍ਰੋਮਸੋ
thiruvanantapuram,ਥਿਰੂਵਨੰਤਾਪੁਰਮ
avigdor,ਅਵੀਗਡੋਰ
polansky,ਪੋਲਾਂਸਕੀ
tolga,ਤੋਲਗਾ
simnat,ਸਿਮਨਤ
kajiye,ਕਾਜੀਏ
uppnagari,ਉੱਪਨਗਰੀ
semixercal,ਸੈਮੀਕਸਰਕਲ
ferrara,ਫੇਰਾਰਾ
hagel,ਹੇਜਲ
kameeaan,ਕਮੀਆਂ
gurdwara,ਗੁਰੂਦਵਾਰਾ
pattali,ਪੱਤਲੀ
lipst,ਲਿੱਪਸਟ
pabandishda,ਪਾਬੰਦੀਸ਼ਦਾ
dietics,ਡਾਈਟਿਕਸ
shasopanj,ਸ਼ਸੋਪੰਜ
connerson,ਕਨਰਸਨ
gopa,ਗੋਪਾ
scrap,ਸਕਰੈਪ
miansaki,ਮਿਆਂਸਾਕੀ
judanda,ਜੁੜੰਦਾ
sifarsa,ਸਿਫਾਰਸਾ
morinska,ਮੋਰਿੰਸਕਾ
preminder,ਪ੍ਰੇਮਇੰਦਰ
himika,ਹਿਮਿਕਾ
hepotomagly,ਹੇਪੋਟੋਮੇਗਲੀ
thappdi,ਥੱਪਦੀ
bharomjare,ਭਰੋਮਜਾਰੇ
begh,ਬੇਘ
rujhi,ਰੁਝੀ
martinsburg,ਮਾਰਟਿਨਸਬਰਗ
ikwador,ਇਕਵਾਡੋਰ
ikasmaan,ਇਕਸਮਾਨ
sahirikaran,ਸਹਿਰੀਕਰਨ
jaggin,ਜੱਗਿਨ
expandables,ਐਕਸਪੈਂਡੇਬਲਜ਼
triphala,ਤ੍ਰਿਫਲਾ
morchuri,ਮੋਰਚੂਰੀ
chilao,ਚਿਲਾਓ
manavwad,ਮਾਨਵਵਾਦ
chetavaniaan,ਚੇਤਾਵਣੀਆਂ
khayingte,ਖਾਇੰਗਟੇ
aaramgharan,ਆਰਾਮਘਰਾਂ
taharpuri,ਤਾਹਰਪੁਰੀ
kootnitikar,ਕੂਟਨੀਤੀਕਾਰ
mornau,ਮੋਰਨੌ
fusted,ਫਸਟਡ
prechard,ਪ੍ਰੀਚਾਰਡ
medicover,ਮੈਡੀਕਵਰ
gaku,ਗਾਕੂ
dorsi,ਦੋਰਸੀ
jaipuron,ਜੈਪੁਰੋਂ
bujhayegi,ਬੁਝਾਏਗੀ
abhimanai,ਅਭਿਮਾਨੈ
anafora,ਅਨਾਫੋਰਾ
whatsappy,ਵਟਸਐਪੀ
beneson,ਬੇਨੇਸਨ
sachna,ਸਚਨਾ
tajipora,ਤਾਜੀਪੋਰਾ
bcm,ਬੀਸੀਐੱਮ
thierry,ਥਿਯਰੀ
malvafirozpur,ਮਾਲਵਾਫਿਰੋਜ਼ਪੁਰ
najrul,ਨਜਰੂਲ
mallery,ਮੈਲਰੀ
moxine,ਮੋਕਸੀਨ
metroo,ਮੈਟਰੋ
khichchaven,ਖਿੱਚਵੇਂ
dehivaad,ਦੇਹੀਵਾਦ
vanilan,ਵਨੀਲਾਂ
maknuna,ਮਕਨੋਨਾ
dasmeshgarh,ਦਸਮੇਸ਼ਗੜ੍ਹ
naatupura,ਨਾਟੂਪੁਰਾ
constituent,ਕਾਂਸਟੀਚੂਐਂਟ
mihanatname,ਮਿਹਨਤਨਾਮੇ
maurasi,ਮੌਰਸੀ
dhuen,ਧੂਏਂ
orthopods,ਆਰਥੋਪੌਡਜ਼
nikhana,ਨਿਖਾਣਾ
nidaira,ਨਿਦਾਇਰਾ
sidhpur,ਸਿੱਧਪੁਰ
keje,ਕੇਜੇ
parapegandiyan,ਪਰਾਪੇਗੰਡਿਆਂ
budhgarh,ਬੁੱਧਗੜ੍ਹ
ulna,ਉਲਨਾ
charajohi,ਚਾਰਾਜੋਹੀ
amauri,ਅਮੌਰੀ
cornelius,ਕੁਰਨੇਲੀਅਸ
viaktipiaunpurane,ਵਿਅਕਤੀਪਿਆਉਣਪੁਰਾਣੇ
vaddem,ਵੈਡੇੱਮ
vasatu,ਵਸਤੁ
gosainpur,ਗੋਸਾਈਂਪੁਰ
alores,ਅਲੋਰਸ
jitaiyan,ਜਿਤਾਈਆਂ
skaut,ਸਕਾਊਟ
coonectivity,ਕਨੈਕਟੀਵਿਟੀ
gymnahardt,ਜਿਮਨਾਹਾਰਡਟ
golasingh,ਗੋਲਾਸਿੰਘ
ishtiaak,ਇਸ਼ਤਿਆਕ
satarawala,ਸਤਾਰਾਵਾਲਾ
seelanka,ਸੀਲੰਕਾ
rubin,ਰੂਬਿਨ
attvadikaran,ਅੱਤਵਾਦੀਕਰਨ
dhogri,ਧੋਗਰੀ
rimet,ਰਿਮਿਟ
mardin,ਮਾਰਦਿਨ
jamhankartavan,ਜਮ੍ਹਾਂਕਰਤਾਵਾਂ
bajhe,ਬਾਝੇ
wichlit,ਵਿਚਲਿਤ
lanvi,ਲਾਂਵੀ
butkhanan,ਬੁਤਖਾਨਾਂ
treasury,ਟ੍ਰੈਜ਼ਰੀ
jainti,ਜੈਂਤੀ
saifal,ਸੈਫ਼ਲ
lapinan,ਲਪਿਨਾਂ
beltiaan,ਬੇਲਟੀਆਂ
reynolds,ਰੇਨਾਲਡਜ਼
rajaswari,ਰਾਜਸਵਾਰੀ
vibgor,ਵਿਬਗੋਰ
daakhi,ਦਾਖੀ
kasumo,ਕਸੁਮੋ
poong,ਪੂੰਗ
sugon,ਸੁਗੋਨ
hamaudi,ਹਮਾਉਦੀ
boban,ਬੋਬਾਨ
lachmangarh,ਲਛਮਣਗੜ੍ਹ
padalkar,ਪਡਲਕਰ
bleman,ਬਲੇਮੈਨ
bolola,ਬੋਲੋਲਾ
pisco,ਪਿਸਕੋ
suhatte,ਸੁਹੱਤੇ
chapnionship,ਚੈਪਨੀਅਨਸ਼ਿਪ
bams,ਬੀਏਐਮਐਸ
chakhauna,ਚਖਾਉਣਾ
connor,ਕੋਨੇਰ
fivolux,ਫਿਵੋਲਕਸ
bluefish,ਬਲੂਫਿਸ਼
mansant,ਮਨਸਾਂਤ
lasga,ਲਾਸਗਾ
ehou,ਏਹੋ
pakdhiaan,ਪਕਧੀਆਂ
muhabatname,ਮੁਹੱਬਤਨਾਮੇ
ratantari,ਰਤਨਤਰੀ
haisuchna,ਹੈਸੂਚਨਾ
lingo,ਲਿੰਗੋ
bakkarkhana,ਬੱਕਰਖਾਨਾ
venkateshwar,ਵੈਂਕਟੇਸ਼ਵਰ
conspiracy,ਕਾਂਸਪਿਰੇਸੀ
shingnapur,ਸ਼ਿੰਗਣਾਪੁਰ
barleen,ਬਰਲੀਨ
aarambhali,ਆਰੰਭਲੀ
ctsc,ਸੀਟੀਐਸਸੀ
diviliers,ਡਿਵੀਲਿਅਰਜ਼
sadbhawna,ਸਦਭਾਵਨਾਂ
breaststroke,ਬ੍ਰੈਸਟਸਟ੍ਰੋਕ
sumerchand,ਸੁਮੇਰਚੰਦ
schmanic,ਸ਼ਮੈਨਿਕ
isopotase,ਆਈਸੋਪੋਟੇਜ਼
visun,ਵਿਸੁਨ
functioning,ਫੰਕਸ਼ਨਿੰਗ
kakadwal,ਕਕੜਵਾਲ
gajriaan,ਗਜਰਿਆਂ
sushili,ਸੁਸ਼ੀਲੀ
depersernalisation,ਡਿਪਰਸਰਨਲਾਈਜੇਸ਼ਨ
kaeroliinaa,ਕੈਰੋਲੀਨਾ
mahanirikhak,ਮਹਾਨਿਰੀਖਕ
neoclassical,ਨਿਓਕਲਾਸੀਕਲ
harle,ਹਾਰਲੇ
hujjiaan,ਹੁੱਜੀਆਂ
mokos,ਮੋਕੋਸ
herold,ਹੈਰੋਲਡ
alpsafe,ਐਲਪਸੇਫ
jotti,ਜੋਟੀ
dilkhake,ਦਿਲਖਕੇ
viatha,ਵਿਅਥਾ
ikasi,ਇਕਾਸੀ
chareh,ਚੜ੍ਹ
anubhat,ਅਨੁਭਤ
bandian,ਬਾਂਦੀਆਂ
potries,ਪੋਟਰੀਜ਼
balasaore,ਬਾਲਾਸੌਰ
modnath,ਮੋਦਨਾਥ
sunscriin,ਸਨਸਕ੍ਰੀਨ
funcom,ਫਨਕਾਮ
yeb,ਯੇਬ
dachsund,ਡਚਸੁੰਦ
tml,ਟੀਐਮਐਲ
dashed,ਡੈਸ਼ਡ
baggan,ਬੱਗਾਂ
sampatihin,ਸੰਪਤੀਹੀਨ
vikipedia,ਵਿਕੀਪੀਡੀਆ
mccollum,ਮੈਕਕੋਲਮ
reku,ਰੇਕੂ
ooi,ਉਇ
vadaruan,ਵਡਾਰੂਆਂ
darba,ਦਰਬਾ
khubhiaa,ਖੁਭਿਆ
dastu,ਦਸਤੂ
skuvran,ਸਕੁਵਰਾਂ
raajasee,ਰਾਜਸੀ
sheranwali,ਸ਼ੇਰਾਂਵਾਲੀ
chidahda,ਚਿੜ੍ਹਦਾ
