sharda,شاردا
mustafid,مستفید
holfubroom,ہولفیوبروم
mahapanchayab,مہاپنچایب
nasparem,نسپریم
kaafin,کافین
mohammadbashir,محمدبشیر
collengen,کولنجن
watehqeeqi,وتحقیقی
fedrail,فیڈریل
handscomp,ہینڈسکومپ
jotahfaz,جوتحفظ
rohingiyaz,روہنگیاز
bholak,بھولک
jamus,جاموس
nologist,نولوجسٹ
makiho,مکیہو
aqnaad,اقناد
pasay,پاسے
chaarging,چارجنگ
musafarbarso,مسافربرسو
kamishnarnoydahmadki,کمشنرنویداحمدکی
brazilia,برازیلیا
kosamba,کوسمبا
jumsh,جمش
profla,پروفلا
cendraction,سنڈریکشن
aashnakardiya,آشناکردیا
mahaad,مہاڑ
lenzo,لینزو
kobhakti,کوبھکتی
kholiyat,کھولیت
rozilet,روزیلٹ
karbonara,کاربونارا
bekab,بیکب
caparty,کیپارٹی
alaith,الائیڈ
natala,نٹالا
menchus,مینچس
taqviba,تقویبا
qararnahi,قرارنہی
tehseeldarz,تحصیلدارز
mandatwazan,مندتوازن
yugandaka,یوگنڈاکا
aardkharma,آردخرما
albarabarin,البرابرین
albado,البدو
tablikh,تبلیخ
karranjidah,کررنجیدہ
aayith,آیت
distrator,ڈسٹریٹر
washanomandar,وشنومندر
progeen,پروگین
khurazmi,خورازمی
sornam,سورنام
goroswamy,گوروسوامی
tachisofs,تاچیسوفس
khibar,خیبر
chonargi,چونرگی
pardimoman,پردیمومن
hodring,ہوڈرنگ
shaharwanang,شہروانانگ
stharulbas,ستھرالباس
ayashah,عیاشہ
panpotikan,پانپوٹیکن
chanduzeer,چندوزیر
yaghzal,یاغزل
frodesas,فروڈیساس
wahalham,وہلہم
chhinabalkah,چھینابلکہ
dardi,دردی
mabyanka,مابیانکا
geshwar,گیشور
loniyal,لونیال
polisa,پولیسا
kashtawad,کشتواڑ
mawalmoman,موالمومن
kasirulmadti,کثیرالمدتی
fakliyaat,فکلیات
inted,انٹیڈ
firwzo,فیروزہ
garmash,گرمش
deptartment,ڈیپٹارٹمنٹ
silohan,سیلوہان
yelaftah,یلفتہ
aiterafana,اعترافانہ
lababiya,لبابیا
procesrium,پروسیسریم
chitkabrah,چتکبرہ
tabalu,تبالو
tawatminan,تواطمینان
dafatar,دفاتر
chhabil,چھبیل
naku,ناکو
handpaper,ہینڈپیپر
tandoro,تندورو
aakha,آقا
shozong,شوزونگ
alkhayareen,الخیارین
scopedo,اسکوپیڈو
anoqool,انوقول
pazandi,پزندی
girnanahi,گرنانہی
naaashnahi,ناآشناہی
banii,بنی
aakhirkabina,آخرکابینہ
tarkhanof,ترخانوف
mohammadtigh,محمدتیغ
blatkarho,بلاتکارہو
lanapadta,لاناپڑتا
prelox,پریلاکس
kabata,کباتا
gamyaya,گمیایا
koslendardas,کوسلیندرداس
abuhanan,ابوحنان
aksarjhgada,اکثرجھگڑا
khudnaushat,خودنوشت
sebuna,سیبونا
favaar,پھوار
waariseen,وارثین
byirotwi,بیروٹوی
codfort,کوڈفورٹ
munijarmuqarar,منیجرمقرر
jhajh,جھاجھ
bahadroghayur,بہادروغیور
lalkeshwar,لالکیشور
redbreary,ریڈبریری
preunio,پریونیو
prosecation,پراسیکیشن
minamim,مینامم
sestmoma,سیسٹموما
dozwa,دوزوا
koaanso,کوآنسو
semisio,سیمیسیو
phukral,پھکرال
tamrud,تمرود
wamatkalam,ومتکلم
aurmalni,اورملنی
kasheenar,کشینر
secont,سیکنٹ
kawazsar,کوازسر
sheharbanani,شہربنانی
panarwasana,پنرواسن
kimiyanazari,کیمیانظری
hokrasemblue,ہوکراسمبلیو
bamuhadas,بمحدث
komukhtasarfasil,کومختصرفاصل
yakzot,یکزوٹ
kanopariya,کنوپریا
videozguzashta,ویڈیوزگزشتہ
diyamarkasudkhuro,دیامرکاسودخورو
wamolana,ومولانا
faroshon,فروشوں
phanya,پھنیا
amdadparorkashap,امدادپرورکشاپ
stafi,اسٹافی
nahadsazish,نہادسازش
aurmonograph,اورمونوگراف
partamulah,پرتمولہ
sarabarah,سرابرہ
sikandarabadhalqa,سکندرآبادحلقہ
piyaasal,پیاسا
mopsuth,موپسوتھ
prasararmot,پراسرارموت
hathiasak,ہتھیاسک
talaani,طلانی
chodhreen,چودھرین
serasimi,سیراسیمی
bemars,بیمارس
aberjo,ابرجو
yashtar,یشتر
badkirar,بدکرار
koshkot,کوشکوٹ
lagol,لگول
burnab,برنب
karayojank,کرایوجنک
osama,اسامہ
harkash,حرکش
alyari,الیاری
chembo,چیمبو
dorguzra,دورگزرا
harwani,ہروانی
shipments,شپمنٹس
karshah,کرشاہ
akusbund,عکسبند
kliyalik,کلیالک
ranorallah,رنوراللہ
gayabarf,گیابرف
bakarban,بکربن
lefnent,لیفنینٹ
speelmand,اسپیلمنڈ
sohasa,سوہاسا
albaldanin,البلدانین
patdee,پٹڑی
dengu,ڈینگو
orentish,اورنٹش
bachkarat,بچکارت
komatuli,کومتولی
hudberg,ہڈبرگ
chunancheh,چنانچہ
yojnaki,یوجناکی
akhbarankan,اخبارنکان
aadinaveerva,آدینویروا
darjawa,درجوا
yataabh,یتابھ
nichalkar,نچلکر
bolard,بولرڈ
davindrah,دویندرہ
hanarmiyafti,ہنرمیافتی
notrocascus,نوٹروکاسکس
zaranz,زرنز
atlori,اٹلوری
zeronazar,زیرونظر
gadoshiya,گدوشیا
rechisferva,ریچسفروا
ghabran,گھبران
dekhawanga,دیکھاونگا
crustosi,کرسٹوسی
aultashak,اولتشاک
shahongar,شاہونگر
takeah,ٹکیہ
diyadikha,دیادیکھا
badree,بدری
gremate,گریمیٹ
parshafeq,پرشفیق
dehrai,دہرائی
wafasrah,وفسرہ
automates,آٹومیٹس
pasandkwapni,پسندکواپنی
ranjat,رنجت
shadidjhanjhilahat,شدیدجھنجھلاہٹ
mufahemt,مفاہمت
bijnagar,بیجنگر
aurnisbataziadah,اورنسبتازیادہ
thalkuli,تھلکولی
parmakanat,پرمکانات
almaqdart,المقدرت
banaataa,بناتا
exchanges,ایکسچینجس
koladza,کولادزا
daalta,ڈالتا
pompeopakistan,پومپیوپاکستان
reberio,ریبیریو
meteorologist,میٹرولوجسٹ
kanfoyoga,کنفویوگا
ventriz,وینٹریز
jalasah,جلاسہ
tajweezamfid,تجویزمفید
balgor,بلگور
daraazsey,درازسے
barcho,برچو
nabalbuf,نبلبف
maskharkardiyagayah,مسخرکردیاگیاہ
harmarpos,ہرمرپوس
ghairmahfoz,غیرمحفوظ
karwantees,کاروانتیس
banakarna,بناکرنا
dojazirah,دوجزیرہ
adaskari,اداسکاری
rajosheti,راجوشیٹی
niswariki,نسوارکی
bardkardiya,بردکردیا
wazeereaala,وزیراعلی
rudiosers,روڈیوزرز
septat,سپتت
saqibah,ثاقبہ
depur,دیپور
itjaarti,اتجارتی
musadarshumar,مصدرشمار
heatra,ہیٹرا
dabsi,ڈبسی
jolani,جولانی
redovesi,ریڈوویسی
itnadur,اتنادور
patichishtia,پتیچشتیہ
tarjumanokas,ترجمانوکاس
todeshmakh,تودیشمکھ
julis,جولیس
aithosisi,ایتھوسیسی
sunbl,سنبل
masuodih,مسعودیہ
jawahamiyat,جواہمیت
yatamhari,یاتمہاری
chopaya,چوپایا
mukhtasarhalat,مختصرحالات
trustismi,ٹرسٹیزمی
dambura,دمبورہ
zadaftar,زدفتر
medicoat,میڈیکوٹ
tillerson,ٹیلرسن
judumukhtalif,جودومختلف
satarhumar,سترہمار
speclation,اسپیکلیشن
naruch,ناروچ
harpeghamber,ہرپیغمبر
alazdawaji,الازدواجی
nilakanta,نیلاکانٹا
sayedabi,سعیدبی
lagakarsab,لگاکرسب
mahtamagandhi,مہتماگاندھی
almuntahri,المنتہری
ahmadchaya,احمدچایا
caucasio,کاکیسیو
cubicoa,کیوبیکوآ
almadhi,المدحی
aurkando,اورکنڈو
channelges,چینلجز
naaf,ناف
namanas,نمانس
felita,فیلیٹا
mediabika,میڈیابکا
phirpiya,پھرپیا
polochemo,پولوکیمو
shahnawazabhatto,شاہنوازبھٹو
kankarahi,کنکرہی
dabrogadh,ڈبروگڈھ
glenk,گلینک
skandarpurah,اسکندرپورہ
fluminical,فلومینیکل
liyabhala,لیابھلا
wamadarso,ومدرسو
dhamasil,دھماسل
vichal,وچھل
sharqiya,شرقیہ
pastermanor,پاسٹرمنور
wamazduri,ومزدوری
qarardiyati,قراردیتی
partnerst,پارٹنرسٹ
associture,ایسوسیچر
mahabudiwambas,مہابودیوامبس
mansalpali,منسلپلی
madeer,مدیر
boluminols,بولومینولس
kheyami,خیامی
totsali,توتسلی
chankarah,چنکارہ
auragarkhatar,اوراگرخطر
plaka,پلاکا
samandarpariya,سمندرپاریا
shandarnakami,شاندارناکامی
gorth,گورتھ
karbunab,کاربونب
meunpapasia,میونپاپاسیا
ghotaalah,گھوٹالہ
alnitaqi,النطاقی
confitners,کنفٹنرز
balmand,بلمند
lanezia,لنیزیا
aabroso,آبروسو
biyaad,بیاد
wajharkhandan,وجھارکھنڈن
paranpari,پرنپری
bolshek,بولشیک
aijorth,ایجورتھ
dabhadkan,دبھڑکان
inderdonia,انڈرڈونیا
runcleds,رنکلڈز
blamak,بلامک
akeer,اکیر
baatilaan,باطلان
chudniya,چودنیا
podstochio,پوڈسٹوچیو
honto,ہونٹو
camtz,کیمٹز
semarsh,سیمرش
motocos,موٹوکوس
dubharti,دبھارتی
aishozkwantkhabi,ایشوزکوانتخابی
celerban,سیلربن
hemimate,ہیمیمیٹ
chartmingni,چارٹمنگنی
khafif,خفیف
rangaan,رنگان
koharladki,کوہرلڑکی
kajriwal,کجریوال
aaur,آئر
oblach,اوبلاچ
anoshiyo,انوشیو
amidqawi,امیدقوی
danishwarpa,دانشورپا
karpad,کرپڑ
jazbet,جذبیت
sarliah,سرلیہ
khabardari,خبرداری
secularzas,سیکولرزاس
notary,نوٹری
yapro,یپرو
namaztak,نمازتک
likhnapar,لکھناپار
ahdidan,عہدیدان
maamsa,مامسا
dahalat,ڈھالت
rimanand,ریمانند
zafarmaya,زفرمایا
menufacturing,مینیوفیکچرنگ
thaharkarswal,ٹھہرکرسوال
cheepadkaloz,چیپڑکلوز
sringlo,سرنگلو
pardulatmand,پردولتمند
komakhcheri,کومخچیری
wasoolkaar,وصولکار
sahulayat,سہولایت
falmy,فالمی
cubilos,کیوبیلوس
chalohazaar,چلوہزار
utmandi,اتمندی
adm,عدم
algharab,الغرب
jawazis,جوازس
roadjadanwala,روڈجڑانوالہ
aurakthni,اورکتھنی
powlo,پاؤلو
plazmia,پلازمیہ
refrefration,ریفریفریشن
prensplement,پرنسپلمنٹ
zakrmzahirah,ذکرمظاہرہ
phosphorecent,فاسفورسنٹ
metvation,میٹویشن
kakhla,کاکھلا
lanticlecal,لینٹیکلیکل
rajayi,رجائی
gortri,گورٹری
caterdo,کیٹرڈو
remage,ریمیج
khabarkobareking,خبرکوبریکنگ
exteopty,ایکسٹیوپٹی
peneonia,پینیونیا
qarumah,قرومہ
porcelain,پورسلین
gyarenti,گیارینٹی
ardobik,اردوبک
chatrenka,چترینکا
rapolosak,رپولوسک
lahmeyat,لحمیات
sevenza,سیونزا
bacholi,بچولی
pharmaglassiner,فارمگلاسینر
sharuberi,شروبیری
madaddinachahat,مدددیناچاہت
mcshane,میکشین
propof,پروپوف
applaud,اپلوڈ
godawi,گوداوی
shaayerah,شاعرہ
barbaf,بربف
scowadmi,اسکواڈمی
suzanne,سوزین
chaplol,چپلول
yaftarqan,یفترقان
velina,ویلینا
gaindgol,گیندگول
aiwaha,ایواہا
muqaddariyah,مقداریہ
cranker,کرینکر
jasuli,جسولی
laganiwal,لگانیوال
huatobharat,ہواتوبھارت
kudwakhana,کودواخانہ
wamakrallah,ومکراللہ
afghanistanko,افغانستانکو
nazuko,نازوکو
sporter,سپورٹر
aurjanuniyat,اورجنونیت
pervisogrop,پرویسوگروپ
freetlans,فریٹلانس
islahilat,اصلاحلات
saroni,سرونی
cosmet,کاسمیٹ
devbandiyah,دیوبندیہ
edioli,ایڈیولی
sograt,سوگرت
banaliyakah,بنالیاکہ
betalil,بیتالیل
janty,جنتی
oparhukumat,اوپرحکومت
hansiga,ہنسیگا
olympkinan,اولمپکینن
janey,زنے
albakhtari,البختری
pasandidh,پسندیدھ
buttons,بٹنز
kesiny,کیسینی
altajaya,التجایا
fodz,فوڈز
beauji,بیوجی
bananj,بننج
azayem,عزائم
aldob,الدوب
chadhadiya,چڑھادیا
giraftariko,گرفتاریکو
arbanuri,اربنوری
karsipar,کرسیپر
kamaga,کماگا
yawagin,یواگین
hazratshekh,حضرتشیخ
betsmanon,بیٹسمینوں
zabjaka,زبجکا
altanahi,الطناحی
ahsheeriki,احشیریکی
faroqarzi,فاروقرضی
kwadranps,کواڈرنپس
sarfarazkardiya,سرفرازکردیا
fundpunjab,فنڈپنجاب
albaladpani,البلادپانی
hansanaqabil,ہنسناقابل
martaban,مرتبان
jaganah,جگانہ
haspenics,ہیسپینکس
phirchar,پھرچار
daghnah,داغنہ
wasooch,وسوچ
akhtarnawazasti,اخترنوازستی
wajudiyath,وجودیت
agoki,اگوکی
locoli,لوکولی
shankash,شنکش
nichwata,نچواتا
parseedulmala,پرسیدالملا
aslamshahr,اسلامشہر
pardkani,پردکانی
namanpal,نمنپال
baadid,بادید
celsilson,سیلسلسن
limona,لیمونا
torio,ٹوریو
batalawi,بٹالوی
fakardeen,فکردین
galapagoz,گالاپاگوز
chandsarphro,چندسرپھرو
ustawayi,استوائی
salabeen,سلابین
lejroad,لیجروڈ
arduangrezi,اردوانگریزی
yelsivi,یلسیوی
schwarzbert,شوارزبرٹ
ahbaba,احبابا
chromatography,کروماٹوگرافی
champarni,چمپارنی
arzey,عارضے
nahikoi,نہیںکوئی
maulanin,مولانین
kahanipar,کہانیپر
yabaar,یبار
chattora,چٹورا
kyajah,کیاجہ
ghawayat,غوایت
martend,مارٹنڈ
bravoo,براوو
bahrosah,بہروسہ
mawamil,موامل
aminurah,امینورہ
aiszy,ایسزی
tangol,ٹنگول
marzaju,مرزاجو
afrangi,افرنگی
latwalio,لٹوالیو
rubrojab,روبروجب
manjheri,منجھیری
yogikarta,یوگیکرتا
matwatarja,متواترجا
tayfe,طائفے
khudabini,خدابینی
storesi,سٹوریسی
butlee,بٹلی
globlists,گلوبلسٹس
qadafiya,قدافیہ
bhadrolok,بھدرولوک
jahazsharkat,جہازشرکت
daroolhukumaton,دارالحکومتوں
nisararkan,نثاررکن
kashmeerparhamal,کشمیرپرحمل
namukamliyat,نامکملیت
arzankaar,ارزنکار
amaldaramadk,عملدرآمدک
warhi,ورہی
devzbury,دیوزبری
spemits,سپیمٹس
hrmtah,حرمتہ
pralik,پرالک
passed,پاس
yasfarkarskti,یاسفرکرسکتی
madinahkiyaskard,مدینہکیاسکرد
borotoskaya,بوروٹوسکایا
neelotpal,نیلوتپال
driyaftat,دریافتات
majbiah,مجبیہ
refering,ریفرنگ
binsar,بنسر
zaqwan,زقوان
sheedinging,شیڈنگنگ
biyapasi,بیاپسی
kalseer,کلسیر
abduljan,عبدالجن
kazab,کذاب
colino,کولینو
aijaaz,اعجاز
mediyaparishdedtanqidki,میڈیاپرشدیدتنقیدکی
molananwazish,مولانانوازش
arwaranhi,ارورانھی
ambaster,ایمبیسٹر
libulatories,لیبولیٹریز
ushur,اشور
stoneman,اسٹونمین
payajatahotwatni,پایاجاتاہوتواتنی
mikanil,میکانیل
sardhadki,سردھڑکی
hokargornar,ہوکرگورنر
expandables,ایکسپینڈبلز
shanyar,شنیار
showsha,شوشا
zemology,زیمولوجی
tohogi,توہوگی
kogharghartak,کوگھرگھرتک
ramqi,رمقی
hargazpasandidah,ہرگزپسندیدہ
esanwazsharif,ایسانوازشریف
aafisash,آفیسش
professorjash,پروفیسرجاش
eidulfitrahogi,عیدالفطرہوگی
ajdaha,اژدہا
allopthic,ایلوپتھک
pellery,پیلری
sananarejo,سنانریجو
prongland,پرانگلینڈ
shabuz,شبوز
albiyanat,البیانات
frontrezo,فرنٹریزو
koflana,کوفلانہ
perbutation,پربیوٹیشن
aldanyawana,الدنیاوانہ
bijanath,بیجاناتھ
determan,ڈیٹرمین
basemologist,بیسمالوجسٹ
zahurchuhan,ظہورچوہان
mujardatafseerhogi,مجردتفسیرہوگی
patinah,پتینہ
beharur,بہرور
jeosos,جیوسوس
spinka,سپنکا
bhulana,بھولانا
jobarabar,جوبرابر
kabartari,کبرٹری
jeemaloji,جیمالوجی
chlimatical,کلیمیٹیکل
americakwapan,امریکاکواپن
bhang,بھنگ
komraro,کومرارو
plagocosis,پلیگوکوسیس
guardry,گارڈری
hatchlin,ہیچلن
aanarwa,آنروا
thalthali,تھلتھلی
haiistemaal,ہےاستعمال
mahrak,محرک
thanajat,تھاناجات
mubibah,مبیبہ
asaso,اساسو
pathkadi,پٹھکڑی
herterch,ہرٹرچ
dexectprophen,ڈیکسکٹپروفین
satyanand,ستیانند
warala,ورالا
dawaya,دوایا
altaab,الطاب
degarparkis,دیگرپارکس
bobad,بوباد
pandal,پنڈل
agairullah,اغیراللہ
wangnath,ونگناتھ
hoian,ہوئیں
bataqrib,باتقریب
sherzmanki,شیرزمانکی
sharshari,شرشری
saansa,سانسا
disensing,ڈسنسنگ
shoharskandar,شوہرسکندر
incologist,انکالوجسٹ
shimiosi,شیمیوسی
taryundarampuram,تریوندرامپورم
normali,نورمالی
zawarshah,زوارشاہ
prelita,پریلیٹا
polkakos,پولکاکوس
karmashtarkah,کرمشترکہ
waaridaatar,وارداتر
intekhanat,انتخانات
electrates,الیکٹریٹس
istarmiki,استرمیکی
hanumantapa,ہنومنتپا
proczective,پراکزیکٹیو
bhambhura,بھمبھورا
degrabed,ڈیگرابیڈ
chhapwataho,چھپواتاہو
alhaz,الحز
bujhnay,بجھنے
alwajo,الوجو
gahwah,گہواہ
shabihani,شبیہانی
berginino,برجینینو
autolopascask,آٹولوپاسکاسک
nodolis,نوڈولس
versitive,ورسٹیو
electrogonty,الیکٹروگونٹی
bhunbanata,بھنبناتا
monikah,مونیکہ
graphenberg,گرافینبرگ
karkalbarn,کرکلبرن
adhadi,ادھڑی
starcrictorki,اسٹارکرکٹرکی
smarensburg,سمیرنسبرگ
bathorpolis,بٹھورپولیس
medodo,میڈوڈو
taland,تلند
abadpolis,آبادپولس
datehqiqi,دتحقیقی
dwarika,دوارکا
vishnaviolosi,وشنویولوسی
crustation,کرسٹیشن
dehshargardu,دہشرگردو
niklawasakti,نکلواسکتی
kangarogindbazo,کنگاروگیندبازو
trending,ٹرینڈنگ
nataliq,ناتعلیق
bazarkobandrkha,بازارکوبندرکھا
kanenistatics,کنینسٹیٹکس
redocene,ریڈوسین
majdalani,مجدالانی
sochbees,سوچبیس
sandleders,سینڈلڈرز
khudsuzsi,خودسوزسی
factorhoga,فیکٹرہوگا
tadaabar,تدابر
masalaw,مسالا
tobata,توبۃ
lambyi,لمبائی
waqsi,وقصی
lectorate,لیکٹوریٹ
almaqasidhal,المقاصدحل
badaqahdah,بدعقہدہ
premble,پریمبل
haterter,ہیٹرٹر
tartarahat,ترتراہٹ
warbeek,واربیک
rehtaya,رہتایا
ananpurta,اننپورتا
nabisas,نبیسس
yanahaya,یانہایا
mustahbaat,مستحبات
constantinolo,کانسٹنٹینولو
shosing,شوسنگ
adhurahi,ادھوراہی
mokhy,موکھی
denault,ڈینالٹ
maalya,معلی
commitibhi,کمیٹیبھی
jaldahum,جلدہم
chamakha,چمکھا
maaseeyat,معصیت
kwartrhsptal,کوارٹرہسپتال
aarmiyariri,آرمیاریری
anptonia,اینپٹونیا
zamidan,زمیدان
rozram,روزرام
aurmoz,اورموز
zabardastu,زبردستو
qastnitna,قسطنیطنہ
meerthal,میرتھل
herobas,ہیروباس
griftadoctor,گرفتاڈاکٹر
sadmushtarkah,صدمشترکہ
gorilasgreat,گوریلاسگریٹ
klanchoi,کلانچوی
bilawal,بھٹو
dumbrah,ڈمبرہ
ahmedkashmiri,احمدکشمیری
medton,میڈٹن
khushbuawarmahak,خوشبواورمہک
backstratery,بیکسٹریٹری
karparpura,کارپرپورا
satambarkwasi,ستمبرکواسی
mafroot,مفروط
khakriz,خاکریز
damtarios,دمتریوس
baltasmi,بالتسمی
bogas,ڈینی
chalwapeel,چلواپیل
sharmaji,شرماجی
demgeta,ڈیمگیٹا
gulukarbadshah,گلوکاربادشاہ
eroshalmuku,یروشلمکو
crustate,کرسٹیٹ
badtamizana,بدتمیزانہ
niyazka,نیازکا
cheribal,چیریبل
bahreat,بحریات
gramkani,گرامکنی
pawarmaharashtar,پوارمہاراشٹر
shamimikan,شمیمیکن
subhashari,سبھاشری
parfakharkartah,پرفخرکرتاہ
girhah,گرہہ
durun,ڈوروں
maqbolkar,مقبولکار
abulhasun,ابوالحسن
blasheen,بلاشین
diltavar,دلتاور
boodhan,بوڑھن
foranamo,فورانامو
courter,کورٹر
jodbar,جوڑبار
digwal,دیگوال
waghar,وغر
balniah,بالنیہ
nageshi,نگیشی
mashti,مشتی
conguzhaspetal,کنگزہاسپیٹل
mudaaris,مدارس
manazare,مناظرے
karoshka,کروشکا
dushniya,دشنیا
slevensky,سلیونسکی
chanapa,چناپا
aramilos,ارامیلوس
senita,سینیٹا
eczest,ایکزسٹ
bolshozam,بولشوزم
ibrars,ابرارس
kashkheli,کشخیلی
komdo,کومڑو
kajupahal,کاجوپہل
jahedah,جاہدہ
rentlest,رینٹلسٹ
hiklaponchhi,ہکلاپونچھی
charsologo,چارسولوگو
bartargrop,برترگروپ
nong,نونگ
magdos,مگدوس
zardaah,زردہ
parbandhat,پربندھت
karnapadathajibkah,کرناپڑاتھاجبکہ
jeebis,جیبس
amidwarjan,امیدوارجن
darguzarkarnaskhawat,درگزرکرناسخاوت
dranki,ڈرانکی
alalif,العلیف
pachnava,پچناوا
kasfardodoghant,کاسفردودوگھنٹ
aberkeek,ابرکیک
exmetry,ایکسمیٹری
koyatojazvi,کویاتوجزوی
joliyod,جولیوڈ
koghazal,کوغزل
takfirishmarnahi,تکفیرشمارنہی
khushbudali,خوشبودالی
catios,کیٹیوس
ralot,رلوٹ
saanchan,سانچن
kasinhwa,کسینہوا
nosarbalocha,نوسربلوچا
purzka,پرزکا
kardiyathalekin,کردیاتھالیکن
somarg,سومرگ
purjalal,پرجلال
harters,ہارٹرز
mubarco,مبارکو
inshortion,انشورشن
kalabazi,کلابازی
sajadakbarkhan,سجاداکبرخان
rozgarmal,روزگارمل
prashia,پراشیا
tape,ٹپے
jaskoor,جسکور
bayamar,بیامر
prording,پرورڈنگ
salambam,سلمبم
plasmanism,پلازمینزم
atleej,اٹلیج
natijtako,نتیجتاکو
karikol,کاریکول
dhansaar,دھنسار
posavina,پوساوینا
prances,پرانسس
aarkon,آرکون
alghazli,الغزلی
masuraah,مصورہ
admat,ادمت
arpagegate,آرپیجیگیٹ
surpling,سرپلنگ
mechanics,میکینکس
markaztasleem,مرکزتسلیم
aurjochizi,اورجوچیزی
sulaimanbiri,سلیمانبیری
aurveet,اورویت
bergersab,برگرسب
likhadina,لکھادینا
moqhadhimah,مقدمہ
dhanasetho,دھناسیٹھو
protehection,پروٹیہکشن
bikhangam,بکھنگم
lawawa,لواوا
mourufah,معرفہ
tamhi,تمہی
aafisarmadan,آفیسرمدن
electure,الیکچر
ajampasandali,اجمپسندالی
victoredo,وکٹوریڈو
partiban,پرتیبن
goldbagh,گولڈباغ
ambuli,امبولی
lenshish,لینشش
chandravanshi,چندرونشی
hexapolis,ہیکساپولس
semianoscue,سیمیانوسکیو
wazirmahsan,وزیرمحسن
padhakarwan,پڑھاکروان
almustafez,المستفیض
indofobia,انڈوفوبیا
dasturamsal,دستورامسال
hawaziyah,حوازیہ
redard,ریڈرڈ
nikalaya,نکالایا
mahbanah,محبانہ
waastaadi,واستادی
asalanka,اسالنکا
aurdigarmazhab,اوردیگرمذہب
studarshi,سٹوڈرشی
desemposal,ڈسمپوزل
farahmar,فراہمر
deshko,دیشکو
iqtedarmilta,اقتدارملتا
sonam,سونم
lagachna,لگاچنا
profayl,پروفائل
kyasadgi,کیاسادگی
walmolf,والمولف
seedol,سیڈول
khususaju,خصوصاجو
evocation,ایوکیشن
banallah,بناللہ
aarmaro,آرمرو
heraldolim,ہیرلڈولیم
ranarmanmohan,رنرمنموہن
ralospasspremo,رالوسپاسپریمو
poziyo,پوزیو
chahuha,چہوہا
pojiya,پوجیا
bhagalpurahi,بھاگلپورہی
remble,ریمبل
nedarlandz,نیڈرلینڈز
megrank,میگرانک
latochuro,لٹوچورو
bethen,بیٹھیں
wataqdirsari,وتقدیرساری
asrangizi,اثرانگیزی
aurjarat,اورجرات
botstraper,بوٹسٹریپر
mongask,مونگاسک
fraym,فریم
walakhtalaf,والاختلاف
muntazmiah,منتظمیہ
hidaih,ہدایہ
taindwa,تیندوا
secutory,سیکیوٹری
mistrora,مسٹرورا
raminder,رامیندر
neekolgo,نیکولگو
sabulga,سبولگا
lazhab,لذہب
mantasharki,منتشرکی
frontex,فرنٹیکس
namorhali,نامورہالی
medola,میڈولا
harimi,حریمی
sajadkhakwani,ساجدخاکوانی
morsh,مورش
kosmajhta,کوسمجھتا
entrepol,اینٹرپول
kahanati,کہانتی
khetabaat,خطابات
kanwarta,کنوارتا
chamo,چمو
nalbandulo,نالبندولو
aurtaqribati,اورتقریباتی
chancelory,چینسلری
guzarnaharguz,گزرناہرگز
foder,فوڈر
victoriaz,وکٹوریاز
komaqtolin,کومقتولین
azziz,عزیز
