kuberastatra,कुबेरस्तत्र
dharmakaadikam,धर्मकादिकम्
vinivruttirbhavet,विनिवृत्तिर्भवेत्
tripishtape,त्रिपिष्टपे
tyajetsukham,त्यजेत्सुखम्
laharyai,लहर्यै
phanaanvitaay,फणान्विताय
godaanamev,गोदानमेव
centimetre,सेंटीमीटर
moolabhootasauvidhyaanaam,मूलभूतसौविध्यानां
vajradanda,वज्रदण्ड
chaturdali,चतुर्दली
hiranyada,हिरण्यद
sohahim,सोहहिं
raagavivaadeshu,रागविवादेषु
dhaleshwareetah,धलेश्वरीतः
kantasparsham,कण्ठस्पर्शं
prasadavatya,प्रसादवत्या
rajjubhuta,रज्जुभूता
chidapyushanti,चिदप्युशन्ति
nikharvam,निखर्वं
svayamvrutaayai,स्वयंवृतायै
kinaare,किनारे
krudagrahanaparibhaashayaa,कृदग्रहणपरिभाषया
dharmaparamah,धर्मपरमः
kollegoud,कोल्लेगौड
astviha,अस्त्विह
kotidrumamanuttamam,कोटिद्रुममनुत्तमम्
dooshyaatisandhaanen,दूष्यातिसन्धानेन
samaakulam,समाकुलम्
milindam,मिलिन्दम्
swargajayaay,स्वर्गजयाय
khaanamahodayah,खानमहोदयः
vyaakaranasyam,व्याकरणस्यं
evamavasthitamidam,एवमवस्थितमिदं
bhaantah,भान्तः
prakatayatyativeeryaam,प्रकटयत्यतिवीर्यां
ekatvenaiva,एकत्वेनैव
madhupingo,मधुपिङ्गो
vailakshyamoohe,वैलक्ष्यमूहे
shrapattidattastu,श्रपत्तिदत्तस्तु
kampanaadhikaranam,कम्पनाधिकरणम्
herambopanishat,हेरम्बोपनिषत्
taddhitaarthadvigau,तद्धितार्थद्विगौ
prakrutichakram,प्रकृतिचक्रं
peedyamaanah,पीड्यमानः
manavastrayah,मनवस्त्रयः
dakshainaashabdasy,दक्षैणाशब्दस्य
paadotkshepastu,पादोत्क्षेपस्तु
saiddhaantikah,सैद्धान्तिकः
sahajeevakaala,सहजीवकाल
poorvameteshaamatra,पूर्वमेतेषामत्र
vaakyabheda,वाक्यभेद
panchadhochyate,पञ्चधोच्यते
niyamavirahitam,नियमविरहितं
naanaavataaraa,नानावतारा
aamrafalaani,आम्रफलानि
rashtraja,राष्ट्रजा
tasminsantyati,तस्मिन्सन्त्यति
mahaavaamadevya,महावामदेव्य
pitrutamaaya,पितृतमाय
paarthivataskarah,पार्थिवतस्करः
chaaruchubukaviraajini,चारुचुबुकविराजिनी
abhilekhadvayam,अभिलेखद्वयं
divishanmakuteshu,दिविषन्मकुटेषु
sukhodayaayai,सुखोदयायै
mcdonnell,मैकडोनल
bhogeendrasevitaa,भोगीन्द्रसेविता
anaghou,अनघौ
bruhannitambaah,बृहन्नितम्बाः
yadetatpashyasi,यदेतत्पश्यसि
hastapaadasamaayogo,हस्तपादसमायोगो
anandamayamatmanam,आनन्दमयमात्मानं
shodashaganapatilakshana,षोडशगणपतिलक्षण
aavashyakataapoortyartham,आवश्यकतापूर्त्यर्थं
deerghatvasya,दीर्घत्वस्य
mukhadarshanam,मुखदर्शनम्
audaaryaadipradaayai,औदार्यादिप्रदायै
arthepsutaa,अर्थेप्सुता
shukterbaadhaa,शुक्तेर्बाधा
sudamshitastena,सुदंशितस्तेन
mantramahodadhi,मन्त्रमहोदधि
yonirvamsho,योनिर्वंशो
shabdajnah,शब्दज्ञः
yuddhakshetreshu,युद्धक्षेत्रेषु
stambhatirthat,स्तम्भतीर्थात्
yathaavadanupashyasi,यथावदनुपश्यसि
avanterapatyaani,अवन्तेरपत्यानि
chaityo,चैत्यो
bhagawateecharanen,भगवतीचरणेन
rushitve,ऋषित्वे
yamasambandhinee,यमसम्बन्धिनी
viyatprasave,वियत्प्रसवे
jayastu,जयस्तु
paraaparaparidnyaan,परापरपरिज्ञान
madanajanakashekaih,मदनजनकशेकैः
bharatacharitam,भरतचरितं
nivedaye,निवेदये
priyabhaay,प्रियभाय
pathishabdaad,पथिशब्दाद्
paryasya,पर्यस्य
munimaanasatoshitah,मुनिमानसतोषितः
chalegem,चलेगें
adityenarchitam,आदित्येनार्चितं
utsrujyaiva,उत्सृज्यैव
nihseemni,निःसीम्नि
nyooneekartrumeva,न्यूनीकर्तृमेव
maithunyai,मैथुन्यै
gruhaparishramaah,गृहपरिश्रमाः
nrupameva,नृपमेव
raamacharitamev,रामचरितमेव
swasahaayakartuh,स्वसहायकर्तुः
paranandapaksham,परानन्दपक्षं
mankhako,मङ्खको
paadapottamaah,पादपोत्तमाः
dhoomapathashramasmayam,धूमपथश्रमस्मयम्
yuvaadeshe,युवादेशे
vanikkanyaa,वणिक्कन्या
satatamavihitam,सततमविहितं
vaidikaachaaranipunaay,वैदिकाचारनिपुणाय
kshayeagnirjwalito,क्षयेऽग्निर्ज्वलितो
sooryodaaraprabhaawateem,सूर्योदारप्रभावतीम्
tucchatare,तुच्छतरे
vrataratnaavalee,व्रतरत्नावली
vruttistasya,वृत्तिस्तस्य
kwimhi,क्विम्हि
akshitara,अक्षितारा
samarpi,समर्पि
vegaadgadaamaadaay,वेगाद्गदामादाय
swaadishtahemaharshinee,स्वादिष्ठहेमहर्षिणी
nasaavem,नसावें
dhrushtaayai,धृष्टायै
kalyaanasindhuh,कल्याणसिन्धुः
aagacchama,आगच्छम
jaghaanaalaghuvikramah,जघानालघुविक्रमः
chandachandikaa,चण्डचण्डिका
prapanchaasyamupaasy,प्रपञ्चास्यमुपास्य
karyamaparam,कार्यमपरं
ucchaarabhedena,उच्चारभेदेन
tarasanasishobhini,तारसानसिशोभिनी
asaktha,असक्थ
rahayatvastraraajo,रहयत्वस्त्रराजो
vistarastaat,विस्तरस्तात
niveditoathaangirasaa,निवेदितोऽथाङ्गिरसा
enke,एन्के
trushaapaadapashaalini,तृषापादपशालिनि
dhenawah,धेनवः
nishpala,निष्पल
rajanamatmakatham,राजानमात्मकथां
nasoho,नसोः
madbhavana,मद्भावना
chintitotha,चिन्तितोऽथ
etayaa,एतया
saalokyamupayaati,सालोक्यमुपयाति
dandake,दण्डके
tajnaroopena,तज्ञरूपेण
vidhaanyadbhutaani,विधान्यद्भुतानि
taamevaaham,तामेवाहं
vedakaaleen,वेदकालीन
pravartinee,प्रवर्तिनी
tyanukaranam,त्यनुकरणम्
panchavinshatiprakaranaani,पंचविंशतिप्रकरणानि
nadyanta,नद्यन्त
drushyamapi,दृश्यमपि
rvileeno,र्विलीनो
bhavatyarthe,भवत्यर्थे
kleshaheenajaneshwarah,क्लेशहीनजनेश्वरः
jagadekapaawan,जगदेकपावन
swarnadeejanakah,स्वर्णदीजनकः
kshemavate,क्षेमवते
tayornamnam,तयोर्नाम्नां
anumaanakhand,अनुमानखण्ड
bhanurarkam,भानुरर्कं
nadabrahmalayaniya,नादब्रह्मलयानीया
neechajaatyaah,नीचजात्याः
hitaashch,हिताश्च
shokahaarini,शोकहारिणी
jagadaspadam,जगदास्पदं
proshitastatra,प्रोषितस्तत्र
parahimsanam,परहिंसनम्
samsaaramiti,संसारमिति
bahirmanmanaso,बहिर्मन्मनसो
chintyaanayaamaas,चिन्त्यानयामास
swaahaagnidishi,स्वाहाग्निदिशि
saptakasyaasya,सप्तकस्यास्य
gayaamaahaatmy,गयामाहात्म्य
tatpanchadasham,तत्पञ्चदशं
yupaketurmahaaraaj,युपकेतुर्महाराज
suvyaktamasmaanavamanya,सुव्यक्तमस्मानवमन्य
aatmasambhaavita,आत्मसंभावित
munirudrakah,मुनिरुद्रकः
bhiksuhu,भिक्सुः
chaarucharanaay,चारुचरणाय
khatamasya,खातमस्य
vichirnena,विचीर्णेन
tatoavaliptaa,ततोऽवलिप्ता
dadhisechau,दधिसेचौ
snigdhamitram,स्निग्धमित्रम्
dhumasya,धूमस्य
jainaagame,जैनागमे
aalingije,आलिंगिजे
chatvaarimshadyutaikena,चत्वारिंशद्युतैकेन
paarthaishoabyeti,पार्थैषोऽब्येति
ramaadisahitam,रमादिसहितं
vaayavyamatha,वायव्यमथ
krutasyogra,कृतस्योग्र
viprendram,विप्रेन्द्रं
vaktramaatram,वक्त्रमात्रं
swargangaayaah,स्वर्गङ्गायाः
poshitavaan,पोषितवान्
julate,जुलते
aakaashavaaneetah,आकाशवाणीतः
jurnakhya,जूर्णाख्य
vallaveekelilolam,वल्लवीकेलिलोलं
kikasamukha,कीकसमुख
brahmaivaatmani,ब्रह्मैवात्मनि
sundaraabhinayen,सुन्दराभिनयेन
kathanamaatraay,कथनमात्राय
eero,ईरो
tirohitaatmaa,तिरोहितात्मा
samvhaarataam,संव्हारतां
udataanuditam,उदतानुदितम्
swakaaryasya,स्वकार्यस्य
tvanneerasheekaramavaapya,त्वन्नीरशीकरमवाप्य
shvetaghantaa,श्वेतघण्टा
chetkshatriyo,चेत्क्षत्रियो
shuklaabhijaateeyah,शुक्लाभिजातीयः
dukhasaham,दुःखसहं
yaneva,यानेव
shodashaayudhastotram,षोडशायुधस्तोत्रम्
gurudoshabhajam,गुरुदोषभाजं
saarvatrikaabhaavam,सार्वत्रिकाभावं
baahav,बाहव
kathamarajakam,कथमराजकं
vyavayahaaro,व्यवयहारो
drushtoadrushto,दृष्टोऽदृष्टो
bhavateetyamuneti,भवतीत्यमुनेति
bahvruchakhyam,बह्वृचाख्यां
anarthakatvaallopo,अनर्थकत्वाल्लोपो
ekaadasheesah,एकादशीसः
angikarili,अंगीकारिली
antimastyaajako,अन्तिमस्त्याजको
rakshitavaan,रक्षितवान्
nabhogataye,नभोगतये
satatvam,सतत्वं
dwipadaam,द्विपदाम्
naamabhiraahuto,नामभिराहुतो
naraanrame,नरान्रमे
taatparyalingestu,तात्पर्यलिंगेस्तु
manorathastvayi,मनोरथस्त्वयि
nirapatya,निरपत्य
avataaramidam,अवतारमिदं
tripuraataapini,त्रिपुरातापिनी
dashabhishshataih,दशभिश्शतैः
geetaavishayakam,गीताविषयकं
shishyashikshaawishaaradah,शिष्यशिक्षाविशारदः
seevinee,सीविनी
vivichyataam,विविच्यताम्
morom,मोरों
baalakam,बालकम्
nihitamiva,निहितमिव
yadnyaparus,यज्ञपरुस्
trayoarthaah,त्रयोऽर्थाः
ayatharthataya,अयथार्थतया
mruduvyanjanam,मृदुव्यञ्जनम्
sushuptiswapnah,सुषुप्तिस्वप्नः
kattri,कत्त्रि
lolakuntalau,लोलकुन्तलौ
bhutaraksha,भूतरक्षा
spruhayaamyadya,स्पृहयाम्यद्य
parikalpitau,परिकल्पितौ
paramasaadhvee,परमसाध्वी
purushaantaren,पुरुषान्तरेण
baanocchishtam,बाणोच्छिष्टं
vrajannatra,व्रजन्नत्र
asmadasihi,अस्मादासिः
madhupoornimaamahotsave,मधुपूर्णिमामहोत्सवे
shramoapekshitah,श्रमोऽपेक्षितः
nijahrudaye,निजहृदये
vishiraah,विशिराः
nirmanamula,निर्माणमूला
yadicchata,यदिच्छत
ucchrankhalataa,उच्छ्रङ्खलता
chaawahachchaibyah,चावहच्छैब्यः
kshemalakshanah,क्षेमलक्षणः
vishehurharasya,विषेहुर्हरस्य
aakaankshet,आकाङ्क्षेत
mahaakaameshwaraay,महाकामेश्वराय
ratnaasanapradaanen,रत्नासनप्रदानेन
nashtabandho,नष्टबन्धो
katipayakreedaanaamiveyam,कतिपयक्रीडानामिवेयं
lavaihi,लवैः
shoodravirodhitvam,शूद्रविरोधित्वं
aasthaasyati,आस्थास्यति
divyabharanabhooshitayai,दिव्याभरणभूषितायै
mahaabhishah,महाभिषः
kaacchapamadbhutam,काच्छपमद्भुतं
ghanaanandaay,घनानन्दाय
namote,नमोते
ksheerasyati,क्षीरस्यति
mauryavamshaprathamaraajnaha,मौर्यवंशप्रथमराज्ञः
harinaadheesh,हरिणाधीश
bhagawaanbinduswaroopah,भगवान्बिन्दुस्वरूपः
vakshyetha,वक्ष्येऽथ
samvatsaramatho,संवत्सरमथो
shailaprasthanam,शैलप्रस्थानां
shatruratyantam,शत्रुरत्यन्तं
tattvabodhinyaah,तत्त्वबोधिन्याः
vividhaanandadaayakaay,विविधानन्ददायकाय
kiyaddarpanatalam,कियद्दर्पणतलं
krupayaanubhavam,कृपयानुभवं
hrudyenam,हृद्येनं
sadgururnasi,सद्गुरुर्नासि
katabhoomimupety,कटभूमिमुपेत्य
ashtaadashavikalpaanaam,अष्टादशविकल्पानां
uttamagatihi,उत्तमगतिः
aatmadnyaah,आत्मज्ञाः
bhoomerjaladhiparidhe,भूमेर्जलधिपरिधे
upavarnitam,उपवर्णितम्
sthitasyaapyashubham,स्थितस्याप्यशुभं
kaamaaso,कामासो
preetijanakaih,प्रीतिजनकैः
saumyaraashi,सौम्यराशि
shubhalakshanayuktaangah,शुभलक्षणयुक्ताङ्गः
chetashchamatkaarakam,चेतश्चमत्कारकं
dvaarakaavaasinkrushna,द्वारकावासिन्कृष्ण
tanmootram,तन्मूत्रं
mahakarunika,महाकारुणिका
shuddhimabhipsataa,शुद्धिमभीप्सता
samvidhaanajaagratyaah,संविधानजाग्रत्याः
kurnool,कर्नूल्
pruthakkriyaah,पृथक्क्रियाः
vaajipate,वाजिपते
sarvaashivaprashamanaaya,सर्वाशिवप्रशमनाय
veerabhadrahitapriyaa,वीरभद्रहितप्रिया
dhairyalakshmi,धैर्यलक्ष्मी
vayamaadidevam,वयमादिदेवम्
devaajnaapaya,देवाज्ञापय
virahe,विरहे
vadhoojanah,वधूजनः
lauhamalena,लौहमलेन
vaitaraneeya,वैतरणीय
shrotroktam,श्रोत्रोक्तं
sattasamyamupetya,सत्तासाम्यमुपेत्य
anantamahimaayai,अनन्तमहिमायै
samshuddhachetasah,संशुद्धचेतसः
naagareanyavat,नागरेऽन्यवत्
yuddheneti,युद्धेनेति
tattvaatmikaayai,तत्त्वात्मिकायै
gyaapakatvena,ज्ञापकत्वेन
kshaten,क्षतेन
hasteetyaadi,हस्तीत्यादि
bhavetprasannah,भवेत्प्रसन्नः
muneeshwaraayaranaamakasy,मुनीश्वरायरनामकस्य
chakitaharineeprekshane,चकितहरिणीप्रेक्षणे
kapatachandramukhi,कपटचन्द्रमुखी
britishanam,ब्रिटीशानां
kotitarakanirmatre,कोटितारकनिर्मात्रे
guhoapi,गुहोऽपि
chitravaahanaayai,चित्रवाहनायै
naamabrahmaateetaay,नामब्रह्मातीताय
kuteeraadhyakshah,कुटीराध्यक्षः
sarvadnyaanasampannaaya,सर्वज्ञानसम्पन्नाय
teerasthaam,तीरस्थां
hemamalini,हेममालिनी
vanamudga,वनमुद्ग
samsadsadasyatvena,संसद्सदस्यत्वेन
shakasasyanam,शाकसस्यानां
stimitajavena,स्तिमितजवेन
sudushcharamarindama,सुदुश्चरमरिन्दम
senaaneeramarah,सेनानीरमरः
kshamitavyam,क्षमितव्यं
grudhrapatraabhyaam,गृध्रपत्राभ्यां
ghanatejah,घनतेजः
bhinnasharkara,भिन्नशर्करा
hiranmayaakhyashch,हिरण्मयाख्यश्च
levum,लेवुं
kshemaa,क्षेमा
kshullakebhyashcha,क्षुल्लकेभ्यश्च
pulakaa,पुलका
sarvaavasthaaprerakashcha,सर्वावस्थाप्रेरकश्च
chaaritvam,चारित्वं
harikshetram,हरिक्षेत्रं
sadhunashchaaparasyaapi,सधुनश्चापरस्यापि
pashpasaahnika,पश्पसाह्निक
yojayantyapyalajjayaa,योजयन्त्यप्यलज्जया
himodbhavaa,हिमोद्भवा
jeevaam,जीवां
kaalaanjan,कालाञ्जन
chhedayanti,छेदयन्ति
vyavasthaapayitu,व्यवस्थापयितु
greeshmanaashakah,ग्रीष्मनाशकः
dobballam,दोब्बल्लं
chandrikaadraava,चन्द्रिकाद्राव
aarogyamoksheshu,आरोग्यमोक्षेषु
vidyunmaalee,विद्युन्माली
tadanukaranashabdaa,तदनुकरणशब्दा
ahamaashvalaayan,अहमाश्वलायन
vidnyaapitamadhokshajah,विज्ञापितमधोक्षजः
bhayanakasyayai,भयानकास्यायै
aksharaparaatparaay,अक्षरपरात्पराय
pratipadamapoorvaa,प्रतिपदमपूर्वा
syaadyuvayoh,स्याद्युवयोः
parisheshakhandashch,परिशेषखण्डश्च
gurvanushikshayaa,गुर्वनुशिक्षया
asmaakamagnihotraani,अस्माकमग्निहोत्राणि
yallaghvi,यल्लघ्वि
paraanubhooti,परानुभूति
aatarjanyudyatakaraa,आतर्जन्युद्यतकरा
nirikshini,निरीक्षिणी
tathaaneka,तथानेक
poogakrushihi,पूगकृषिः
prapathah,प्रपथः
tatpashyaami,तत्पश्यामि
dharmanishtaihi,धर्मनिष्ठैः
tvadabhayam,त्वदभयं
karnasyaiva,कर्णस्यैव
kshaunyaam,क्षौण्यां
sarvasajjanahitam,सर्वसज्जनहितम्
pushpavatee,पुष्पवती
kaustubhaabharanaam,कौस्तुभाभरणां
raamasetufalapradah,रामसेतुफलप्रदः
shaktirudaahrutaa,शक्तिरुदाहृता
salayairiva,सलयैरिव
maargadarshakaani,मार्गदर्शकानि
dravyadeepak,द्रव्यदीपक
ghuna,घुन
lilavinodasthita,लीलाविनोदस्थिता
aaryachetas,आर्यचेतस्
shivaagaaramabhyarhitam,शिवागारमभ्यर्हितम्
uttaravivaranam,उत्तरविवरणम्
harinaamunaa,हरिणामुना
anunayaamyevam,अनुनयाम्येवं
lokamicchanto,लोकमिच्छन्तो
deepavamshe,दीपवंशे
maneeshimukhyah,मनीषिमुख्यः
somarasotpattih,सोमरसोत्पत्तिः
eeditavibhavaam,ईडितविभवां
buddhiyogayuktaah,बुद्धियोगयुक्ताः
bakur,बकुर
raakshasanaayakaah,राक्षसनायकाः
muditograheet,मुदितोऽग्रहीत्
varshyaayai,वर्ष्यायै
chartheyamindragita,चार्थेयमिन्द्रगीता
janakaalayakhelanaani,जनकालयखेलनानि
shubhamicchataa,शुभमिच्छता
ananvayaat,अनन्वयात्
prahlaadaay,प्रह्लादाय
tadvaiyathryaaditi,तद्वैयथ्र्यादिति
naraagryam,नराग्र्यम्
sarvasammataayai,सर्वसम्मतायै
shreetryaksharee,श्रीत्र्यक्षरी
vargaya,वर्गय
brahmabhuvanam,ब्रह्मभुवनं
gautamaarttivinaashanaaya,गौतमार्त्तिविनाशनाय
chatuthryantaarthaay,चतुथ्र्यन्तार्थाय
dadhisyati,दधिस्यति
daridraava,दरिद्राव
matishtah,मतिष्ठः
urubalaya,उरुबलाय
veekshakasya,वीक्षकस्य
durgatiparisphoortih,दुर्गतिपरिस्फूर्तिः
bhinnamargaparam,भिन्नमार्गपरं
nishiddhasmaranenaapi,निषिद्धस्मरणेनापि
hanumaanagre,हनुमानग्रे
yalleelaah,यल्लीलाः
janmantaratapobhyasa,जन्मान्तरतपोभ्यास
khreeshteeyasaptadash,ख्रीष्टीयसप्तदश
jigyushaskrutam,जिग्युषस्कृतम्
ruchiraangi,रुचिराङ्गि
kaaryasaundaryamapi,कार्यसौन्दर्यमपि
saaparaadhepi,सापराधेऽपि
satsamruddhyaadikeapi,सत्समृद्ध्यादिकेऽपि
sharanaagatakalpabhooj,शरणागतकल्पभूज
aastremaanam,आस्त्रेमाणम्
virodhavishaye,विरोधविषये
dnyaapanamaatre,ज्ञापनमात्रे
kaalushyabhaavashamanam,कालुष्यभावशमनं
tilakankurute,तिलकङ्कुरुते
bhaveddivyavapustadaa,भवेद्दिव्यवपुस्तदा
panditaraajah,पण्डितराजः
mahabhagakule,महाभागकुले
patanchalas,पतञ्चलस्
vanaantah,वनान्तः
taddhanurayamya,तद्धनुरायम्य
saahityasammelanasy,साहित्यसम्मेलनस्य
bhargi,भार्गी
hrudayanayanekshitam,हृदयनयनेक्षितं
namaskrutilasadwaagbhih,नमस्कृतिलसद्वाग्भिः
raajivanena,राजिवनेन
kalpabadinam,कल्पबादीनां
shankaraarchitaay,शङ्करार्चिताय
kadaachidavalokayan,कदाचिदवलोकयन्
maamsaanaam,मांसानां
abhivanditavaan,अभिवन्दितवान्
sukula,सुकुल
saumyeekrutabhujangaaya,सौम्यीकृतभुजङ्गाय
haravo,हरवो
pateyamiti,पतेयमिति
haranirmitam,हरनिर्मितम्
swatantraspruhaa,स्वतन्त्रस्पृहा
bhavabheeru,भवभीरु
chaturbhujashchaashtabhujah,चतुर्भुजश्चाष्टभुजः
chaalayedudarenaiv,चालयेदुदरेणैव
mahonmatto,महोन्मत्तो
sarvopaaya,सर्वोपाय
chaashtameapi,चाष्टमेऽपि
paratarairapi,परतरैरपि
shishoramrutaayamaanau,शिशोरमृतायमानौ
doshaapatti,दोषापत्ति
kukkutamardaka,कुक्कुटमर्दक
shaktidwayam,शक्तिद्वयं
nihsangataa,निःसङ्गता
shikhandinamudaayudham,शिखण्डिनमुदायुधम्
kaaryakaranairnityamev,कार्यकरणैर्नित्यमेव
asanyoge,असंयोगे
mahabharatamadhyasthayai,महाभारतमध्यस्थायै
annagati,अन्नगति
nruveerou,नृवीरौ
santoshasaandro,सन्तोषसान्द्रो
rambhopamaa,रम्भोपमा
samvichayanakaale,संविचयनकाले
poorvakaarshnamruttika,पूर्वकार्ष्णमृत्तिक
vaashimamandalam,वाशिममण्डलं
vimarshapranaalee,विमर्शप्रणाली
kashetyaarabhya,कषेत्यारभ्य
kriyaanimittasya,क्रियानिमित्तस्य
sampeenito,सम्पीणितो
punarmrutyu,पुनर्मृत्यु
gorthameva,गोऽर्थमेव
braahmanamatithim,ब्राह्मणमतिथिं
oolaat,ऊलात्
nirmayaay,निर्मयाय
chooram,चूरं
hantyugrataaraa,हन्त्युग्रतारा
sankeernam,सङ्कीर्णम्
samabhipsita,समभीप्सिता
icchatyeva,इच्छत्येव
samsprushtam,संस्पृष्टं
tadvadanyepi,तद्वदन्येऽपि
lokajeevanam,लोकजीवनम्
araakshaseem,अराक्षसीं
shataghneebhishch,शतघ्नीभिश्च
mattaam,मत्तां
vrushabhaanugehe,वृषभानुगेहे
kechidamaatyaashch,केचिदमात्याश्च
durjanaadvata,दुर्जनाद्वत
shighrasaarinaam,शीघ्रसारिणाम्
anindriya,अनिन्द्रिय
nityaadhikaaravihitah,नित्याधिकारविहितः
udyatsooryasamaprabhaay,उद्यत्सूर्यसमप्रभाय
koshapanchakavarjitah,कोशपञ्चकवर्जितः
udareshwarapeedito,उदरेश्वरपीडितो
siddhaapure,सिद्धापुरे
mahasandhyam,महासन्ध्यां
mahaabhaktam,महाभक्तं
tadantavidhinaatra,तदन्तविधिनात्र
mireekaram,मिरीकरं
jyotirmayamityetat,ज्योतिर्मयमित्येतत्
tadapramarjanamatram,तदप्रमार्जनमात्रं
vartamaanaat,वर्तमानात्
akruti,अकृति
dadhaaraadrim,दधाराद्रिं
vateshwari,वटेश्वरी
tannaatadvivekena,तन्नातद्विवेकेन
aayudheshaay,आयुधेशाय
sthaanakam,स्थानकं
shrayatasata,श्रयतासता
kinchinnaasteeti,किंचिन्नास्तीति
vasavaanah,वसवानः
utkrushtatamam,उत्कृष्टतमं
subalasyatmajanrane,सुबलस्यात्मजान्रणे
nootanaayogram,नूतनायोग्रं
nishkaurava,निष्कौरव
ashtaadhikadashabhujaih,अष्टाधिकदशभुजैः
paavanamaanasah,पावनमानसः
jahyaattam,जह्यात्तं
chaturvimshatervishaha,चतुर्विंशतेर्विशः
mantrairmahaushadhaih,मन्त्रैर्महौषधैः
yadnyasambhaawitaannakah,यज्ञसम्भावितान्नकः
pragunamukhawikaasen,प्रगुणमुखविकासेन
tripaadaayuh,त्रिपादायुः
rahasyonmeelane,रहस्योन्मीलने
chauthyaa,चौथ्या
vidhavya,विधव्य
rajyabhogapradam,राज्यभोगप्रदं
chandraavalyai,चन्द्रावल्यै
tatoatiprasangah,ततोऽतिप्रसङ्गः
tatsutau,तत्सुतौ
tyaktakaamaay,त्यक्तकामाय
prapotrah,प्रपोत्रः
samhraadan,संह्रादन
karunapashanaay,करुणपशनाय
deshavaachino,देशवाचिनो
niskriya,निस्क्रिय
vastravarnaaha,वस्त्रवर्णाः
parvatashikhaaraani,पर्वतशिखाराणि
tacchaaropavishayaatmatayaa,तच्चारोपविषयात्मतया
vaajatee,वाजती
bhajanananditaya,भजनानन्दिताय
paramakaarak,परमकारक
ashakyastatraayam,अशक्यस्तत्रायं
khyatida,ख्यातिदा
bauddhalokayatarhatan,बौद्धलोकायतार्हतान्
ityarthakenetyarthah,इत्यर्थकेनेत्यर्थः
arogataamadoshataam,अरोगतामदोषतां
vakyamabraviddha,वाक्यमब्रवीद्ध
angashakti,अङ्गशक्ति
dvijatiya,द्विजातीय
amshabhaagitvam,अंशभागित्वं
dhyanayogaparayana,ध्यानयोगपरायणा
vidhayasteshaam,विधयस्तेषां
bhavaanupanayet,भवानुपनयेत्
bhartsanadikametesham,भर्त्सनादिकमेतेषां
vasundharaasamudbhavaayai,वसुन्धरासमुद्भवायै
lakshmeepradaayakaay,लक्ष्मीप्रदायकाय
bhushundeepaashahastaashch,भुशुण्डीपाशहस्ताश्च
bheshajadhishamangala,भेषजाधीशमङ्गला
somagruhapati,सोमगृहपति
truteeyaadishwachi,तृतीयादिष्वचि
gurutraatre,गुरुत्रात्रे
anvrucham,अन्वृचम्
brahmaanandanaathamayi,ब्रह्मानन्दनाथमयी
kukarmaarjitasampadam,कुकर्मार्जितसम्पदं
mahrut,महृत्
ratnaakaramamitraghna,रत्नाकरममित्रघ्न
evamaashcharyanilayam,एवमाश्चर्यनिलयं
malavilola,मालाविलोला
lambakaraam,लम्बकरां
lokaallokeshu,लोकाल्लोकेषु
kaalatashchaiv,कालतश्चैव
phanirataayai,फणिरतायै
maithunaadoordhvam,मैथुनादूर्ध्वं
pravishanbhoomimaashu,प्रविशन्भूमिमाशु
amaacha,अमाच
nairbadhya,नैर्बाध्य
