aajolik,আজলিক
ehaar,এহাৰ
sarilen,চাৰিলেন
hajoti,হাজতি
rikxa,ৰিক্সা
taitanikot,টাইটানিকত
libharpule,লিভাৰপুলে
harimura,হাৰিমুৰা
amendment,এমেণ্ডমেণ্ট
boixomyobur,বৈষম্যবোৰ
xodorxomuhotu,সদৰসমূহতো
probosonor,প্ৰৱচনৰ
jamanare,জামানাৰে
badamot,বাদামত
rudrojogyot,ৰুদ্ৰযজ্ঞত
kashmirorot,কাশ্মীৰৰত
bidik,বিদিক
rime,ৰাইম
gyandanor,জ্ঞানদানৰ
joruwa,জৰুৱা
optik,অপ্টিক
ontorikhya,অন্তৰীক্ষা
rosodpati,ৰচদপাতি
xunxoho,সোণসহ
promulyor,প্রমূল্যৰ
upordeuri,ওপৰদেউৰী
xipaihe,শিপাইহে
protimurtito,প্রতিমূর্তিত
otoderi,অতদেৰি
naughat,নাওঘাট
maikike,মাইকীকে
ugrobhabe,উগ্রভাৱে
thunlai,থুনলাই
tebulkhone,টেবুলখনে
dujonot,দুজনত
aasthawan,আস্থাৱান
thaarot,ঠাৰত
debanupom,দেবানুপম
pangisil,পাঙিছিল
pule,পুলে
omritong,অমৃতং
episisito,এপিচিচিত
surasand,চুৰাচান্দ
dumperburor,ডাম্পাৰবোৰৰ
parben,পারবেন
uktodinai,উক্তদিনাই
porjotoke,পৰ্যটকে
kolikotakendrik,কলিকতাকেন্দ্রিক
banibilak,বাণীবিলাক
kaldhumuha,কালধুমুহা
premchondor,প্ৰেমচন্দৰ
etim,এটিম
senelxomuheu,চেনেলসমূহেও
pakistanbaxik,পাকিস্তানবাসীক
kethorin,কেথৰিন
xoren,সৰেন
kheluwoire,খেলুৱৈৰে
ghotaisu,ঘটাইছো
songtu,চংটো
lakhotkoiu,লাখতকৈও
porinotibur,পৰিণতিবোৰ
intment,ইন্টমেন্ট
helaa,হেলা
hajareer,হাজাৰীৰ
posttur,পোষ্টটোৰ
kejoriwaleu,কেজৰিৱালেও
aapto,আপ্ত
baburame,বাবুৰামে
abiy,আবি
uporuwa,ওপৰোৱা
nuhuwatkoi,নোহোৱাতকৈ
souki,চৌকী
crpfor,চিআৰপিএফৰ
hemphu,হেম্ফু
distribution,ডিষ্ট্রিবিউশ্যন
xohayikar,সহায়িকাৰ
xomadhistholor,সমাধিস্থলৰ
boidyutikoronor,বৈদ্যুতীকৰণৰ
khujibone,খুজিবনে
jounogathar,যৌনগাথাৰ
mesagorhot,মেছাগড়ত
sworupa,স্বৰূপা
sorsabid,চৰ্চাবিদ
bibhinnosthanot,বিভিন্নস্থানত
aabidur,আবিদুৰ
loumosrau,লৌমশ্ৰাও
niskaxonot,নিষ্কাশনত
aappar,আপ্পাৰ
nirzatonkarir,নিৰ্যাতনকাৰীৰ
aadhipotyo,আধিপত্য
deluke,দেলুকে
karjok,কার্যক
ipso,আইপিএছঅ
aatongkojonok,আতংকজনক
chard,চাৰ্ড
hasona,হাছনা
baghorpora,বাঘৰপৰা
orindom,অৰিন্দম
skaaror,স্কাৰৰ
mithatolor,মিঠাতলৰ
dekahotok,ডেকাহঁতক
emadimai,এমাডিমাই
morunuttorbhabe,মৰোণোত্তৰভাৱে
daxoku,দাসকো
nuxukuwa,নুশুকোৱা
xukiyakoi,সুকীয়াকৈ
swodexote,স্বদেশতে
xomosyabilakok,সমস্যাবিলাকক
mohaproxad,মহাপ্ৰসাদ
xongmisronot,সংমিশ্ৰনত
mulung,মুলুং
oschi,অচ্ছি
osintyo,অচিন্ত্য
modhyakorxon,মধ্যাকৰ্ষণ
doulutxowoloi,দৌলোৎসৱলৈ
protipholonhe,প্রতিফলনহে
ugroponthi,উগ্রপন্থী
backup,বেকআপ
rupomsing,ৰূপমছিং
aahei,আহেই
millio,মিলিঅ
bhromonxusit,ভ্রমণসূচীত
khurahotok,খুৰাহঁতক
bongxogotir,বংশগতিৰ
protipol,প্ৰতিপল
nodikhonu,নদীখনো
mohilakei,মহিলাকেই
poromakanto,পৰমাকান্ত
kheluoikeijonok,খেলুৱৈকেইজনক
aamtengar,আমটেঙাৰ
andijan,আণ্ডিজান
mohanog,মহানগ
soturbedi,চতুৰ্বেদী
nolinidai,নলিনীদাই
bhorbixisto,ভৰবিশিষ্ট
advencers,এডভেন্সাৰ্চ
kendukuchito,কেন্দুকুছিত
mukholojjat,মুখলজ্জাত
khuranai,খোৰানাই
aadiburei,আদিবোৰেই
poribexoloike,পৰিৱেশলৈকে
xunitpurotu,শোণিতপুৰতো
kumorakata,কোমৰাকাটা
dhorxonkaritu,ধৰ্ষণকাৰীটো
sikunaboloi,চিকুনাবলৈ
foraise,ফৰাইছে
gadikhon,গাদীখন
monchabhinetri,মঞ্চাভিনেত্ৰী
ongkitor,অংকিতৰ
khumam,খুমাম
dolongkhoneu,দলংখনেও
bhoktimargot,ভক্তিমাৰ্গত
boujal,বৌজাল
xonghothon,সংঘঠন
eventtur,ইভেণ্টটোৰ
krixikhondo,কৃষিখণ্ড
namphaket,নামফাকেত
randhonituk,ৰান্ধনিটোক
kayolor,কায়লৰ
soritrowan,চৰিত্রৱান
bittowan,বিত্তৱান
jotur,জটোৰ
mohamonda,মহামন্দা
xoktirehe,শক্তিৰেহে
uktosthanote,উক্তস্থানতে
teror,টেৰৰ
onyanyoi,অন্যান্যই
sarikhonkoi,চাৰিখনকৈ
sekendari,চেকেণ্ডাৰী
oxusthotaloi,অসুস্থতালৈ
present,প্ৰেজেন্ট
byakhyaru,ব্যাখ্যাৰো
kheluoixokoloku,খেলুৱৈসকলকো
nutbondi,নোটবন্দী
aadorxor,আদর্শৰ
kantiraba,কান্তিৰাবা
kendrokhe,কেন্দ্রকহে
bujonire,বুজনিৰে
digelotu,ডিজেলতো
probahok,প্ৰবাহক
poribrittor,পৰিবৃত্তৰ
xilsorbaxi,শিলচৰবাসী
bhottosarzo,ভট্টচার্য
tenganibaxi,টেঙানীবাসী
purare,পোৰাৰে
khottaror,খট্টাৰৰ
vidyanagar,বিদ্যানগৰ
xobdobanor,শব্দবাণৰ
xormatkoi,শর্মাতকৈ
keifakiman,কেইফাকিমান
bokoridor,বকৰিদৰ
sojjwo,চজ্জ্ব
ogradhikarprapto,অগ্রাধিকাৰপ্রাপ্ত
sikitoxa,চিকিতসা
kuwetat,কুৱেটাত
musolpuroloi,মুছলপুৰলৈ
keibadinot,কেইবাদিনত
uthiye,উঠিয়ে
omogol,অমগল
nuworakoi,নোৱৰাকৈ
munabo,মুনাব
randhi,ৰান্ধি
bhurung,ভুৰুং
duskritir,দুষ্কৃতিৰ
oxubidhajonok,অসুবিধাজনক
grs,জিআৰএছ
marchel,মার্চেল
gorkhalendor,গোৰ্খালেণ্ডৰ
xondhyai,সন্ধ্যাই
gibbon,গিবন
sokupanit,চকুপানীত
bahpora,বাহপৰা
majorhe,মাজৰহে
kotuwai,কটোৱাই
bayonxokolor,বায়নসকলৰ
duroir,দূৰৈৰ
ogrohor,অগ্ৰহৰ
beliful,বেলিফুল
netagone,নেতাগণে
xubhabordhok,শোভাবৰ্ধক
hoisili,হৈছিলি
briddhawaxotu,বৃদ্ধাৱাসতো
nirolat,নিৰলাত
aspina,আচপিনা
etiyale,এতিয়ালে
arjoman,আৰ্যমান
sleshmik,শ্লেষ্মিক
khodomdom,খদমদম
fatbihuwe,ফাটবিহুৱে
xagrohe,সাগ্রহে
daxguptake,দাসগুপ্তাকে
lekhatu,লেখাটো
telahigaon,তেলাহীগাঁও
xantisuktito,শান্তিচুক্তিত
captainor,কেপ্তেইনৰ
jitendror,জিতেন্দ্ৰৰ
othai,অথাই
xohomoti,সহমতি
dijatitotwor,দ্বিজাতিতত্ত্বৰ
xongosporxi,সংস্পৰ্শী
xuniu,শুনিও
tatukoi,তাতোকৈ
dekhilene,দেখিলেনে
oncholhe,অঞ্চলহে
dhoronar,ধৰণাৰ
niyontrok,নিয়ন্ত্ৰক
bhulbilak,ভুলবিলাক
nirokhyon,নিৰক্ষণ
brahmaputratu,ব্ৰহ্মপুত্ৰতো
uporototu,ওপৰততো
xarbojoninotar,সার্বজনীনতাৰ
budhidhormo,বোধিধৰ্ম
obhinondone,অভিনন্দনে
rastroprodhane,ৰাষ্ট্রপ্রধানে
pirika,পিৰিকা
mahekor,মাহেকৰ
natyorotno,নাট্যৰত্ন
uposthitiye,উপস্থিতিয়ে
bitorkotu,বিতৰ্কতো
pokiberor,পকীবেৰৰ
briddhasromkhonor,বৃদ্ধাশ্রমখনৰ
kukeinor,কোকেইনৰ
orjunoh,অৰ্জুনঃ
competitionot,কম্পিটিশ্যনত
natinixokolor,নাতিনীসকলৰ
pithbhumi,পীঠভূমি
dangorbidh,ডাঙৰবিধ
aamudokor,আমোদকৰ
korutar,কৰোতাৰ
bodorpurghatot,বদৰপুৰঘাটত
mugolok,মোগলক
paharuwa,পাহাৰুৱা
drirbrittoi,দৃৰ্বৃত্তই
xongitotei,সংগীততেই
atmoxonmanok,আত্মসন্মানক
khundonat,খুন্দনাত
khulutei,খোলোঁতেই
trophir,ট্ৰফিৰ
bhutcharzoi,ভোটচাৰ্যই
oxomoru,অসমৰো
fentacyr,ফেণ্টাচীৰ
iftaror,ইফতাৰৰ
odhyokhyak,অধ্যক্ষাক
bakikeijonor,বাকীকেইজনৰ
nogoisil,নগৈছিল
srixurzo,শ্ৰীসূৰ্য
xatjone,সাতজনে
dixokei,দিশকেই
udaxinotak,উদাসীনতাক
trishnamoni,তৃষ্ণামণি
ojonto,অজন্ত
khyinai,ক্ষিণাই
kutumei,কুটুমেই
bongxawolir,বংশাৱলীৰ
pathyokromxomuhor,পাঠ্যক্ৰমসমূহৰ
penangor,পেনাঙৰ
keterina,কেটেৰিনা
assadonere,আচছাদনেৰে
dukankhonu,দোকানখনো
nohoutei,নহওঁতেই
gumor,গোমৰ
dugorakiu,দুগৰাকীও
sringkholaboddhotar,শৃংখলাবদ্ধতাৰ
onumudonpotro,অনুমোদনপত্র
jesthoxokolor,জেষ্ঠসকলৰ
brojgupal,ব্ৰজগোপাল
onugyapotro,অনুজ্ঞাপত্ৰ
banisil,বানিছিল
bejaror,বেজাৰৰ
parthoru,পার্থৰো
premjoneet,প্ৰেমজনীত
porabilake,পৰাবিলাকে
gumir,গুমিৰ
nodhori,নধৰি
bhoyawohotar,ভয়াৱহতাৰ
pathikar,পাঠিকাৰ
birudhitarei,বিৰোধিতাৰেই
dhormoke,ধর্মকে
bajpayeek,বাজপেয়ীক
khuriye,খুৰীয়ে
usoka,ওচকা
bambarit,বামবাৰীত
korchote,কৰ্চতে
commisionor,কমিশ্যনৰ
robisondro,ৰবিচন্দ্র
odhyoyonot,অধ্যয়নত
pothokor,পথকৰ
glanir,গ্লানিৰ
rajkhonor,ৰাজখনৰ
gift,গিফ্ট
rolak,ৰলাক
uthatu,উঠাটো
immigration,ইমিগ্রেশ্যন
puwalehi,পোৱালেহি
inge,ইঙে
xumexe,সোমেশে
baile,বাইলে
gunoni,গুণনি
xoworimala,সৱৰীমালা
jogotkhonor,জগতখনৰ
nokorakoiu,নকৰাকৈও
lumbajongor,লুম্বাজঙৰ
sorowot,চৰৱত
gulir,গুলিৰ
xukbartat,শোকবাৰ্তাত
mulotei,মূলতেই
ghiladharir,ঘিলাধাৰীৰ
kaaling,কালিং
gonite,গণিতে
bonditwo,বন্দিত্ব
pakhori,পাখৰি
xobhabilakot,সভাবিলাকত
maast,মাষ্ট
postboxtur,পোষ্টবক্সটোৰ
xukuni,শুকুনি
tinalit,তিনালীত
hirukrishno,হিৰুকৃষ্ণ
thobol,থবল
atmoxomorponok,আত্মসমৰ্পণক
enfielde,এনফিল্ডে
xongkromon,সংক্রমণ
onorudh,অনৰোধ
ghaamor,ঘামৰ
xaxonkarzo,শাসনকার্য
xadharonxobha,সাধাৰণসভা
doptoreu,দপ্তৰেও
oncholotei,অঞ্চলতেই
bandortu,বান্দৰটো
coordinetsor,কোৰ্ডিনেটছৰ
tardigrade,টাৰ্ডিগ্ৰেডে
kahitoli,কাহিতলী
bekhyon,বেক্ষণ
nijoloike,নিজলৈকে
prasir,প্রাচীৰ
makumotu,মাকুমতো
dhomkivora,ধমকিভৰা
onchumoi,অঞ্চুমই
karjox,কাৰ্যস
lukpalor,লোকপালৰ
kormomukhi,কর্মমুখী
niyugor,নিয়োগৰ
lanchor,লাঞ্চৰ
kerimeri,কেৰিমেৰি
nigomxomuhe,নিগমসমূহে
baxbari,বাসবাৰী
matrivumit,মাতৃভূমিত
nijoswota,নিজস্বতা
noromonix,নৰমনিষ
kaalaan,কালান
purbokobi,পূর্বকবি
grp,জিআৰপি
guwar,গোৱাৰ
nsar,এনএছএৰ
kukando,কুকাণ্ড
uponoit,উপনৈত
electronicsor,ইলেক্ট্ৰনিকছৰ
monubhabot,মনোভাবত
peguru,পেগুৰো
tamulei,তামোলেই
potton,পট্টন
kuwale,কোৱালে
bhujpurot,ভোজপুৰত
homonikebhi,হমনিকেভি
jukaisile,জোকাইছিলে
naumanu,নাওমানো
swobhabikote,স্বভাৱিকতে
rugiburok,ৰোগীবোৰক
xohosrobuddhei,সহস্ৰবুদ্ধেই
gronthorupot,গ্রন্থৰূপত
mohapurujonor,মহাপুৰুজনৰ
swoscha,স্বচ্ছা
xongskritoloi,সংস্কৃতলৈ
xurzou,সূর্যও
xudwip,সুদ্বীপ
pawortipurot,পাৱৰ্তীপুৰত
kormosthan,কৰ্মস্থান
sthitirpora,স্থিতিৰপৰা
ramfolbilot,ৰামফলবিলত
fela,ফেলা
jontronai,যন্ত্ৰণাই
odhure,অধুৰে
kelengkarire,কেলেংকাৰীৰে
bhotobhotixomuhor,ভটভটীসমূহৰ
tinikuriman,তিনিকুৰিমান
gukhlewe,গোখলেৱে
bhyankhonor,ভ্যানখনৰ
purbabhax,পূৰ্বাভাষ
sendelei,চেণ্ডেলেই
sakorituwe,চাকৰিটোৱে
kahilipuware,কাহিলিপুৱাৰে
xeixokolu,সেইসকলো
bidruh,বিদ্রোহ
jiwantu,জীৱনটো
tawarot,টাৱাৰত
onirneet,অনিৰ্ণীত
ekhete,এখেতে
ofartut,অফাৰটোত
nagabondha,নাগাবন্ধা
biswoxobhaloi,বিশ্বসভালৈ
kuthakuthi,কোঠাকুঠি
bekonor,বেকনৰ
bandrat,বান্দ্ৰাত
progyanot,প্ৰজ্ঞানত
sikimor,চিকিমৰ
luitote,লুইততে
tothyositro,তথ্যচিত্র
insuline,ইনচুলিনে
prokolporupe,প্রকল্পৰূপে
xontotik,সন্ততিক
totporata,তৎপৰাতা
borimokha,বৰিমখা
uponyaxoloi,উপন্যাসলৈ
potharomuwa,পথাৰমুৱা
prokaru,প্রকাৰো
bajid,বাজিদ
githika,গীথিকা
ordhoxomapto,অর্ধসমাপ্ত
bohiluhi,বহিলোঁহি
gurojite,গুৰজীতে
xexorokhya,শেষৰক্ষা
jamwale,জামৱালে
nasiseu,নাচিছেও
mostiskobihin,মস্তিষ্কবিহীন
gusoriya,গোচৰীয়া
swowolombi,স্বৱলম্বী
krishnonamhe,কৃষ্ণনামহে
srikakulamor,শ্ৰীকাকুলামৰ
jounasar,যৌনাচাৰ
paals,পালছ
pathdanere,পাঠদানেৰে
monidwipa,মনিদ্বীপা
xukla,শুক্লা
patekare,পাটেকাৰে
aghatotkoi,আঘাততকৈ
wosye,ৱশ্যে
pathxalasthito,পাঠশালাস্থিত
rugprotirudh,ৰোগপ্ৰতিৰোধ
legee,লেগী
aasong,আচং
konomoinar,কণমইনাৰ
networkere,নেটৱৰ্কেৰে
dohobosoror,দহবছৰৰ
jonobol,জনবল
xumuwabohi,সুমুৱাবহি
ghotaru,ঘটাৰো
juddhobirot,যুদ্ধবিৰত
xeixokolorei,সেইসকলৰেই
xongkoronoke,শংকৰণকে
xikhyokpod,শিক্ষকপদ
korni,কৰ্ণি
xosthir,ষষ্ঠীৰ
louhmanow,লৌহমানৱ
xile,শিলে
komof,কমফ
masterstrook,মাষ্টাৰষ্ট্ৰোক
owomannaxusok,অৱমাননাসূচক
sirijtur,চিৰিজটোৰ
xadhokxokolei,সাধকসকলেই
chimptom,চিম্পটম
jalukbaroloi,জালুকবাৰলৈ
dophar,দফাৰ
korilehi,কৰিলেহি
onunjapotro,অনুঞ্জাপত্ৰ
dokaitjonok,ডকাইতজনক
opatrot,অপাত্ৰত
bezar,বেজাৰ
loksun,লকচোন
onutapot,অনুতাপত
tilokok,তিলকক
dekhuwaihe,দেখুৱাইহে
jogotkhonoku,জগতখনকো
radhakixur,ৰাধাকিশোৰ
xorbojongrahyo,সৰ্বজনগ্ৰাহ্য
onubikhyon,অনুবীক্ষণ
ehale,এহালে
dirake,ডিৰাকে
bundawal,বুন্দাৱল
dorxaleu,দর্শালেও
owosthanbur,অৱস্থানবোৰ
soukoch,চৌকছ
digitab,ডিজিটেৱ
dukanituwe,দোকানীটোৱে
kamkajok,কামকাজক
kambhag,কামভাগ
hafijoru,হাফিজৰো
hemai,হেমাই
utturonot,উত্তোৰণত
seisei,ছেইছেই
gutoru,গোটৰো
dukhilaman,দুখিলামান
moujate,মৌজাতে
ekukhoni,একোখনি
notundillit,নতুনদিল্লীত
golpotuk,গল্পটোক
gorbore,গর্বৰে
khulakotir,খোলাকতিৰ
nogdhuli,নগধূলি
ekukhonok,একোখনক
sposti,স্পষ্টি
xeujikoron,সেউজীকৰণ
mangxohari,মাংসহাৰী
jibha,জীভা
prostabito,প্ৰস্তাবিত
xibodouloloi,শিৱদৌললৈ
refainery,ৰিফেইনাৰী
aapottik,আপত্তিক
kormadir,কর্মাদিৰ
golar,গলাৰ
tokahe,টকাহে
xexokrityot,শেষকৃত্যত
ochyu,অচ্যু
pakostholit,পাকস্থলীত
tolok,তলক
prarthixokole,প্রার্থীসকলে
hiugu,হিউগো
probondhotut,প্রবন্ধটোত
xumite,সুমিতে
puxokotar,পোষকতাৰ
dri,ডিআৰআই
rohosyotuu,ৰহস্যটোও
dhwojjak,ধ্বজ্জাক
mulayam,মুলায়ম
jabiror,জাবিৰৰ
nalogoda,নালগদা
mikirok,মিকিৰক
ubhotai,উভতাই
xajpani,সাজপানী
poriwexonat,পৰিৱেশনাত
bateman,বেটমেন
khetropalok,ক্ষেত্রপালক
rosmihotor,ৰশ্মিহঁতৰ
kormokhini,কৰ্মখিনি
dekhuwauta,দেখুৱাওঁতা
xosinok,শচীনক
solitborxot,চলিতবৰ্ষত
jomise,জমিছে
slapstick,স্লেপষ্টিক
byahoti,ব্যাহতি
durbhag,দুৰ্ভাগ
thaitukurat,ঠাইটুকুৰাত
bimanxomuhe,বিমানসমূহে
ratipuwarepora,ৰাতিপুৱাৰেপৰা
kharkhuwai,খাৰখোৱাই
protixudhor,প্ৰতিশোধৰ
nilakax,নীলাকাশ
khagragorhot,খাগ্ৰাগড়ত
bhongak,ভঙাক
aainulok,আইনুলক
hahakor,হাহাকৰ
mutror,মূত্রৰ
niruttor,নিৰুত্তৰ
