fusharun,फुशारुन
bissimadhye,बिस्सीमध्ये
jalvivadprakarani,जलविवादप्रकरणी
articulation,आर्टिक्युलेशन
arunsingh,अरुणसिंग
panyanvarchi,पाण्यांवरची
udayrajne,उदयराजने
bahulkaranchya,बहुलकरांच्या
bijewadi,बिजेवाडी
mcdonaldney,मॅकडोनाल्डने
tuhmapasoon,तुह्मापासून
nakalata,नकळता
gheunch,घेऊंच
tukadyanmadhunach,तुकड्यांमधूनच
udvigra,उद्विग्र
khristamahamandalacha,ख्रिस्तमहामंडळाचा
bhustarabaddal,भूस्तराबद्दल
gaddarala,गद्दाराला
nagarikaranashi,नागरीकरणाशी
makrana,मकराना
kahanivarach,कहाणीवरच
sattabal,सत्ताबळ
jinkanyaparyantacha,जिंकण्यापर्यंतचा
shravnendriya,श्रवणेंद्रिय
vheelerver,व्हीलरवर
mohimetargat,मोहिमेतर्गत
dravant,द्रवांत
saparmurat,सपार्मुरात
hillio,हिलियो
shwasanaliketil,श्वासनलिकेतील
starit,स्तरित
monteecha,मॉन्टीचा
porasarkhe,पोरासारखे
madhyakramat,मध्यक्रमात
sadgranthancha,सद्ग्रंथांचा
ghalnyamadhye,घालण्यामध्ये
vadalahun,वादळाहून
astint,अस्टिंट
rajeshwarchya,राजेश्वरच्या
tharalya,ठरल्या
madhuchandra,मधुचंद्रा
vasturachnakar,वास्तुरचनाकार
bighadvanaryanchi,बिघडवणाऱ्यांची
tikarpoti,तिकरपोटी
parikshetrancha,परिक्षेत्रांचा
kampanyancha,कंपन्यांचा
parasdaratahi,परसदारातही
teamy,टिमी
prasiddhapatrak,प्रसिद्धपत्रक
anudinichya,अनुदिनीच्या
efrit,इफ्रिट
dalanata,दालनाता
hypotheses,हायपोथिसेस
vartamanpatranmadhale,वर्तमानपत्रांमधले
prestigene,प्रेस्टिजने
aashvasananvar,आश्वासनांवर
aadhyat,आध्यात
kothuni,कोठुनी
muninchya,मुनिंच्या
hayedya,हयेद्या
narsimhanagar,नरसिंहनगर
tuned,ट्युन्ड
kshitijanche,क्षितीजांचे
kamalichich,कमालीचीच
kashmirbabatche,काश्मिरबाबतचे
rcr,आरसीआर
alisso,अलिसो
soundpathke,साउंडपथके
vidhanparishadetle,विधानपरिषदेतले
navrangiyacha,नवरंगियाचा
lutmarila,लुटमारीला
lokgitansathi,लोकगीतांसाठी
tirumallah,तिरुमल्ला
rajalok,राजालोक
magitalyavishayi,मागितल्याविषयी
kelelyanvirodhat,केलेल्यांविरोधात
yavarshipeksha,यावर्षीपेक्षा
ovale,ओवळे
yanchchya,यांचच्या
jaanyasathi,जाण्यासाठी
sthasak,स्थासक
prakalpakadecha,प्रकल्पाकडेचा
rajistarmagchya,रजिस्टरमागच्या
mercello,मर्सेलो
vistratpad,विस्तृतपाद
khurchyache,खुर्च्याचे
ranjitsinh,रंजितसिंह
katkonatil,काटकोनातील
utarani,उतराणी
shenavadiche,शेनवडीचे
uchalipeksha,उचलीपेक्षा
kapmadhu,कपमधू
tisaritali,तिसरीतली
philipose,फिलीपोज
tartaritpane,तरतरीतपणे
bhasavinyasathi,भासविण्यासाठी
nottinghamshire,नॉटिंगहॅमशायर
baandhil,बांधील
praveshdvarane,प्रवेशद्वाराने
mahavidayalay,महाविदयालय
gugul,गुगुल
sahanirmiti,सहनिर्मीती
patihi,पाटीही
rundichehi,रुंदीचेही
darodar,दारोदार
drushkrutyancha,दृष्कृत्यांचा
wooloo,वूलू
devanagarich,देवनागरीच
swagatah,स्वगतः
vijalya,विजल्या
uparcha,उपरचा
putanyant,पुतण्यांत
dasharathanandan,दशरथनंदन
dindalkhop,दिंडलखोप
ghatotkachane,घटोत्कचाने
toxinspasoon,टॉक्सिन्सपासून
mosulmadhil,मोसुलमधील
kingtston,किंग्टस्टन
sukhvilas,सुखविलास
ganeshgulyachya,गणेशगुळ्याच्या
hatakato,हटकतो
rajyayantranech,राज्ययंत्रणेचं
melelyanchya,मेलेल्यांच्या
pohachavalyane,पोहचवल्याने
durdaivi,दूरदैवी
jabtalak,जबतलक
angirsa,अंगिरसा
nivruttibuva,निवृत्तीबुवा
bandhubhet,बंधुभेट
dadvile,दडविले
vishrantichya,विश्रांतीच्या
bijganitachi,बीजगणिताची
dhanipur,धनीपूर
dhartya,धर्त्या
netravalitil,नेत्रावळीतील
dhagabarobar,ढगाबरोबर
khishatalech,खिशातलेच
utilize,युटिलाईझ
malewadi,मळेवाडी
rannitichya,रणनीतीच्या
nitambas,नितंबास
kshaharat,क्षहारात
babinchech,बाबींचेच
shishunchi,शिशूंची
almora,अल्मोडा
utpattikalashi,उत्पत्तीकाळाशी
natanpaiki,नटांपैकी
srinagarmadhye,श्रीनगरमध्ये
francemadhali,फ्रान्समधली
lafter,लाफ्टर
yadyansathi,याद्यांसाठी
tyannantarchya,त्यांनंतरच्या
virodhabhasach,विरोधाभासच
annadhannyachi,अन्नधान्न्याची
buradimadhalya,बुराडीमधल्या
prasadalayanna,प्रसादालयांना
jyanla,ज्यांला
padatayet,पडतायेत
lavhalyacha,लव्हाळ्याचा
rahanyakherij,रहाण्याखेरीज
herpes,हर्पीस
nakshatrala,नक्षत्राला
aayurvedacharyancha,आयुर्वेदाचार्यांचा
sevkasi,सेवकासी
adhikarankade,अधिकारांकडे
hamalanna,हमालांना
soyeesathee,सोयीसाठी
malavarali,माळावरली
sandavu,सांडवू
signalpramane,सिग्नलप्रमाणे
nirajan,निराजन
masudkhan,मसूदखान
comrade,कॉम्रेड
himanshuche,हिमांशुचे
pancharigi,पंचरीगी
boothpacky,बूथपैकी
chashmyasathi,चष्म्यासाठी
sheval,शेवळ
chunai,चुनाई
pratyekabarobar,प्रत्येकाबरोबर
usarghar,उसरघर
vicharavinruddha,विचाराविंरुद्ध
brahmapuri,ब्रम्हपुरी
chakabva,चकाब्वा
jansanghatanatarfe,जनसंघटनातर्फे
khrishchanach,ख्रिश्चनच
gatpravartakanna,गटप्रवर्तकांना
upkampanichihi,उपकंपनीचीही
gharvalonke,घरवालोंके
chavalalya,चावलल्या
upadhyapad,उपाध्यपद
sainikapramane,सैनिकाप्रमाणे
gunache,गुणाचे
mumbaikadachi,मुंबईकडची
natsunanchya,नातसुनांच्या
varmadhoon,वरमधून
kathiwadi,काठीवाडी
aleksanla,अलेक्सनला
kavharchahi,कव्हरचाही
bhangadache,भांगडाचे
vadayavastyanvaril,वाडयावस्त्यांवरील
kevinkade,केविनकडे
dnyanabaddalchi,ज्ञानाबद्दलची
kartil,करतील
manodasha,मनोदशा
palkankadunhi,पालकांकडूनही
shrimantansarkhe,श्रीमंतांसारखे
rambhaunche,रामभाऊंचे
sweekarel,स्वीकारेल
menkapadat,मेणकापडात
matapur,मातापूर
desaina,देसाईना
malkavarhi,मालकावरही
detergent,डिटर्जंट
padarthasarkhe,पदार्थासारखे
aadivasinchyach,आदिवासींच्याच
bilaspurhun,बिलासपुरहून
malikanchich,मालिकांचीच
ramanuj,रामानुज
graziyat,ग्राझियात
rajyatilahi,राज्यातीलही
sambandhitanviruddha,संबंधितांविरुध्द
sulechya,सुळेच्या
dollarsarkhya,डॉलरसारख्या
darjala,दर्जाला
sancharsvatantryavar,संचारस्वातंत्र्यावर
yogpithdware,योगपीठद्वारे
republicanbahul,रिपब्लिकनबहुल
dharmaparamparanvishayi,धर्मपरंपरांविषयी
vartavalelya,वर्तवलेल्या
bibatyache,बिबट्याचे
samajanyasarakh,समजण्यासारख
lanco,लान्को
igro,इग्रो
restaurantsarkhe,रेस्टॉरंटसारखे
shaririracha,शरीरिराचा
crisendochi,क्रिसेंडोची
kartikichi,कार्तिकीची
chandragirichya,चंद्रगिरीच्या
aatavato,आटवतो
karandagaje,करंदगजे
bankekarita,बँकेकरिता
systamatic,सिस्टॅमॅटिक
mimiparyantchya,मिमीपर्यंतच्या
prastavanant,प्रस्तावनांत
mahinamahina,महिनामहिना
samarambhachihi,समारंभाचीही
jivankaryachi,जीवनकार्याची
umedvarachech,उमेदवाराचेच
aajhi,आजही
gulaeivaji,गुळाऐवजी
udwada,उदवाडा
rajgharanehi,राजघराणेही
rudhinusar,रुढीनुसार
purushottamach,पुरुषोत्तमच
skoolcha,स्कूलचा
rugnavahikanchihi,रुग्णवाहिकांचीही
tarapurpasun,तारापूरपासून
sakhumayane,सखुमायने
boriyakala,बोरीयाकला
performancemadhun,परफॉर्मन्समधून
kondvilkar,कोंडविलकर
chennaivirodhat,चेन्नईविरोधात
tatalyantun,ताटल्यांतून
mhadamadhil,म्हाडामधील
zanjad,झंजाड
merchantche,मर्चंटचे
prasiddhahi,प्रसिद्धही
kotekar,कोतेकर
tawangcha,तवांगचा
hirdyahi,हिरड्याही
trekamp,ट्रेकॅम्प
overtonla,ओव्हर्टनला
chitrakootahun,चित्रकूटहून
tomatocha,टॉमेटोचा
korochiche,कोरोचीचे
shastrannahi,शास्त्रांनाही
loksangeetatil,लोकसंगीतातील
swagger,स्वॅगर
nashesah,नशेसह
kongresatarfe,काँग्रेसतर्फे
vagheri,वाघेरी
girakyahi,गिरक्याही
tarunanjaval,तरुणांजवळ
vidayalayamadhyehi,विदयालयामध्येही
chuhe,चुहे
anubhavanyachich,अनुभवण्याचीच
risarchdware,रिसर्चद्वारे
varnakramache,वर्णक्रमाचे
bernanke,बेर्नान्के
upkhandabarobarach,उपखंडाबरोबरच
khatedaranmadhye,खातेदारांमध्ये
udisachya,उडीसाच्या
mosamsathi,मोसमसाठी
vanaspatinparyant,वनस्पतींपर्यंत
moolichya,मूलीच्या
radtat,रडतात
garodarpananantarhi,गरोदरपणानंतरही
bingjiyagocha,बिंगजियागोचा
dashalakshamage,दशलक्षामागे
strartrom,स्ट्रारट्रॉम
erectionmadhye,इरेक्शनमध्ये
kavicharitra,कविचरित्र
mulukant,मुलुकांत
gurgurnyavarun,गुरगुरण्यावरून
usadaravar,उसदरावर
aadarshanshi,आदर्शांशी
jagbharasathi,जगभरासाठी
sampattikar,संपत्तीकर
bhuket,भुकेत
vivekadharit,विवेकाधारीत
banavalyanantarhi,बनवल्यानंतरही
pohachavanyasobat,पोहचवण्यासोबत
dudhgiri,दुधगिरी
shilpaswarupat,शिल्पस्वरूपात
vipootoon,विपूतून
cgstche,सीजीएसटीचे
maharashtravasiyanchi,महाराष्ट्रवासीयांची
lepala,लेपाला
gruhasachivanchya,गृहसचिवांच्या
sitovach,सितोवाच
fundingwar,फंडिंगवर
mumbapur,मुंबापूर
sapshidisarkhe,सापशिडीसारखे
itakulimitakuli,इतकुलीमितकुली
nyayyahakkasathi,न्याय्यहक्कासाठी
bhavsagarala,भावसागराला
sarkarrupi,सरकाररुपी
madanlalchya,मदनलालच्या
malsootri,मळसूत्री
sadakchya,सडकच्या
vazur,वझुर
niyatkalikansathi,नियतकालिकांसाठी
rashtrapatinsobatchya,राष्ट्रपतींसोबतच्या
shikanaryana,शिकणाऱ्याना
devasthananchahi,देवस्थानांचाही
kathputaliyon,कठपुतलियों
masurkarne,मसुरकरने
kaliningrad,कॅलिनिनग्राद
puraskarache,पुरस्कारचे
matinaviruddha,मतीनविरुद्ध
sinko,सिंको
bhoomiketun,भूमिकेतून
tirandajanche,तिरंदाजांचे
samajya,समज्या
carabiner,कॅराबिनर
jarasandhabarobarchya,जरासंधाबरोबरच्या
gyanyugat,ज्ञानयुगात
ovaisinvar,ओवैसींवर
arsenalmadhun,आर्सेनलमधून
pustakavarun,पुस्तकावरून
thakavalyamule,थकवल्यामुळे
mobilization,मोबलायझेशन
vikhyatach,विख्यातच
banivanyachya,बनिवण्याच्या
natyasrushtishi,नाट्यसृष्टीशी
veravaljaval,वेरावळजवळ
devatvach,देवत्वच
lignan,लिग्नन
chitora,चितोरा
savitanchya,सवितांच्या
karyalayanmadhalya,कार्यालयांमधल्या
purohitchi,पुरोहितची
bharaloy,भरलोय
bendurcha,बेंदूरचा
dhyandharanesathichi,ध्यानधारणेसाठीची
vhideeo,व्हिडीओ
prushthbhagakar,पृष्ठभागाकर
vyakatacharya,व्यकटाचार्य
thevja,ठेवजा
pharmaseemadhun,फार्मसीमधून
manjuchi,मंजूची
kashchenkochya,काशचेंकोच्या
jilhyanvyatirikt,जिल्ह्यांव्यतिरिक्त
fodaya,फोडाया
tattvavicharanchi,तत्त्वविचारांची
spardhepasunach,स्पर्धेपासूनच
upnagarasathihi,उपनगरासाठीही
divyashree,दिव्यश्री
venkateshbarobar,व्यंकटेशबरोबर
tapering,टेपरिंग
dwishatkanmage,द्विशतकांमागे
natyabhushan,नाट्यभूषण
suryodyapurvi,सूर्योद्यापूर्वी
dahavipathopath,दहावीपाठोपाठ
gudewar,गुडेवार
mahakroor,महाक्रूर
bhaskarpantakadon,भास्करपंताकडोन
selfonkade,सेलफोनकडे
bhivyala,भिव्याला
kalmesh,कलमेश
bhadane,भदाणे
vibhagabaheril,विभागाबाहेरील
dpdc,डीपीडीसी
shatri,शत्री
bhandardaryakade,भंडारदऱ्याकडे
suryamala,सूर्यमाला
aatmaprakatikaranacha,आत्मप्रकटीकरणाचा
vastihi,वस्तीही
chitrapatsrushtil,चित्रपटसृष्टील
stupamadhye,स्तूपामध्ये
lovatre,लव्हात्रे
guchchache,गुच्छाचे
bulbulke,बुलबुलके
karnabadhiranchya,कर्णबधिरांच्या
hiresuddha,हिरेसुद्धा
buldhanyahun,बुलढाण्याहून
diwankhanyala,दिवानखाण्याला
karnaraye,करणारये
imaratibaddalchi,इमारतीबद्दलची
cinemavalyancha,सिनेमावाल्यांचा
sheteecha,शेतीचा
golaberij,गोळाबेरिज
kesantun,केसांतुन
jantusansargachya,जंतूसंसर्गाच्या
parbhaniche,परभणीचे
aasatannach,आसतांनाच
dadarisarkhya,दादरीसारख्या
takkevari,टक्केवारी
vartaknagarmadhil,वर्तकनगरमधील
shamvinyacha,शमविण्याचा
svayamvarache,स्वयंवराचे
granthalayas,ग्रंथालयास
nirvaran,निर्वारण
yanchyaevadhe,यांच्याएवढे
sapadnyasarkhe,सापडण्यासारखे
dasare,दसरे
kanmadhye,कानमध्ये
mahasamharak,महासंहारक
adhikarivargabarobar,अधिकारीवर्गाबरोबर
kshudrapanacha,क्षुद्रपणाचा
upkramachya,उपक्रमाच्या
heranchi,हेरांची
gitmalechi,गीतमालेची
shakteevardhak,शक्तिवर्धक
durpayog,दुरपयोग
shambharisuddha,शंभरीसुद्धा
webpagesna,वेबपेजेसना
utpadannirmitichya,उत्पादननिर्मितीच्या
bhairubabache,भैरूबाबाचे
mukhyamantryansahit,मुख्यमंत्र्यांसहीत
ektrasuddha,एकत्रसुद्धा
aahanane,आहनाने
janmananv,जन्मनांव
bhogalenni,भोगलेंनी
kalagunanchehi,कलागुणांचेही
ratikridet,रतिक्रीडेत
devnarbabat,देवनारबाबत
bharatoy,भरतोय
dogan,डोगन
pohate,पोहते
bahulekade,बहुलेकडे
retailer,रीटेलर
sacrosanct,सॅक्रोसँक्ट
badyancha,बड्यांचा
antaratmyashi,अंतरात्म्याशी
krantikarkansathi,क्रांतिकारकांसाठी
bankkarje,बँककर्जे
navprashikshit,नवप्रशिक्षित
clam,क्लॅम
aayojilyache,आयोजिल्याचे
pruthvivi,पृथ्विवी
yadvanvar,यादवांवर
danyaevaji,दाण्याऐवजी
pravashyana,प्रवाश्याना
vadapavashivay,वडापावशिवाय
feklyanantar,फेकल्यानंतर
kalvatoch,कळवतोच
aajinpudhe,आजींपुढे
machchimaransaha,मच्छीमारांसह
asanarpahilya,असणारपहिल्या
antasfurti,अंतस्फूर्ती
chalvalitach,चळवळीतच
shahkatshahachya,शहकटशहाच्या
headinglychya,हेडींग्लीच्या
compressorcha,कम्प्रेसरचा
saundaryant,सौंदर्यांत
siddhalingeshwar,सिद्धलिंगेश्वर
msd,एमएसडी
prez,प्रेझ
badbadini,बडबडीनी
bhujangasarkhi,भुजंगासारखी
kharia,खारिया
helmetmukti,हेल्मेटमुक्ती
yashwantpurkade,यशवंतपूरकडे
chorambarobarchya,चोरांबरोबरच्या
manjurilahi,मंजुरीलाही
kramankambaddal,क्रमांकांबद्दल
dayalupanache,दयाळूपणाचे
aanandadhvajapashi,आनन्दध्वजापाशी
karhadmadhil,कऱ्हाडमधील
bhesalisambandhi,भेसळीसंबंधी
abhiyanmarfat,अभियानमार्फत
gadakilla,गडकिल्ला
fidalgomadhye,फिडाल्गोमध्ये
rajmangalam,राजमंगलम
sansthankalin,संस्थानकालीन
pacharit,पाचारित
tanachya,तानाच्या
vakyachn,वाक्याचं
bilayanachi,बिलयानाची
kutumbapramukhanshi,कुटुंबप्रमुखांशी
paygavhane,पायगव्हाणे
bactrian,बॅक्ट्रिअन
ghashatahi,घशातही
blogsathicha,ब्लॉगसाठीचा
vinakot,विनाकोट
prakalpabadhitana,प्रकल्पबाधिताना
ileanachi,इलियानाची
aakalanach,आकलनच
yonishuchitechya,योनिशुचितेच्या
smashana,स्मशाना
gorakshnath,गोरखनाथ
sathidaramule,साथीदारामुळे
shaharatilach,शहरातीलच
rammandirhi,राममंदिरही
pratikarsuddha,प्रतिकारसुद्धा
shelkevar,शेळकेवर
krushtharogane,कृष्ठरोगाने
aajchyasarkhanch,आजच्यासारखंच
shikshikekade,शिक्षिकेकडे
vajateparyant,वाजतेपर्यंत
manjaranvarhi,मांजरांवरही
tagamgivar,तगमगीवर
hinsacharapeksha,हिंसाचारापेक्षा
shabduli,शब्दुली
tsunamitun,त्सुनामीतून
airpurifier,एअरप्युरीफायर
batterydware,बॅटरीद्वारे
khokada,खोकडा
prakalpagrastach,प्रकल्पग्रस्तच
dipachyach,दीपाच्याच
bajarasobat,बाजारासोबत
sirantvar,सिरांतवर
bujavayala,बुजवायला
tikavarchya,टिकावरच्या
tyavarchich,त्यावरचीच
mcv,एमसीव्ही
patrataspardhechya,पात्रतास्पर्धेच्या
yuvkansathihi,युवकांसाठीही
ferrelchya,फेरेलच्या
elije,एलिजे
vishamatagrast,विषमताग्रस्त
lekhakansarakh,लेखकांसारखं
tolebajichya,टोलेबाजीच्या
magasalepanat,मागासलेपणात
afridit,आफ्रिदीत
hindustanamadhye,हिंदुस्तानामध्ये
arthaniyojanacha,अर्थनियोजनाचा
dattamandirchya,दत्तमंदिरच्या
jaagtikiran,जागतिकीरण
malininvar,मालिनींवर
thakurbuvanchya,ठाकूरबुवांच्या
dengipeksha,देणगीपेक्षा
savangpanane,सवंगपणाने
shejareel,शेजारील
hironi,हिरोनी
hatmagapasun,हातमागापासून
potiche,पोतीचे
augashtparyant,ऑगष्टपर्यंत
dragflicker,ड्रॅगफ्लिकर
sodatisathi,सोडतीसाठी
yashtirakshanasathi,यष्टीरक्षणासाठी
bilal,बिलाल
chulwan,चुलवान
anantchi,अनंतची
pathpoth,पाठपोठ
jamatinkade,जमातींकडे
samnyandarmyan,सामन्यांदरम्यान
hinduvivahpaddhatich,हिंदुविवाहपद्धतीच
vatnaryala,वाटणाऱ्याला
rupayapekshahi,रुपयापेक्षाही
punekaransathi,पुणेकरांसाठी
shyamalan,श्यामलन
vastuhi,वस्तूही
valuchorivar,वाळूचोरीवर
dauryanvishayi,दौऱ्यांविषयी
nitiniyamanche,नितीनियमांचे
sutrikaran,सूत्रीकरण
khechakhechimadhe,खेचाखेचीमध्ये
lumaine,ल्युमेन
garbhavatich,गर्भवतीच
palayekarankadun,पालयेकरांकडून
hundyaprakarani,हुंड्याप्रकरणी
spellingpacky,स्पेलिंगपैकी
trambakeshwarmadhil,त्रंबकेश्वरमधील
jatiprantachi,जातीप्रांताची
hyasmore,ह्यासमोर
laralappa,लारलप्पा
nipatanyachi,निपटण्याची
kavyamata,काव्यमाता
vyayamprakaratil,व्यायामप्रकारातील
sanghanchyahi,संघांच्याही
mhatreche,म्हात्रेचे
kudremanijaval,कुद्रेमानीजवळ
khoonsatra,खूनसत्र
ozar,ओझर
dharmabhedachya,धर्मभेदाच्या
britishanchya,ब्रिटिशांच्या
sunitamadhye,सुनीतामध्ये
mishyancha,मिश्यांचा
anandun,आनंदून
sriparshuram,श्रीपरशुराम
dhakkyanehi,धक्क्यानेही
odisakade,ओडीसाकडे
tantramahavidyalayane,तंत्रमहाविद्यालयाने
kukru,कुकरू
pitmanchya,पिटमनच्या
mahapalitarfe,महापालितर्फे
durgabhandarvar,दुर्गभांडारवर
tollywood,टॉलीवुड
bengalurula,बेंगळुरुला
patnimadhil,पत्नीमधील
jaydrathachi,जयद्रथाची
madalmohipasun,मादळमोहीपासून
vyavasayikankadil,व्यवसायिकांकडील
gaudichi,गौडीची
tirumalache,तिरूमलाचे
sambandhavishayiche,संबंधाविषयीचे
bangalchich,बंगालचीच
rajmatechya,राजमतेच्या
kokandaura,कोकणदौरा
shirodi,शिरोडी
vashanti,वशांती
shishyagananna,शिष्यगणांना
rundavanar,रुंदावणार
sangramashi,संग्रामाशी
muradnaryanchya,मुरडणाऱ्यांच्या
gujaratalagatchya,गुजरातलगतच्या
mulanchyasamor,मुलांच्यासमोर
disene,दिसेने
bakichyanno,बाकीच्यांनो
aambevangan,आंबेवंगण
nagarkarita,नगरकरीता
repotmadhye,रिपोटमध्ये
dalalchi,दलालची
shrinathshaktipith,श्रीनाथशक्तिपीठ
jativisheshache,जातीविशेषाचे
chitrarathanmadhil,चित्ररथांमधील
jayalalitanchya,जयललीतांच्या
ghonasekar,घोणसेकर
tantradnyannamule,तंत्रज्ञांनामुळे
ilajanchi,इलाजांची
avalsal,अवलसाल
javedkarancha,जावेडकरांचा
natakanpramane,नाटकांप्रमाणे
chauhu,चौहू
shamsingla,शामसिंगला
patelanchya,पटेलांच्या
vajgavat,वाजगावात
avidyepasoon,अविद्येपासून
khadanchi,खडांची
mukabalyasathi,मुकाबल्यासाठी
yuvatinvaril,युवतींवरील
stanagrachya,स्तनाग्राच्या
underworldsarkhi,अंडरवर्ल्डसारखी
ghodbandarvar,घोडबंदरवर
patalitala,पातळीतला
jansabhedarmyan,जनसभेदरम्यान
bombsarkhya,बॉम्बसारख्या
tyrepasoon,टायरपासून
kongrasechya,काँग्रसेच्या
sistimanantar,सिस्टिमनंतर
divaralachya,दिवरालाच्या
pulotsav,पुलोत्सव
vachvinyat,वाचविण्यात
madhyamatub,माध्यमातूब
garnetne,गार्नेटने
kalabajarala,काळाबाजाराला
hatankade,हातांकडे
odhavana,ओढवणा
sutradharavar,सुत्रधारावर
chhatrapatipad,छत्रपतिपद
priyakaracha,प्रियकाराचा
vicharsaranitadekheel,विचारसरणीतदेखील
namanpa,नामनपा
singhamla,सिंघमला
screentuch,स्क्रीनटच
aiutc,एआययूटीसी
milsobat,मिलसोबत
dikhave,दिखावे
dhamkyanparyantchya,धमक्यांपर्यंतच्या
